index,Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),DistributedEnergy_2050.csv_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),GlobalAmbition_2050.csv_Export Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),DistributedEnergy_2050.csv_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),GlobalAmbition_2050.csv_Import Capacity (MW)
HR00-HU00,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0
HR00-RS00,1080.0,1080.0,1080.0,1080.0,1580.0,1580.0,1580.0,1580.0,1100.0,1100.0,1100.0,1100.0,1600.0,1600.0,1600.0,1600.0
HR00-SI00,3000.0,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,2000.0
HU00-RO00,1500.0,1500.0,1500.0,1500.0,1000.0,1000.0,1000.0,1000.0,1600.0,1600.0,1600.0,1600.0,1100.0,1100.0,1100.0,1100.0
HU00-RS00,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
HU00-SI00,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
HU00-SK00,3300.0,3300.0,3300.0,3300.0,2300.0,2300.0,2300.0,2300.0,4100.0,4100.0,4100.0,4100.0,3100.0,3100.0,3100.0,3100.0
HU00-UA01,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
IE00-FR00,700.0,700.0,700.0,700.0,,,,,700.0,700.0,700.0,700.0,,,,
IE00-UK00,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0,1754.0
IE00-UKNI,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
IT00-ME00,1200.0,1200.0,1200.0,1200.0,600.0,600.0,600.0,600.0,1200.0,1200.0,1200.0,1200.0,600.0,600.0,600.0,600.0
IT00-MT00,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
IT00-SI00,1805.0,1805.0,1805.0,1805.0,805.0,805.0,805.0,805.0,1895.0,1895.0,1895.0,1895.0,895.0,895.0,895.0,895.0
LT00-LV00,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0
LT00-PL00,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
LT00-SE04,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
MA00-ES00,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ME00-RS00,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
MK00-RS00,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0
NL00-NOS0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
NL00-UK00,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
NOM1-NON1,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
NOM1-NOS0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
NOM1-SE02,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
NON1-SE01,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
NON1-SE02,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
NOS0-SE03,3145.0,3145.0,3145.0,3145.0,2145.0,2145.0,2145.0,2145.0,3095.0,3095.0,3095.0,3095.0,2095.0,2095.0,2095.0,2095.0
PL00-SE04,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
RO00-RS00,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
RO00-UA01,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
RU00-LV00,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,,,,,,,
RU00-NON1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,
SE01-SE02,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
SE02-SE03,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0,8900.0
SE03-SE04,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0
SK00-UA01,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
