t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_126,0.524,0.155,0.155,0.155,0.120,0.138,0.120
t_127,0.531,0.155,0.155,0.155,0.154,0.155,0.154
t_128,0.547,0.147,0.147,0.147,0.174,0.161,0.174
t_129,0.544,0.116,0.116,0.116,0.160,0.138,0.160
t_130,0.558,0.091,0.091,0.091,0.161,0.126,0.161
t_131,0.546,0.076,0.076,0.076,0.158,0.117,0.158
t_132,0.496,0.069,0.069,0.069,0.134,0.102,0.134
t_133,0.448,0.061,0.061,0.061,0.120,0.091,0.120
t_134,0.435,0.055,0.055,0.055,0.119,0.087,0.119
t_135,0.459,0.048,0.048,0.048,0.119,0.084,0.119
t_136,0.507,0.056,0.056,0.056,0.115,0.086,0.115
t_137,0.544,0.071,0.071,0.071,0.102,0.087,0.102
t_138,0.551,0.069,0.069,0.069,0.071,0.070,0.071
t_139,0.509,0.061,0.061,0.061,0.039,0.050,0.039
t_140,0.458,0.052,0.052,0.052,0.017,0.035,0.017
t_141,0.414,0.043,0.043,0.043,0.005,0.024,0.005
t_142,0.396,0.031,0.031,0.031,0.001,0.016,0.001
t_143,0.400,0.022,0.022,0.022,0.000,0.011,0.000
t_144,0.418,0.022,0.022,0.022,0.000,0.011,0.000
t_145,0.445,0.021,0.021,0.021,0.000,0.011,0.000
t_146,0.478,0.021,0.021,0.021,0.000,0.011,0.000
t_147,0.517,0.021,0.021,0.021,0.001,0.011,0.001
t_148,0.575,0.025,0.025,0.025,0.001,0.013,0.001
t_149,0.620,0.026,0.026,0.026,0.000,0.013,0.000
t_150,0.647,0.038,0.038,0.038,0.000,0.019,0.000
t_151,0.670,0.052,0.052,0.052,0.000,0.026,0.000
t_152,0.701,0.068,0.068,0.068,0.000,0.034,0.000
t_153,0.735,0.076,0.076,0.076,0.000,0.038,0.000
t_154,0.738,0.069,0.069,0.069,0.000,0.035,0.000
t_155,0.756,0.078,0.078,0.078,0.000,0.039,0.000
t_156,0.784,0.114,0.114,0.114,0.000,0.057,0.000
t_157,0.809,0.161,0.161,0.161,0.000,0.081,0.000
t_158,0.811,0.202,0.202,0.202,0.000,0.101,0.000
t_159,0.789,0.235,0.235,0.235,0.000,0.118,0.000
t_160,0.764,0.291,0.291,0.291,0.002,0.147,0.002
t_161,0.769,0.355,0.355,0.355,0.002,0.179,0.002
t_162,0.757,0.358,0.358,0.358,0.001,0.180,0.001
t_163,0.713,0.335,0.335,0.335,0.000,0.168,0.000
t_164,0.632,0.316,0.316,0.316,0.000,0.158,0.000
t_165,0.548,0.296,0.296,0.296,0.000,0.148,0.000
t_166,0.468,0.293,0.293,0.293,0.001,0.147,0.001
t_167,0.411,0.319,0.319,0.319,0.003,0.161,0.003
t_168,0.363,0.341,0.341,0.341,0.006,0.174,0.006
t_169,0.320,0.354,0.354,0.354,0.011,0.183,0.011
t_170,0.287,0.355,0.355,0.355,0.018,0.187,0.018
t_171,0.258,0.343,0.343,0.343,0.028,0.186,0.028
t_172,0.249,0.325,0.325,0.325,0.050,0.188,0.050
t_173,0.226,0.307,0.307,0.307,0.099,0.203,0.099
t_174,0.188,0.277,0.277,0.277,0.154,0.216,0.154
t_175,0.194,0.234,0.234,0.234,0.201,0.218,0.201
t_176,0.147,0.265,0.265,0.265,0.242,0.254,0.242
t_177,0.086,0.196,0.196,0.196,0.222,0.209,0.222
t_178,0.040,0.097,0.097,0.097,0.156,0.127,0.156
t_179,0.056,0.057,0.057,0.057,0.200,0.129,0.200
t_180,0.026,0.041,0.041,0.041,0.301,0.171,0.301
t_181,0.017,0.029,0.029,0.029,0.366,0.198,0.366
t_182,0.016,0.020,0.020,0.020,0.388,0.204,0.388
t_183,0.015,0.018,0.018,0.018,0.397,0.208,0.397
t_184,0.033,0.021,0.021,0.021,0.468,0.245,0.468
t_185,0.088,0.025,0.025,0.025,0.465,0.245,0.465
t_186,0.128,0.061,0.061,0.061,0.396,0.229,0.396
t_187,0.205,0.136,0.136,0.136,0.316,0.226,0.316
t_188,0.193,0.219,0.219,0.219,0.247,0.233,0.247
t_189,0.174,0.488,0.488,0.488,0.192,0.340,0.192
t_190,0.165,0.540,0.540,0.540,0.137,0.339,0.137
t_191,0.126,0.542,0.542,0.542,0.089,0.316,0.089
t_192,0.081,0.499,0.499,0.499,0.030,0.265,0.030
t_193,0.057,0.415,0.415,0.415,0.015,0.215,0.015
t_194,0.048,0.303,0.303,0.303,0.008,0.156,0.008
t_195,0.052,0.211,0.211,0.211,0.003,0.107,0.003
t_196,0.059,0.151,0.151,0.151,0.001,0.076,0.001
t_197,0.075,0.124,0.124,0.124,0.001,0.063,0.001
t_198,0.099,0.098,0.098,0.098,0.000,0.049,0.000
t_199,0.117,0.076,0.076,0.076,0.002,0.039,0.002
t_200,0.040,0.051,0.051,0.051,0.001,0.026,0.001
t_201,0.032,0.026,0.026,0.026,0.000,0.013,0.000
t_202,0.018,0.003,0.003,0.003,0.000,0.002,0.000
t_203,0.016,0.000,0.000,0.000,0.000,0.000,0.000
t_204,0.019,0.000,0.000,0.000,0.000,0.000,0.000
t_205,0.026,0.000,0.000,0.000,0.000,0.000,0.000
t_206,0.037,0.000,0.000,0.000,0.000,0.000,0.000
t_207,0.052,0.000,0.000,0.000,0.000,0.000,0.000
t_208,0.082,0.000,0.000,0.000,0.000,0.000,0.000
t_209,0.129,0.000,0.000,0.000,0.000,0.000,0.000
t_210,0.135,0.000,0.000,0.000,0.000,0.000,0.000
t_211,0.115,0.000,0.000,0.000,0.000,0.000,0.000
t_212,0.092,0.001,0.001,0.001,0.000,0.001,0.000
t_213,0.093,0.002,0.002,0.002,0.000,0.001,0.000
t_214,0.073,0.004,0.004,0.004,0.001,0.003,0.001
t_215,0.058,0.006,0.006,0.006,0.002,0.004,0.002
t_216,0.054,0.007,0.007,0.007,0.002,0.005,0.002
t_217,0.056,0.008,0.008,0.008,0.006,0.007,0.006
t_218,0.075,0.007,0.007,0.007,0.017,0.012,0.017
t_219,0.094,0.006,0.006,0.006,0.039,0.023,0.039
t_220,0.091,0.007,0.007,0.007,0.055,0.031,0.055
t_221,0.086,0.012,0.012,0.012,0.060,0.036,0.060
t_222,0.082,0.019,0.019,0.019,0.045,0.032,0.045
t_223,0.073,0.017,0.017,0.017,0.025,0.021,0.025
t_224,0.057,0.016,0.016,0.016,0.015,0.016,0.015
t_225,0.034,0.010,0.010,0.010,0.006,0.008,0.006
t_226,0.018,0.001,0.001,0.001,0.002,0.002,0.002
t_227,0.009,0.000,0.000,0.000,0.003,0.002,0.003
t_228,0.007,0.000,0.000,0.000,0.006,0.003,0.006
t_229,0.008,0.000,0.000,0.000,0.012,0.006,0.012
t_230,0.012,0.000,0.000,0.000,0.018,0.009,0.018
t_231,0.028,0.000,0.000,0.000,0.020,0.010,0.020
t_232,0.065,0.000,0.000,0.000,0.034,0.017,0.034
t_233,0.132,0.001,0.001,0.001,0.032,0.017,0.032
t_234,0.175,0.004,0.004,0.004,0.013,0.009,0.013
t_235,0.170,0.004,0.004,0.004,0.005,0.005,0.005
t_236,0.151,0.004,0.004,0.004,0.001,0.003,0.001
t_237,0.134,0.003,0.003,0.003,0.001,0.002,0.001
t_238,0.131,0.000,0.000,0.000,0.002,0.001,0.002
t_239,0.137,0.000,0.000,0.000,0.018,0.009,0.018
t_240,0.158,0.000,0.000,0.000,0.022,0.011,0.022
t_241,0.188,0.000,0.000,0.000,0.022,0.011,0.022
t_242,0.221,0.000,0.000,0.000,0.023,0.012,0.023
t_243,0.242,0.000,0.000,0.000,0.022,0.011,0.022
t_244,0.261,0.000,0.000,0.000,0.017,0.009,0.017
t_245,0.260,0.004,0.004,0.004,0.014,0.009,0.014
t_246,0.243,0.008,0.008,0.008,0.013,0.011,0.013
t_247,0.219,0.010,0.010,0.010,0.008,0.009,0.008
t_248,0.191,0.009,0.009,0.009,0.008,0.009,0.008
t_249,0.130,0.006,0.006,0.006,0.003,0.005,0.003
t_250,0.061,0.002,0.002,0.002,0.000,0.001,0.000
t_251,0.030,0.000,0.000,0.000,0.000,0.000,0.000
t_252,0.026,0.000,0.000,0.000,0.000,0.000,0.000
t_253,0.030,0.000,0.000,0.000,0.000,0.000,0.000
t_254,0.045,0.000,0.000,0.000,0.000,0.000,0.000
t_255,0.075,0.001,0.001,0.001,0.000,0.001,0.000
t_256,0.116,0.005,0.005,0.005,0.000,0.003,0.000
t_257,0.153,0.007,0.007,0.007,0.000,0.004,0.000
t_258,0.163,0.001,0.001,0.001,0.001,0.001,0.001
t_259,0.165,0.000,0.000,0.000,0.001,0.001,0.001
t_260,0.159,0.000,0.000,0.000,0.001,0.001,0.001
t_261,0.133,0.000,0.000,0.000,0.002,0.001,0.002
t_262,0.108,0.004,0.004,0.004,0.002,0.003,0.002
t_263,0.073,0.030,0.030,0.030,0.002,0.016,0.002
t_264,0.131,0.074,0.074,0.074,0.001,0.038,0.001
t_265,0.069,0.116,0.116,0.116,0.002,0.059,0.002
t_266,0.025,0.159,0.159,0.159,0.002,0.081,0.002
t_267,0.008,0.190,0.190,0.190,0.003,0.097,0.003
t_268,0.004,0.243,0.243,0.243,0.002,0.123,0.002
t_269,0.002,0.317,0.317,0.317,0.002,0.160,0.002
t_270,0.003,0.248,0.248,0.248,0.005,0.127,0.005
t_271,0.005,0.297,0.297,0.297,0.008,0.153,0.008
t_272,0.006,0.340,0.340,0.340,0.009,0.175,0.009
t_273,0.009,0.350,0.350,0.350,0.005,0.178,0.005
t_274,0.007,0.272,0.272,0.272,0.002,0.137,0.002
t_275,0.004,0.191,0.191,0.191,0.001,0.096,0.001
t_276,0.002,0.142,0.142,0.142,0.001,0.072,0.001
t_277,0.004,0.109,0.109,0.109,0.000,0.055,0.000
t_278,0.006,0.103,0.103,0.103,0.001,0.052,0.001
t_279,0.011,0.129,0.129,0.129,0.002,0.066,0.002
t_280,0.024,0.266,0.266,0.266,0.006,0.136,0.006
t_281,0.040,0.355,0.355,0.355,0.010,0.183,0.010
t_282,0.058,0.451,0.451,0.451,0.012,0.232,0.012
t_283,0.098,0.527,0.527,0.527,0.016,0.272,0.016
t_284,0.126,0.582,0.582,0.582,0.021,0.302,0.021
t_285,0.150,0.417,0.417,0.417,0.029,0.223,0.029
t_286,0.143,0.465,0.465,0.465,0.042,0.254,0.042
t_287,0.126,0.500,0.500,0.500,0.061,0.281,0.061
t_288,0.081,0.501,0.501,0.501,0.077,0.289,0.077
t_289,0.065,0.483,0.483,0.483,0.087,0.285,0.087
t_290,0.058,0.458,0.458,0.458,0.094,0.276,0.094
t_291,0.067,0.440,0.440,0.440,0.098,0.269,0.098
t_292,0.087,0.594,0.594,0.594,0.096,0.345,0.096
t_293,0.113,0.614,0.614,0.614,0.101,0.358,0.101
t_294,0.148,0.702,0.702,0.702,0.107,0.405,0.107
t_295,0.259,0.695,0.695,0.695,0.104,0.400,0.104
t_296,0.388,0.658,0.658,0.658,0.100,0.379,0.100
t_297,0.414,0.589,0.589,0.589,0.066,0.328,0.066
t_298,0.265,0.383,0.383,0.383,0.026,0.205,0.026
t_299,0.122,0.187,0.187,0.187,0.003,0.095,0.003
t_300,0.071,0.081,0.081,0.081,0.001,0.041,0.001
t_301,0.039,0.018,0.018,0.018,0.000,0.009,0.000
t_302,0.010,0.008,0.008,0.008,0.000,0.004,0.000
t_303,0.001,0.003,0.003,0.003,0.002,0.003,0.002
t_304,0.000,0.007,0.007,0.007,0.011,0.009,0.011
t_305,0.000,0.023,0.023,0.023,0.023,0.023,0.023
t_306,0.000,0.042,0.042,0.042,0.016,0.029,0.016
t_307,0.001,0.052,0.052,0.052,0.008,0.030,0.008
t_308,0.006,0.043,0.043,0.043,0.003,0.023,0.003
t_309,0.029,0.028,0.028,0.028,0.001,0.015,0.001
t_310,0.081,0.020,0.020,0.020,0.001,0.011,0.001
t_311,0.155,0.014,0.014,0.014,0.002,0.008,0.002
t_312,0.244,0.016,0.016,0.016,0.021,0.019,0.021
t_313,0.345,0.013,0.013,0.013,0.027,0.020,0.027
t_314,0.436,0.009,0.009,0.009,0.030,0.020,0.030
t_315,0.488,0.005,0.005,0.005,0.035,0.020,0.035
t_316,0.520,0.004,0.004,0.004,0.040,0.022,0.040
t_317,0.546,0.003,0.003,0.003,0.034,0.019,0.034
t_318,0.579,0.004,0.004,0.004,0.028,0.016,0.028
t_319,0.615,0.005,0.005,0.005,0.021,0.013,0.021
t_320,0.650,0.007,0.007,0.007,0.014,0.011,0.014
t_321,0.673,0.009,0.009,0.009,0.009,0.009,0.009
t_322,0.663,0.005,0.005,0.005,0.005,0.005,0.005
t_323,0.702,0.006,0.006,0.006,0.008,0.007,0.008
t_324,0.756,0.006,0.006,0.006,0.005,0.006,0.005
t_325,0.771,0.008,0.008,0.008,0.002,0.005,0.002
t_326,0.770,0.011,0.011,0.011,0.001,0.006,0.001
t_327,0.763,0.023,0.023,0.023,0.001,0.012,0.001
t_328,0.789,0.007,0.007,0.007,0.002,0.005,0.002
t_329,0.776,0.004,0.004,0.004,0.003,0.004,0.003
t_330,0.751,0.002,0.002,0.002,0.003,0.003,0.003
t_331,0.714,0.003,0.003,0.003,0.004,0.004,0.004
t_332,0.688,0.003,0.003,0.003,0.005,0.004,0.005
t_333,0.663,0.007,0.007,0.007,0.006,0.007,0.006
t_334,0.662,0.004,0.004,0.004,0.004,0.004,0.004
t_335,0.652,0.011,0.011,0.011,0.003,0.007,0.003
t_336,0.655,0.007,0.007,0.007,0.003,0.005,0.003
t_337,0.655,0.010,0.010,0.010,0.002,0.006,0.002
t_338,0.655,0.013,0.013,0.013,0.002,0.008,0.002
t_339,0.632,0.017,0.017,0.017,0.001,0.009,0.001
t_340,0.579,0.019,0.019,0.019,0.001,0.010,0.001
t_341,0.514,0.020,0.020,0.020,0.000,0.010,0.000
t_342,0.433,0.024,0.024,0.024,0.000,0.012,0.000
t_343,0.329,0.036,0.036,0.036,0.000,0.018,0.000
t_344,0.215,0.050,0.050,0.050,0.000,0.025,0.000
t_345,0.170,0.054,0.054,0.054,0.000,0.027,0.000
t_346,0.169,0.034,0.034,0.034,0.000,0.017,0.000
t_347,0.063,0.034,0.034,0.034,0.000,0.017,0.000
t_348,0.009,0.030,0.030,0.030,0.001,0.016,0.001
t_349,0.004,0.026,0.026,0.026,0.001,0.014,0.001
t_350,0.010,0.018,0.018,0.018,0.003,0.011,0.003
t_351,0.007,0.011,0.011,0.011,0.010,0.011,0.010
t_352,0.009,0.010,0.010,0.010,0.047,0.029,0.047
t_353,0.015,0.010,0.010,0.010,0.098,0.054,0.098
t_354,0.016,0.021,0.021,0.021,0.110,0.066,0.110
t_355,0.011,0.099,0.099,0.099,0.113,0.106,0.113
t_356,0.015,0.182,0.182,0.182,0.115,0.149,0.115
t_357,0.030,0.243,0.243,0.243,0.107,0.175,0.107
t_358,0.040,0.272,0.272,0.272,0.081,0.177,0.081
t_359,0.055,0.274,0.274,0.274,0.049,0.162,0.049
t_360,0.071,0.258,0.258,0.258,0.022,0.140,0.022
t_361,0.081,0.223,0.223,0.223,0.011,0.117,0.011
t_362,0.086,0.185,0.185,0.185,0.007,0.096,0.007
t_363,0.111,0.108,0.108,0.108,0.005,0.057,0.005
t_364,0.118,0.122,0.122,0.122,0.005,0.064,0.005
t_365,0.134,0.153,0.153,0.153,0.006,0.080,0.006
t_366,0.115,0.294,0.294,0.294,0.008,0.151,0.008
t_367,0.100,0.247,0.247,0.247,0.011,0.129,0.011
t_368,0.091,0.298,0.298,0.298,0.015,0.157,0.015
t_369,0.079,0.458,0.458,0.458,0.012,0.235,0.012
t_370,0.051,0.334,0.334,0.334,0.004,0.169,0.004
t_371,0.058,0.171,0.171,0.171,0.003,0.087,0.003
t_372,0.120,0.064,0.064,0.064,0.001,0.033,0.001
t_373,0.160,0.041,0.041,0.041,0.001,0.021,0.001
t_374,0.144,0.028,0.028,0.028,0.001,0.015,0.001
t_375,0.087,0.034,0.034,0.034,0.001,0.018,0.001
t_376,0.064,0.063,0.063,0.063,0.002,0.033,0.002
t_377,0.067,0.106,0.106,0.106,0.002,0.054,0.002
t_378,0.067,0.135,0.135,0.135,0.001,0.068,0.001
t_379,0.072,0.170,0.170,0.170,0.001,0.086,0.001
t_380,0.063,0.208,0.208,0.208,0.002,0.105,0.002
t_381,0.083,0.236,0.236,0.236,0.003,0.120,0.003
t_382,0.091,0.231,0.231,0.231,0.004,0.118,0.004
t_383,0.090,0.228,0.228,0.228,0.006,0.117,0.006
t_384,0.100,0.239,0.239,0.239,0.004,0.122,0.004
t_385,0.098,0.241,0.241,0.241,0.006,0.124,0.006
t_386,0.105,0.227,0.227,0.227,0.004,0.116,0.004
t_387,0.107,0.216,0.216,0.216,0.004,0.110,0.004
t_388,0.113,0.202,0.202,0.202,0.007,0.105,0.007
t_389,0.149,0.196,0.196,0.196,0.008,0.102,0.008
t_390,0.147,0.219,0.219,0.219,0.016,0.118,0.016
t_391,0.142,0.259,0.259,0.259,0.029,0.144,0.029
t_392,0.166,0.312,0.312,0.312,0.045,0.179,0.045
t_393,0.115,0.316,0.316,0.316,0.058,0.187,0.058
t_394,0.067,0.336,0.336,0.336,0.039,0.188,0.039
t_395,0.042,0.333,0.333,0.333,0.035,0.184,0.035
t_396,0.033,0.403,0.403,0.403,0.041,0.222,0.041
t_397,0.026,0.466,0.466,0.466,0.053,0.260,0.053
t_398,0.021,0.429,0.429,0.429,0.067,0.248,0.067
t_399,0.016,0.226,0.226,0.226,0.110,0.168,0.110
t_400,0.031,0.211,0.211,0.211,0.195,0.203,0.195
t_401,0.033,0.208,0.208,0.208,0.276,0.242,0.276
t_402,0.029,0.390,0.390,0.390,0.308,0.349,0.308
t_403,0.034,0.491,0.491,0.491,0.312,0.402,0.312
t_404,0.049,0.553,0.553,0.553,0.313,0.433,0.313
t_405,0.080,0.579,0.579,0.579,0.303,0.441,0.303
t_406,0.104,0.571,0.571,0.571,0.316,0.444,0.316
t_407,0.149,0.569,0.569,0.569,0.312,0.441,0.312
t_408,0.230,0.743,0.743,0.743,0.295,0.519,0.295
t_409,0.294,0.741,0.741,0.741,0.252,0.497,0.252
t_410,0.323,0.601,0.601,0.601,0.195,0.398,0.195
t_411,0.287,0.664,0.664,0.664,0.133,0.399,0.133
t_412,0.332,0.843,0.843,0.843,0.056,0.450,0.056
t_413,0.417,0.961,0.961,0.961,0.047,0.504,0.047
t_414,0.514,0.996,0.996,0.996,0.104,0.550,0.104
t_415,0.652,0.981,0.981,0.981,0.189,0.585,0.189
t_416,0.695,0.981,0.981,0.981,0.259,0.620,0.259
t_417,0.742,0.995,0.995,0.995,0.286,0.641,0.286
t_418,0.772,0.995,0.995,0.995,0.237,0.616,0.237
t_419,0.816,0.995,0.995,0.995,0.222,0.609,0.222
t_420,0.790,0.995,0.995,0.995,0.232,0.614,0.232
t_421,0.768,0.995,0.995,0.995,0.254,0.625,0.254
t_422,0.651,0.995,0.995,0.995,0.314,0.655,0.314
t_423,0.662,0.999,0.999,0.999,0.464,0.732,0.464
t_424,0.414,1.000,1.000,1.000,0.660,0.830,0.660
t_425,0.269,0.999,0.999,0.999,0.778,0.889,0.778
t_426,0.186,0.984,0.984,0.984,0.878,0.931,0.878
t_427,0.135,0.950,0.950,0.950,0.925,0.938,0.925
t_428,0.086,0.842,0.842,0.842,0.954,0.898,0.954
t_429,0.048,0.691,0.691,0.691,0.970,0.831,0.970
t_430,0.032,0.571,0.571,0.571,0.951,0.761,0.951
t_431,0.028,0.531,0.531,0.531,0.923,0.727,0.923
t_432,0.037,0.513,0.513,0.513,0.848,0.681,0.848
t_433,0.060,0.756,0.756,0.756,0.729,0.743,0.729
t_434,0.163,0.804,0.804,0.804,0.612,0.708,0.612
t_435,0.344,0.846,0.846,0.846,0.453,0.650,0.453
