t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1818,0.509,0.041,0.041,0.041,0.69,0.366,0.69
t_1819,0.544,0.013,0.013,0.013,0.668,0.341,0.668
t_1820,0.56,0.01,0.01,0.01,0.655,0.333,0.655
t_1821,0.588,0.006,0.006,0.006,0.625,0.316,0.625
t_1822,0.622,0.005,0.005,0.005,0.597,0.301,0.597
t_1823,0.653,0.011,0.011,0.011,0.558,0.285,0.558
t_1824,0.667,0.027,0.027,0.027,0.528,0.278,0.528
t_1825,0.652,0.079,0.079,0.079,0.533,0.306,0.533
t_1826,0.611,0.158,0.158,0.158,0.592,0.375,0.592
t_1827,0.539,0.248,0.248,0.248,0.643,0.446,0.643
t_1828,0.443,0.326,0.326,0.326,0.681,0.504,0.681
t_1829,0.389,0.416,0.416,0.416,0.718,0.567,0.718
t_1830,0.378,0.492,0.492,0.492,0.753,0.623,0.753
t_1831,0.349,0.529,0.529,0.529,0.769,0.649,0.769
t_1832,0.3,0.58,0.58,0.58,0.807,0.694,0.807
t_1833,0.389,0.762,0.762,0.762,0.893,0.828,0.893
t_1834,0.424,0.919,0.919,0.919,0.906,0.913,0.906
t_1835,0.38,0.991,0.991,0.991,0.952,0.972,0.952
t_1836,0.385,0.999,0.999,0.999,0.977,0.988,0.977
t_1837,0.359,0.984,0.984,0.984,0.982,0.983,0.982
t_1838,0.317,0.982,0.982,0.982,0.969,0.976,0.969
t_1839,0.379,0.982,0.982,0.982,0.928,0.955,0.928
t_1840,0.418,0.998,0.998,0.998,0.869,0.934,0.869
t_1841,0.369,0.971,0.971,0.971,0.876,0.924,0.876
t_1842,0.357,0.951,0.951,0.951,0.889,0.92,0.889
t_1843,0.399,0.93,0.93,0.93,0.876,0.903,0.876
t_1844,0.413,0.885,0.885,0.885,0.835,0.86,0.835
t_1845,0.411,0.786,0.786,0.786,0.761,0.774,0.761
t_1846,0.389,0.686,0.686,0.686,0.656,0.671,0.656
t_1847,0.382,0.626,0.626,0.626,0.487,0.557,0.487
t_1848,0.324,0.474,0.474,0.474,0.33,0.402,0.33
t_1849,0.307,0.339,0.339,0.339,0.229,0.284,0.229
t_1850,0.331,0.252,0.252,0.252,0.151,0.202,0.151
t_1851,0.311,0.164,0.164,0.164,0.089,0.127,0.089
t_1852,0.227,0.171,0.171,0.171,0.058,0.115,0.058
t_1853,0.141,0.194,0.194,0.194,0.052,0.123,0.052
t_1854,0.1,0.248,0.248,0.248,0.051,0.15,0.051
t_1855,0.112,0.584,0.584,0.584,0.039,0.312,0.039
t_1856,0.171,0.731,0.731,0.731,0.048,0.39,0.048
t_1857,0.263,0.76,0.76,0.76,0.045,0.403,0.045
t_1858,0.407,0.605,0.605,0.605,0.022,0.314,0.022
t_1859,0.543,0.707,0.707,0.707,0.004,0.356,0.004
t_1860,0.646,0.808,0.808,0.808,0.0,0.404,0.0
t_1861,0.702,0.731,0.731,0.731,0.0,0.366,0.0
t_1862,0.743,0.574,0.574,0.574,0.003,0.289,0.003
t_1863,0.788,0.595,0.595,0.595,0.007,0.301,0.007
t_1864,0.815,0.442,0.442,0.442,0.01,0.226,0.01
t_1865,0.639,0.352,0.352,0.352,0.013,0.183,0.013
t_1866,0.537,0.291,0.291,0.291,0.019,0.155,0.019
t_1867,0.539,0.247,0.247,0.247,0.018,0.133,0.018
t_1868,0.566,0.203,0.203,0.203,0.013,0.108,0.013
t_1869,0.647,0.171,0.171,0.171,0.008,0.09,0.008
t_1870,0.769,0.168,0.168,0.168,0.009,0.089,0.009
t_1871,0.832,0.196,0.196,0.196,0.011,0.104,0.011
t_1872,0.86,0.259,0.259,0.259,0.015,0.137,0.015
t_1873,0.889,0.305,0.305,0.305,0.014,0.16,0.014
t_1874,0.927,0.331,0.331,0.331,0.026,0.179,0.026
t_1875,0.947,0.355,0.355,0.355,0.055,0.205,0.055
t_1876,0.956,0.451,0.451,0.451,0.092,0.272,0.092
t_1877,0.955,0.577,0.577,0.577,0.132,0.355,0.132
t_1878,0.948,0.692,0.692,0.692,0.173,0.433,0.173
t_1879,0.952,0.736,0.736,0.736,0.188,0.462,0.188
t_1880,0.969,0.777,0.777,0.777,0.232,0.505,0.232
t_1881,0.972,0.82,0.82,0.82,0.326,0.573,0.326
t_1882,0.975,0.839,0.839,0.839,0.361,0.6,0.361
t_1883,0.972,0.854,0.854,0.854,0.342,0.598,0.342
t_1884,0.972,0.854,0.854,0.854,0.301,0.578,0.301
t_1885,0.974,0.849,0.849,0.849,0.268,0.559,0.268
t_1886,0.975,0.849,0.849,0.849,0.236,0.543,0.236
t_1887,0.973,0.811,0.811,0.811,0.193,0.502,0.193
t_1888,0.967,0.772,0.772,0.772,0.157,0.465,0.157
t_1889,0.958,0.72,0.72,0.72,0.143,0.432,0.143
t_1890,0.96,0.644,0.644,0.644,0.171,0.408,0.171
t_1891,0.962,0.559,0.559,0.559,0.182,0.371,0.182
t_1892,0.96,0.678,0.678,0.678,0.182,0.43,0.182
t_1893,0.952,0.588,0.588,0.588,0.183,0.386,0.183
t_1894,0.948,0.497,0.497,0.497,0.164,0.331,0.164
t_1895,0.943,0.435,0.435,0.435,0.165,0.3,0.165
t_1896,0.934,0.38,0.38,0.38,0.17,0.275,0.17
t_1897,0.932,0.342,0.342,0.342,0.177,0.26,0.177
t_1898,0.928,0.32,0.32,0.32,0.178,0.249,0.178
t_1899,0.918,0.325,0.325,0.325,0.178,0.252,0.178
t_1900,0.903,0.283,0.283,0.283,0.182,0.233,0.182
t_1901,0.895,0.29,0.29,0.29,0.176,0.233,0.176
t_1902,0.894,0.308,0.308,0.308,0.162,0.235,0.162
t_1903,0.894,0.306,0.306,0.306,0.141,0.224,0.141
t_1904,0.901,0.404,0.404,0.404,0.18,0.292,0.18
t_1905,0.941,0.369,0.369,0.369,0.199,0.284,0.199
t_1906,0.957,0.388,0.388,0.388,0.168,0.278,0.168
t_1907,0.951,0.338,0.338,0.338,0.126,0.232,0.126
t_1908,0.951,0.273,0.273,0.273,0.103,0.188,0.103
t_1909,0.949,0.393,0.393,0.393,0.106,0.25,0.106
t_1910,0.947,0.323,0.323,0.323,0.121,0.222,0.121
t_1911,0.942,0.281,0.281,0.281,0.129,0.205,0.129
t_1912,0.925,0.258,0.258,0.258,0.11,0.184,0.11
t_1913,0.912,0.199,0.199,0.199,0.063,0.131,0.063
t_1914,0.916,0.142,0.142,0.142,0.071,0.107,0.071
t_1915,0.919,0.103,0.103,0.103,0.098,0.101,0.098
t_1916,0.915,0.053,0.053,0.053,0.135,0.094,0.135
t_1917,0.901,0.015,0.015,0.015,0.181,0.098,0.181
t_1918,0.882,0.001,0.001,0.001,0.202,0.102,0.202
t_1919,0.853,0.0,0.0,0.0,0.205,0.103,0.205
t_1920,0.807,0.0,0.0,0.0,0.203,0.102,0.203
t_1921,0.745,0.0,0.0,0.0,0.201,0.101,0.201
t_1922,0.671,0.0,0.0,0.0,0.205,0.103,0.205
t_1923,0.6,0.0,0.0,0.0,0.215,0.108,0.215
t_1924,0.555,0.0,0.0,0.0,0.245,0.123,0.245
t_1925,0.548,0.002,0.002,0.002,0.279,0.141,0.279
t_1926,0.55,0.003,0.003,0.003,0.297,0.15,0.297
t_1927,0.524,0.003,0.003,0.003,0.264,0.134,0.264
t_1928,0.527,0.003,0.003,0.003,0.274,0.139,0.274
t_1929,0.731,0.01,0.01,0.01,0.313,0.162,0.313
t_1930,0.846,0.081,0.081,0.081,0.327,0.204,0.327
t_1931,0.882,0.136,0.136,0.136,0.352,0.244,0.352
t_1932,0.922,0.16,0.16,0.16,0.369,0.265,0.369
t_1933,0.937,0.174,0.174,0.174,0.392,0.283,0.392
t_1934,0.932,0.208,0.208,0.208,0.427,0.318,0.427
t_1935,0.944,0.246,0.246,0.246,0.458,0.352,0.458
t_1936,0.947,0.23,0.23,0.23,0.398,0.314,0.398
t_1937,0.9,0.066,0.066,0.066,0.358,0.212,0.358
t_1938,0.873,0.099,0.099,0.099,0.418,0.259,0.418
t_1939,0.864,0.164,0.164,0.164,0.485,0.325,0.485
t_1940,0.831,0.213,0.213,0.213,0.52,0.367,0.52
t_1941,0.776,0.221,0.221,0.221,0.499,0.36,0.499
t_1942,0.704,0.273,0.273,0.273,0.495,0.384,0.495
t_1943,0.624,0.311,0.311,0.311,0.465,0.388,0.465
t_1944,0.562,0.326,0.326,0.326,0.414,0.37,0.414
t_1945,0.517,0.344,0.344,0.344,0.355,0.35,0.355
t_1946,0.483,0.354,0.354,0.354,0.285,0.32,0.285
t_1947,0.464,0.357,0.357,0.357,0.214,0.286,0.214
t_1948,0.481,0.398,0.398,0.398,0.157,0.278,0.157
t_1949,0.509,0.37,0.37,0.37,0.124,0.247,0.124
t_1950,0.549,0.336,0.336,0.336,0.085,0.211,0.085
t_1951,0.575,0.275,0.275,0.275,0.044,0.16,0.044
t_1952,0.628,0.192,0.192,0.192,0.016,0.104,0.016
t_1953,0.886,0.186,0.186,0.186,0.013,0.1,0.013
t_1954,0.908,0.196,0.196,0.196,0.008,0.102,0.008
t_1955,0.881,0.198,0.198,0.198,0.002,0.1,0.002
t_1956,0.85,0.192,0.192,0.192,0.001,0.097,0.001
t_1957,0.813,0.168,0.168,0.168,0.0,0.084,0.0
t_1958,0.776,0.097,0.097,0.097,0.0,0.049,0.0
t_1959,0.734,0.042,0.042,0.042,0.002,0.022,0.002
t_1960,0.716,0.016,0.016,0.016,0.014,0.015,0.014
t_1961,0.639,0.006,0.006,0.006,0.04,0.023,0.04
t_1962,0.475,0.004,0.004,0.004,0.077,0.041,0.077
t_1963,0.447,0.003,0.003,0.003,0.087,0.045,0.087
t_1964,0.418,0.0,0.0,0.0,0.094,0.047,0.094
t_1965,0.376,0.0,0.0,0.0,0.104,0.052,0.104
t_1966,0.328,0.0,0.0,0.0,0.124,0.062,0.124
t_1967,0.281,0.0,0.0,0.0,0.152,0.076,0.152
t_1968,0.251,0.0,0.0,0.0,0.153,0.077,0.153
t_1969,0.224,0.0,0.0,0.0,0.177,0.089,0.177
t_1970,0.206,0.0,0.0,0.0,0.186,0.093,0.186
t_1971,0.203,0.001,0.001,0.001,0.178,0.09,0.178
t_1972,0.198,0.001,0.001,0.001,0.163,0.082,0.163
t_1973,0.208,0.003,0.003,0.003,0.142,0.073,0.142
t_1974,0.255,0.005,0.005,0.005,0.112,0.059,0.112
t_1975,0.296,0.004,0.004,0.004,0.063,0.034,0.063
t_1976,0.433,0.0,0.0,0.0,0.023,0.012,0.023
t_1977,0.723,0.0,0.0,0.0,0.018,0.009,0.018
t_1978,0.853,0.0,0.0,0.0,0.007,0.004,0.007
t_1979,0.883,0.0,0.0,0.0,0.001,0.001,0.001
t_1980,0.893,0.0,0.0,0.0,0.0,0.0,0.0
t_1981,0.895,0.0,0.0,0.0,0.0,0.0,0.0
t_1982,0.895,0.0,0.0,0.0,0.0,0.0,0.0
t_1983,0.886,0.0,0.0,0.0,0.001,0.001,0.001
t_1984,0.851,0.0,0.0,0.0,0.0,0.0,0.0
t_1985,0.764,0.0,0.0,0.0,0.001,0.001,0.001
t_1986,0.652,0.008,0.008,0.008,0.004,0.006,0.004
t_1987,0.62,0.003,0.003,0.003,0.017,0.01,0.017
t_1988,0.541,0.006,0.006,0.006,0.037,0.022,0.037
t_1989,0.446,0.009,0.009,0.009,0.046,0.028,0.046
t_1990,0.364,0.019,0.019,0.019,0.068,0.044,0.068
t_1991,0.291,0.023,0.023,0.023,0.093,0.058,0.093
t_1992,0.238,0.042,0.042,0.042,0.121,0.082,0.121
t_1993,0.199,0.047,0.047,0.047,0.166,0.107,0.166
t_1994,0.19,0.049,0.049,0.049,0.212,0.131,0.212
t_1995,0.192,0.047,0.047,0.047,0.246,0.147,0.246
t_1996,0.182,0.028,0.028,0.028,0.272,0.15,0.272
t_1997,0.168,0.02,0.02,0.02,0.302,0.161,0.302
t_1998,0.16,0.017,0.017,0.017,0.321,0.169,0.321
t_1999,0.123,0.015,0.015,0.015,0.332,0.174,0.332
t_2000,0.092,0.008,0.008,0.008,0.426,0.217,0.426
t_2001,0.128,0.008,0.008,0.008,0.579,0.294,0.579
t_2002,0.137,0.014,0.014,0.014,0.669,0.342,0.669
t_2003,0.047,0.021,0.021,0.021,0.744,0.383,0.744
t_2004,0.012,0.028,0.028,0.028,0.839,0.434,0.839
t_2005,0.005,0.04,0.04,0.04,0.884,0.462,0.884
t_2006,0.004,0.06,0.06,0.06,0.904,0.482,0.904
t_2007,0.007,0.075,0.075,0.075,0.909,0.492,0.909
t_2008,0.039,0.046,0.046,0.046,0.881,0.464,0.881
t_2009,0.083,0.033,0.033,0.033,0.834,0.434,0.834
t_2010,0.185,0.039,0.039,0.039,0.835,0.437,0.835
t_2011,0.187,0.047,0.047,0.047,0.818,0.433,0.818
t_2012,0.228,0.054,0.054,0.054,0.79,0.422,0.79
t_2013,0.214,0.046,0.046,0.046,0.763,0.405,0.763
t_2014,0.095,0.049,0.049,0.049,0.759,0.404,0.759
t_2015,0.039,0.058,0.058,0.058,0.74,0.399,0.74
t_2016,0.017,0.069,0.069,0.069,0.707,0.388,0.707
t_2017,0.025,0.095,0.095,0.095,0.672,0.384,0.672
t_2018,0.008,0.129,0.129,0.129,0.647,0.388,0.647
t_2019,0.006,0.148,0.148,0.148,0.627,0.388,0.627
t_2020,0.006,0.139,0.139,0.139,0.589,0.364,0.589
t_2021,0.005,0.136,0.136,0.136,0.539,0.338,0.539
t_2022,0.004,0.123,0.123,0.123,0.501,0.312,0.501
t_2023,0.002,0.121,0.121,0.121,0.398,0.26,0.398
t_2024,0.001,0.014,0.014,0.014,0.359,0.187,0.359
t_2025,0.008,0.001,0.001,0.001,0.536,0.269,0.536
t_2026,0.028,0.0,0.0,0.0,0.676,0.338,0.676
t_2027,0.05,0.0,0.0,0.0,0.717,0.359,0.717
t_2028,0.063,0.0,0.0,0.0,0.724,0.362,0.724
t_2029,0.068,0.0,0.0,0.0,0.745,0.373,0.745
t_2030,0.063,0.0,0.0,0.0,0.743,0.372,0.743
t_2031,0.046,0.0,0.0,0.0,0.728,0.364,0.728
t_2032,0.023,0.0,0.0,0.0,0.71,0.355,0.71
t_2033,0.01,0.0,0.0,0.0,0.623,0.312,0.623
t_2034,0.006,0.0,0.0,0.0,0.631,0.316,0.631
t_2035,0.005,0.0,0.0,0.0,0.652,0.326,0.652
t_2036,0.004,0.0,0.0,0.0,0.644,0.322,0.644
t_2037,0.003,0.0,0.0,0.0,0.624,0.312,0.624
t_2038,0.004,0.0,0.0,0.0,0.629,0.315,0.629
t_2039,0.006,0.02,0.02,0.02,0.62,0.32,0.62
t_2040,0.01,0.11,0.11,0.11,0.609,0.36,0.609
t_2041,0.017,0.221,0.221,0.221,0.576,0.399,0.576
t_2042,0.021,0.324,0.324,0.324,0.543,0.434,0.543
t_2043,0.023,0.381,0.381,0.381,0.515,0.448,0.515
t_2044,0.021,0.365,0.365,0.365,0.478,0.422,0.478
t_2045,0.016,0.231,0.231,0.231,0.45,0.341,0.45
t_2046,0.012,0.219,0.219,0.219,0.434,0.327,0.434
t_2047,0.007,0.161,0.161,0.161,0.341,0.251,0.341
t_2048,0.003,0.063,0.063,0.063,0.312,0.188,0.312
t_2049,0.013,0.017,0.017,0.017,0.475,0.246,0.475
t_2050,0.031,0.011,0.011,0.011,0.513,0.262,0.513
t_2051,0.06,0.007,0.007,0.007,0.517,0.262,0.517
t_2052,0.08,0.002,0.002,0.002,0.542,0.272,0.542
t_2053,0.098,0.001,0.001,0.001,0.583,0.292,0.583
t_2054,0.115,0.001,0.001,0.001,0.624,0.313,0.624
t_2055,0.147,0.001,0.001,0.001,0.648,0.325,0.648
t_2056,0.147,0.001,0.001,0.001,0.638,0.32,0.638
t_2057,0.101,0.0,0.0,0.0,0.534,0.267,0.534
t_2058,0.086,0.0,0.0,0.0,0.535,0.268,0.535
t_2059,0.077,0.021,0.021,0.021,0.529,0.275,0.529
t_2060,0.057,0.112,0.112,0.112,0.486,0.299,0.486
t_2061,0.042,0.264,0.264,0.264,0.436,0.35,0.436
t_2062,0.038,0.418,0.418,0.418,0.373,0.396,0.373
t_2063,0.053,0.51,0.51,0.51,0.328,0.419,0.328
t_2064,0.048,0.537,0.537,0.537,0.286,0.412,0.286
t_2065,0.025,0.508,0.508,0.508,0.243,0.376,0.243
t_2066,0.012,0.412,0.412,0.412,0.192,0.302,0.192
t_2067,0.007,0.315,0.315,0.315,0.157,0.236,0.157
t_2068,0.001,0.113,0.113,0.113,0.126,0.12,0.126
t_2069,0.0,0.041,0.041,0.041,0.107,0.074,0.107
t_2070,0.003,0.006,0.006,0.006,0.098,0.052,0.098
t_2071,0.007,0.0,0.0,0.0,0.048,0.024,0.048
t_2072,0.003,0.0,0.0,0.0,0.039,0.02,0.039
t_2073,0.001,0.0,0.0,0.0,0.129,0.065,0.129
t_2074,0.001,0.0,0.0,0.0,0.167,0.084,0.167
t_2075,0.001,0.0,0.0,0.0,0.169,0.085,0.169
t_2076,0.0,0.0,0.0,0.0,0.165,0.083,0.165
t_2077,0.001,0.0,0.0,0.0,0.162,0.081,0.162
t_2078,0.001,0.0,0.0,0.0,0.156,0.078,0.156
t_2079,0.001,0.0,0.0,0.0,0.146,0.073,0.146
t_2080,0.0,0.0,0.0,0.0,0.131,0.066,0.131
t_2081,0.0,0.0,0.0,0.0,0.11,0.055,0.11
t_2082,0.0,0.0,0.0,0.0,0.138,0.069,0.138
t_2083,0.0,0.0,0.0,0.0,0.17,0.085,0.17
t_2084,0.001,0.0,0.0,0.0,0.16,0.08,0.16
t_2085,0.001,0.006,0.006,0.006,0.148,0.077,0.148
t_2086,0.001,0.104,0.104,0.104,0.074,0.089,0.074
t_2087,0.001,0.254,0.254,0.254,0.08,0.167,0.08
t_2088,0.0,0.384,0.384,0.384,0.087,0.236,0.087
t_2089,0.0,0.434,0.434,0.434,0.092,0.263,0.092
t_2090,0.0,0.431,0.431,0.431,0.084,0.258,0.084
t_2091,0.0,0.405,0.405,0.405,0.078,0.242,0.078
t_2092,0.0,0.236,0.236,0.236,0.072,0.154,0.072
t_2093,0.001,0.204,0.204,0.204,0.047,0.126,0.047
t_2094,0.001,0.174,0.174,0.174,0.036,0.105,0.036
t_2095,0.001,0.123,0.123,0.123,0.011,0.067,0.011
t_2096,0.0,0.036,0.036,0.036,0.002,0.019,0.002
t_2097,0.0,0.005,0.005,0.005,0.001,0.003,0.001
t_2098,0.0,0.004,0.004,0.004,0.002,0.003,0.002
t_2099,0.0,0.006,0.006,0.006,0.001,0.004,0.001
t_2100,0.0,0.005,0.005,0.005,0.001,0.003,0.001
t_2101,0.0,0.009,0.009,0.009,0.001,0.005,0.001
t_2102,0.001,0.007,0.007,0.007,0.001,0.004,0.001
t_2103,0.002,0.004,0.004,0.004,0.0,0.002,0.0
t_2104,0.004,0.001,0.001,0.001,0.0,0.001,0.0
t_2105,0.003,0.0,0.0,0.0,0.0,0.0,0.0
t_2106,0.002,0.0,0.0,0.0,0.0,0.0,0.0
t_2107,0.003,0.0,0.0,0.0,0.0,0.0,0.0
t_2108,0.004,0.0,0.0,0.0,0.0,0.0,0.0
t_2109,0.004,0.0,0.0,0.0,0.0,0.0,0.0
t_2110,0.008,0.0,0.0,0.0,0.0,0.0,0.0
t_2111,0.015,0.004,0.004,0.004,0.0,0.002,0.0
t_2112,0.021,0.026,0.026,0.026,0.002,0.014,0.002
t_2113,0.033,0.059,0.059,0.059,0.004,0.032,0.004
t_2114,0.052,0.097,0.097,0.097,0.005,0.051,0.005
t_2115,0.084,0.123,0.123,0.123,0.006,0.065,0.006
t_2116,0.087,0.128,0.128,0.128,0.005,0.067,0.005
t_2117,0.066,0.106,0.106,0.106,0.003,0.055,0.003
t_2118,0.034,0.087,0.087,0.087,0.002,0.045,0.002
t_2119,0.013,0.036,0.036,0.036,0.001,0.019,0.001
t_2120,0.01,0.001,0.001,0.001,0.0,0.001,0.0
t_2121,0.036,0.0,0.0,0.0,0.004,0.002,0.004
t_2122,0.08,0.0,0.0,0.0,0.023,0.012,0.023
t_2123,0.186,0.0,0.0,0.0,0.059,0.03,0.059
t_2124,0.338,0.0,0.0,0.0,0.093,0.047,0.093
t_2125,0.457,0.0,0.0,0.0,0.115,0.058,0.115
t_2126,0.309,0.0,0.0,0.0,0.135,0.068,0.135
t_2127,0.285,0.0,0.0,0.0,0.16,0.08,0.16
t_2128,0.243,0.0,0.0,0.0,0.186,0.093,0.186
t_2129,0.13,0.007,0.007,0.007,0.205,0.106,0.205
t_2130,0.077,0.045,0.045,0.045,0.307,0.176,0.307
t_2131,0.074,0.079,0.079,0.079,0.363,0.221,0.363
t_2132,0.057,0.045,0.045,0.045,0.34,0.193,0.34
t_2133,0.26,0.065,0.065,0.065,0.288,0.177,0.288
t_2134,0.274,0.089,0.089,0.089,0.233,0.161,0.233
t_2135,0.281,0.102,0.102,0.102,0.19,0.146,0.19
t_2136,0.239,0.077,0.077,0.077,0.162,0.12,0.162
t_2137,0.177,0.031,0.031,0.031,0.146,0.089,0.146
t_2138,0.137,0.013,0.013,0.013,0.118,0.066,0.118
t_2139,0.107,0.007,0.007,0.007,0.083,0.045,0.083
t_2140,0.09,0.002,0.002,0.002,0.038,0.02,0.038
t_2141,0.098,0.001,0.001,0.001,0.02,0.011,0.02
t_2142,0.132,0.0,0.0,0.0,0.017,0.009,0.017
t_2143,0.124,0.0,0.0,0.0,0.012,0.006,0.012
t_2144,0.071,0.0,0.0,0.0,0.008,0.004,0.008
t_2145,0.051,0.0,0.0,0.0,0.006,0.003,0.006
t_2146,0.037,0.0,0.0,0.0,0.002,0.001,0.002
t_2147,0.024,0.0,0.0,0.0,0.003,0.002,0.003
t_2148,0.022,0.0,0.0,0.0,0.002,0.001,0.002
t_2149,0.021,0.0,0.0,0.0,0.001,0.001,0.001
t_2150,0.017,0.001,0.001,0.001,0.0,0.001,0.0
t_2151,0.015,0.001,0.001,0.001,0.0,0.001,0.0
t_2152,0.013,0.003,0.003,0.003,0.0,0.002,0.0
t_2153,0.01,0.01,0.01,0.01,0.0,0.005,0.0
t_2154,0.019,0.042,0.042,0.042,0.004,0.023,0.004
t_2155,0.064,0.018,0.018,0.018,0.027,0.023,0.027
t_2156,0.122,0.013,0.013,0.013,0.067,0.04,0.067
t_2157,0.13,0.006,0.006,0.006,0.092,0.049,0.092
t_2158,0.125,0.005,0.005,0.005,0.104,0.055,0.104
t_2159,0.127,0.007,0.007,0.007,0.095,0.051,0.095
t_2160,0.109,0.013,0.013,0.013,0.097,0.055,0.097
t_2161,0.113,0.037,0.037,0.037,0.09,0.064,0.09
t_2162,0.14,0.091,0.091,0.091,0.076,0.084,0.076
t_2163,0.137,0.117,0.117,0.117,0.067,0.092,0.067
t_2164,0.128,0.137,0.137,0.137,0.048,0.093,0.048
t_2165,0.134,0.157,0.157,0.157,0.039,0.098,0.039
t_2166,0.171,0.167,0.167,0.167,0.035,0.101,0.035
t_2167,0.199,0.092,0.092,0.092,0.012,0.052,0.012
t_2168,0.202,0.003,0.003,0.003,0.01,0.007,0.01
t_2169,0.253,0.0,0.0,0.0,0.018,0.009,0.018
t_2170,0.334,0.0,0.0,0.0,0.025,0.013,0.025
t_2171,0.481,0.0,0.0,0.0,0.026,0.013,0.026
t_2172,0.67,0.0,0.0,0.0,0.023,0.012,0.023
t_2173,0.692,0.0,0.0,0.0,0.021,0.011,0.021
t_2174,0.734,0.001,0.001,0.001,0.021,0.011,0.021
t_2175,0.692,0.002,0.002,0.002,0.024,0.013,0.024
t_2176,0.566,0.004,0.004,0.004,0.036,0.02,0.036
t_2177,0.483,0.008,0.008,0.008,0.075,0.042,0.075
t_2178,0.409,0.014,0.014,0.014,0.165,0.09,0.165
t_2179,0.443,0.035,0.035,0.035,0.235,0.135,0.235
t_2180,0.446,0.124,0.124,0.124,0.256,0.19,0.256
t_2181,0.391,0.214,0.214,0.214,0.247,0.231,0.247
t_2182,0.347,0.258,0.258,0.258,0.194,0.226,0.194
t_2183,0.321,0.458,0.458,0.458,0.176,0.317,0.176
t_2184,0.326,0.434,0.434,0.434,0.144,0.289,0.144
t_2185,0.326,0.389,0.389,0.389,0.116,0.253,0.116
t_2186,0.309,0.29,0.29,0.29,0.097,0.194,0.097
t_2187,0.286,0.174,0.174,0.174,0.078,0.126,0.078
t_2188,0.285,0.091,0.091,0.091,0.057,0.074,0.057
t_2189,0.288,0.039,0.039,0.039,0.046,0.043,0.046
t_2190,0.288,0.021,0.021,0.021,0.017,0.019,0.017
t_2191,0.269,0.009,0.009,0.009,0.005,0.007,0.005
t_2192,0.212,0.0,0.0,0.0,0.0,0.0,0.0
t_2193,0.199,0.0,0.0,0.0,0.001,0.001,0.001
t_2194,0.371,0.0,0.0,0.0,0.0,0.0,0.0
t_2195,0.468,0.0,0.0,0.0,0.0,0.0,0.0
t_2196,0.496,0.0,0.0,0.0,0.0,0.0,0.0
t_2197,0.476,0.0,0.0,0.0,0.0,0.0,0.0
t_2198,0.412,0.0,0.0,0.0,0.0,0.0,0.0
t_2199,0.308,0.003,0.003,0.003,0.0,0.002,0.0
t_2200,0.155,0.006,0.006,0.006,0.0,0.003,0.0
t_2201,0.062,0.013,0.013,0.013,0.002,0.008,0.002
t_2202,0.055,0.007,0.007,0.007,0.006,0.007,0.006
t_2203,0.049,0.013,0.013,0.013,0.009,0.011,0.009
t_2204,0.035,0.015,0.015,0.015,0.01,0.013,0.01
t_2205,0.018,0.013,0.013,0.013,0.005,0.009,0.005
t_2206,0.015,0.009,0.009,0.009,0.002,0.006,0.002
t_2207,0.012,0.004,0.004,0.004,0.001,0.003,0.001
t_2208,0.011,0.001,0.001,0.001,0.001,0.001,0.001
t_2209,0.013,0.0,0.0,0.0,0.001,0.001,0.001
t_2210,0.01,0.0,0.0,0.0,0.002,0.001,0.002
t_2211,0.011,0.0,0.0,0.0,0.004,0.002,0.004
t_2212,0.008,0.0,0.0,0.0,0.01,0.005,0.01
t_2213,0.007,0.0,0.0,0.0,0.022,0.011,0.022
t_2214,0.013,0.0,0.0,0.0,0.03,0.015,0.03
t_2215,0.029,0.0,0.0,0.0,0.013,0.007,0.013
t_2216,0.028,0.0,0.0,0.0,0.007,0.004,0.007
t_2217,0.059,0.001,0.001,0.001,0.007,0.004,0.007
t_2218,0.091,0.001,0.001,0.001,0.006,0.004,0.006
t_2219,0.075,0.002,0.002,0.002,0.004,0.003,0.004
t_2220,0.082,0.003,0.003,0.003,0.005,0.004,0.005
t_2221,0.114,0.007,0.007,0.007,0.006,0.007,0.006
t_2222,0.095,0.042,0.042,0.042,0.007,0.025,0.007
t_2223,0.126,0.118,0.118,0.118,0.006,0.062,0.006
t_2224,0.171,0.211,0.211,0.211,0.004,0.108,0.004
t_2225,0.167,0.258,0.258,0.258,0.003,0.131,0.003
t_2226,0.19,0.274,0.274,0.274,0.012,0.143,0.012
t_2227,0.287,0.389,0.389,0.389,0.029,0.209,0.029
t_2228,0.409,0.499,0.499,0.499,0.05,0.275,0.05
t_2229,0.539,0.518,0.518,0.518,0.07,0.294,0.07
t_2230,0.687,0.437,0.437,0.437,0.083,0.26,0.083
t_2231,0.791,0.228,0.228,0.228,0.094,0.161,0.094
t_2232,0.833,0.23,0.23,0.23,0.117,0.174,0.117
t_2233,0.845,0.208,0.208,0.208,0.157,0.183,0.157
t_2234,0.852,0.224,0.224,0.224,0.209,0.217,0.209
t_2235,0.869,0.308,0.308,0.308,0.291,0.3,0.291
t_2236,0.878,0.459,0.459,0.459,0.333,0.396,0.333
t_2237,0.878,0.607,0.607,0.607,0.406,0.507,0.406
t_2238,0.877,0.795,0.795,0.795,0.439,0.617,0.439
t_2239,0.873,0.823,0.823,0.823,0.468,0.646,0.468
t_2240,0.89,0.922,0.922,0.922,0.546,0.734,0.546
