t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_32,0.813,0.813,0.813,0.708,0.761,0.708,0.2154
t_33,0.525,0.525,0.525,0.685,0.605,0.685,0.3131
t_34,0.431,0.431,0.431,0.731,0.581,0.731,0.3253
t_35,0.454,0.454,0.454,0.852,0.653,0.852,0.6179
t_36,0.485,0.485,0.485,0.940,0.713,0.940,0.7837
t_37,0.539,0.539,0.539,0.966,0.753,0.966,0.8124
t_38,0.531,0.531,0.531,0.941,0.736,0.941,0.7787
t_39,0.317,0.317,0.317,0.906,0.612,0.906,0.7424
t_40,0.442,0.442,0.442,0.911,0.677,0.911,0.6902
t_41,0.552,0.552,0.552,0.888,0.720,0.888,0.5866
t_42,0.619,0.619,0.619,0.827,0.723,0.827,0.6877
t_43,0.667,0.667,0.667,0.750,0.709,0.750,0.7823
t_44,0.699,0.699,0.699,0.662,0.681,0.662,0.7867
t_45,0.698,0.698,0.698,0.576,0.637,0.576,0.7732
t_46,0.625,0.625,0.625,0.503,0.564,0.503,0.7612
t_47,0.748,0.748,0.748,0.452,0.600,0.452,0.7375
t_48,0.660,0.660,0.660,0.389,0.525,0.389,0.6886
t_49,0.724,0.724,0.724,0.346,0.535,0.346,0.6474
t_50,0.699,0.699,0.699,0.253,0.476,0.253,0.6367
t_51,0.715,0.715,0.715,0.239,0.477,0.239,0.6421
t_52,0.697,0.697,0.697,0.209,0.453,0.209,0.637
t_53,0.635,0.635,0.635,0.168,0.402,0.168,0.6
t_54,0.307,0.307,0.307,0.127,0.217,0.127,0.5806
t_55,0.215,0.215,0.215,0.089,0.152,0.089,0.575
t_56,0.154,0.154,0.154,0.061,0.108,0.061,0.5957
t_57,0.058,0.058,0.058,0.040,0.049,0.040,0.5955
t_58,0.018,0.018,0.018,0.053,0.036,0.053,0.6248
t_59,0.005,0.005,0.005,0.058,0.032,0.058,0.6756
t_60,0.000,0.000,0.000,0.064,0.032,0.064,0.6386
t_61,0.001,0.001,0.001,0.082,0.042,0.082,0.6014
t_62,0.006,0.006,0.006,0.097,0.052,0.097,0.579
t_63,0.009,0.009,0.009,0.082,0.046,0.082,0.5634
t_64,0.023,0.023,0.023,0.071,0.047,0.071,0.5789
t_65,0.050,0.050,0.050,0.078,0.064,0.078,0.6297
t_66,0.041,0.041,0.041,0.078,0.060,0.078,0.6457
t_67,0.070,0.070,0.070,0.089,0.080,0.089,0.6178
t_68,0.100,0.100,0.100,0.106,0.103,0.106,0.6075
t_69,0.118,0.118,0.118,0.127,0.123,0.127,0.6021
t_70,0.122,0.122,0.122,0.129,0.126,0.129,0.5733
t_71,0.138,0.138,0.138,0.117,0.128,0.117,0.5532
t_72,0.164,0.164,0.164,0.087,0.126,0.087,0.5218
t_73,0.199,0.199,0.199,0.052,0.126,0.052,0.5173
t_74,0.246,0.246,0.246,0.034,0.140,0.034,0.4857
t_75,0.296,0.296,0.296,0.026,0.161,0.026,0.4536
t_76,0.362,0.362,0.362,0.014,0.188,0.014,0.4655
t_77,0.374,0.374,0.374,0.015,0.195,0.015,0.4775
t_78,0.355,0.355,0.355,0.016,0.186,0.016,0.4707
t_79,0.350,0.350,0.350,0.017,0.184,0.017,0.4589
t_80,0.359,0.359,0.359,0.016,0.188,0.016,0.4285
t_81,0.306,0.306,0.306,0.044,0.175,0.044,0.3451
t_82,0.228,0.228,0.228,0.077,0.153,0.077,0.2347
t_83,0.248,0.248,0.248,0.080,0.164,0.080,0.18
t_84,0.350,0.350,0.350,0.085,0.218,0.085,0.0873
t_85,0.418,0.418,0.418,0.099,0.259,0.099,0.0281
t_86,0.458,0.458,0.458,0.128,0.293,0.128,0.0143
t_87,0.488,0.488,0.488,0.138,0.313,0.138,0.0074
t_88,0.484,0.484,0.484,0.102,0.293,0.102,0.0053
t_89,0.480,0.480,0.480,0.093,0.287,0.093,0.0036
t_90,0.409,0.409,0.409,0.112,0.261,0.112,0.0158
t_91,0.304,0.304,0.304,0.134,0.219,0.134,0.0413
t_92,0.207,0.207,0.207,0.146,0.177,0.146,0.0514
t_93,0.138,0.138,0.138,0.157,0.148,0.157,0.0625
t_94,0.125,0.125,0.125,0.193,0.159,0.193,0.08
t_95,0.122,0.122,0.122,0.235,0.179,0.235,0.0789
t_96,0.115,0.115,0.115,0.261,0.188,0.261,0.0735
t_97,0.100,0.100,0.100,0.287,0.194,0.287,0.0637
t_98,0.073,0.073,0.073,0.301,0.187,0.301,0.0484
t_99,0.056,0.056,0.056,0.292,0.174,0.292,0.0534
t_100,0.042,0.042,0.042,0.244,0.143,0.244,0.0673
t_101,0.045,0.045,0.045,0.189,0.117,0.189,0.0884
t_102,0.066,0.066,0.066,0.161,0.114,0.161,0.1057
t_103,0.090,0.090,0.090,0.147,0.119,0.147,0.1135
t_104,0.113,0.113,0.113,0.139,0.126,0.139,0.1117
t_105,0.129,0.129,0.129,0.127,0.128,0.127,0.0934
t_106,0.084,0.084,0.084,0.125,0.105,0.125,0.0704
t_107,0.005,0.005,0.005,0.163,0.084,0.163,0.023
t_108,0.000,0.000,0.000,0.165,0.083,0.165,0.0038
t_109,0.000,0.000,0.000,0.173,0.087,0.173,0.0041
t_110,0.000,0.000,0.000,0.184,0.092,0.184,0.0017
t_111,0.000,0.000,0.000,0.185,0.093,0.185,0.0008
t_112,0.000,0.000,0.000,0.211,0.106,0.211,0.0004
t_113,0.008,0.008,0.008,0.212,0.110,0.212,0.0001
t_114,0.040,0.040,0.040,0.191,0.116,0.191,0
t_115,0.094,0.094,0.094,0.168,0.131,0.168,0.0007
t_116,0.146,0.146,0.146,0.140,0.143,0.140,0.0087
t_117,0.209,0.209,0.209,0.123,0.166,0.123,0.0221
t_118,0.297,0.297,0.297,0.099,0.198,0.099,0.0313
t_119,0.615,0.615,0.615,0.078,0.347,0.078,0.0348
t_120,0.700,0.700,0.700,0.030,0.365,0.030,0.0264
t_121,0.713,0.713,0.713,0.024,0.369,0.024,0.0188
t_122,0.704,0.704,0.704,0.020,0.362,0.020,0.0155
t_123,0.669,0.669,0.669,0.018,0.344,0.018,0.0129
t_124,0.574,0.574,0.574,0.018,0.296,0.018,0.0095
t_125,0.300,0.300,0.300,0.021,0.161,0.021,0.0079
t_126,0.217,0.217,0.217,0.019,0.118,0.019,0.01
t_127,0.148,0.148,0.148,0.019,0.084,0.019,0.013
t_128,0.096,0.096,0.096,0.017,0.057,0.017,0.0153
t_129,0.056,0.056,0.056,0.008,0.032,0.008,0.0167
t_130,0.037,0.037,0.037,0.001,0.019,0.001,0.01
t_131,0.022,0.022,0.022,0.000,0.011,0.000,0.0009
t_132,0.016,0.016,0.016,0.000,0.008,0.000,0.0001
t_133,0.016,0.016,0.016,0.000,0.008,0.000,0
t_134,0.012,0.012,0.012,0.000,0.006,0.000,0.0002
t_135,0.009,0.009,0.009,0.001,0.005,0.001,0.0003
t_136,0.006,0.006,0.006,0.001,0.004,0.001,0.0004
t_137,0.001,0.001,0.001,0.002,0.002,0.002,0.0055
t_138,0.000,0.000,0.000,0.004,0.002,0.004,0.0233
t_139,0.000,0.000,0.000,0.010,0.005,0.010,0.0438
t_140,0.000,0.000,0.000,0.023,0.012,0.023,0.0635
t_141,0.000,0.000,0.000,0.045,0.023,0.045,0.079
t_142,0.000,0.000,0.000,0.084,0.042,0.084,0.0972
t_143,0.000,0.000,0.000,0.111,0.056,0.111,0.117
t_144,0.000,0.000,0.000,0.109,0.055,0.109,0.1333
t_145,0.000,0.000,0.000,0.108,0.054,0.108,0.1509
t_146,0.000,0.000,0.000,0.099,0.050,0.099,0.1816
t_147,0.000,0.000,0.000,0.093,0.047,0.093,0.2251
t_148,0.000,0.000,0.000,0.088,0.044,0.088,0.2657
t_149,0.000,0.000,0.000,0.085,0.043,0.085,0.3212
t_150,0.000,0.000,0.000,0.082,0.041,0.082,0.3699
t_151,0.000,0.000,0.000,0.075,0.038,0.075,0.3924
t_152,0.000,0.000,0.000,0.062,0.031,0.062,0.4085
t_153,0.000,0.000,0.000,0.038,0.019,0.038,0.3889
t_154,0.000,0.000,0.000,0.023,0.012,0.023,0.2871
t_155,0.000,0.000,0.000,0.016,0.008,0.016,0.1618
t_156,0.000,0.000,0.000,0.013,0.007,0.013,0.1106
t_157,0.000,0.000,0.000,0.009,0.005,0.009,0.0719
t_158,0.000,0.000,0.000,0.007,0.004,0.007,0.0324
t_159,0.002,0.002,0.002,0.004,0.003,0.004,0.023
t_160,0.006,0.006,0.006,0.001,0.004,0.001,0.0484
t_161,0.004,0.004,0.004,0.001,0.003,0.001,0.0806
t_162,0.004,0.004,0.004,0.000,0.002,0.000,0.1017
t_163,0.002,0.002,0.002,0.000,0.001,0.000,0.13
t_164,0.001,0.001,0.001,0.000,0.001,0.000,0.1542
t_165,0.000,0.000,0.000,0.000,0.000,0.000,0.1797
t_166,0.000,0.000,0.000,0.000,0.000,0.000,0.1801
t_167,0.000,0.000,0.000,0.000,0.000,0.000,0.1841
t_168,0.000,0.000,0.000,0.000,0.000,0.000,0.2114
t_169,0.000,0.000,0.000,0.000,0.000,0.000,0.2127
t_170,0.001,0.001,0.001,0.000,0.001,0.000,0.1814
t_171,0.001,0.001,0.001,0.000,0.001,0.000,0.1596
t_172,0.002,0.002,0.002,0.000,0.001,0.000,0.1384
t_173,0.006,0.006,0.006,0.000,0.003,0.000,0.1142
t_174,0.008,0.008,0.008,0.000,0.004,0.000,0.0917
t_175,0.011,0.011,0.011,0.000,0.006,0.000,0.0852
t_176,0.023,0.023,0.023,0.000,0.012,0.000,0.0741
t_177,0.028,0.028,0.028,0.000,0.014,0.000,0.0505
t_178,0.002,0.002,0.002,0.000,0.001,0.000,0.0312
t_179,0.000,0.000,0.000,0.000,0.000,0.000,0.0022
t_180,0.000,0.000,0.000,0.000,0.000,0.000,0
t_181,0.000,0.000,0.000,0.000,0.000,0.000,0
t_182,0.000,0.000,0.000,0.000,0.000,0.000,0.0022
t_183,0.000,0.000,0.000,0.000,0.000,0.000,0.0177
t_184,0.000,0.000,0.000,0.000,0.000,0.000,0.0144
t_185,0.001,0.001,0.001,0.000,0.001,0.000,0.0048
t_186,0.006,0.006,0.006,0.000,0.003,0.000,0.0027
t_187,0.027,0.027,0.027,0.002,0.015,0.002,0.0091
t_188,0.063,0.063,0.063,0.005,0.034,0.005,0.0155
t_189,0.102,0.102,0.102,0.010,0.056,0.010,0.0187
t_190,0.137,0.137,0.137,0.017,0.077,0.017,0.0156
t_191,0.150,0.150,0.150,0.031,0.091,0.031,0.0112
t_192,0.123,0.123,0.123,0.042,0.083,0.042,0.0063
t_193,0.112,0.112,0.112,0.040,0.076,0.040,0.0036
t_194,0.108,0.108,0.108,0.040,0.074,0.040,0.0032
t_195,0.106,0.106,0.106,0.042,0.074,0.042,0.0062
t_196,0.099,0.099,0.099,0.049,0.074,0.049,0.0094
t_197,0.073,0.073,0.073,0.071,0.072,0.071,0.0158
t_198,0.048,0.048,0.048,0.102,0.075,0.102,0.0312
t_199,0.014,0.014,0.014,0.132,0.073,0.132,0.0352
t_200,0.008,0.008,0.008,0.157,0.083,0.157,0.0266
t_201,0.005,0.005,0.005,0.159,0.082,0.159,0.0331
t_202,0.002,0.002,0.002,0.146,0.074,0.146,0.0355
t_203,0.002,0.002,0.002,0.160,0.081,0.160,0.0178
t_204,0.003,0.003,0.003,0.211,0.107,0.211,0.0248
t_205,0.011,0.011,0.011,0.270,0.141,0.270,0.0379
t_206,0.008,0.008,0.008,0.277,0.143,0.277,0.0436
t_207,0.003,0.003,0.003,0.243,0.123,0.243,0.0592
t_208,0.002,0.002,0.002,0.252,0.127,0.252,0.0838
t_209,0.008,0.008,0.008,0.290,0.149,0.290,0.1288
t_210,0.016,0.016,0.016,0.312,0.164,0.312,0.1912
t_211,0.046,0.046,0.046,0.363,0.205,0.363,0.2323
t_212,0.107,0.107,0.107,0.455,0.281,0.455,0.2723
t_213,0.343,0.343,0.343,0.598,0.471,0.598,0.288
t_214,0.534,0.534,0.534,0.818,0.676,0.818,0.3035
t_215,0.467,0.467,0.467,0.938,0.703,0.938,0.286
t_216,0.617,0.617,0.617,0.979,0.798,0.979,0.2537
t_217,0.735,0.735,0.735,0.989,0.862,0.989,0.2346
t_218,0.820,0.820,0.820,0.993,0.907,0.993,0.1945
t_219,0.902,0.902,0.902,0.997,0.950,0.997,0.2223
t_220,0.938,0.938,0.938,0.997,0.968,0.997,0.2141
t_221,0.942,0.942,0.942,0.996,0.969,0.996,0.22
t_222,0.935,0.935,0.935,0.990,0.963,0.990,0.267
t_223,0.915,0.915,0.915,0.988,0.952,0.988,0.3925
t_224,0.833,0.833,0.833,0.983,0.908,0.983,0.4666
t_225,0.791,0.791,0.791,0.986,0.889,0.986,0.5553
t_226,0.697,0.697,0.697,0.987,0.842,0.987,0.6684
t_227,0.625,0.625,0.625,0.989,0.807,0.989,0.7118
t_228,0.579,0.579,0.579,0.988,0.784,0.988,0.7174
t_229,0.570,0.570,0.570,0.986,0.778,0.986,0.739
t_230,0.603,0.603,0.603,0.983,0.793,0.983,0.7776
t_231,0.625,0.625,0.625,0.973,0.799,0.973,0.7998
t_232,0.626,0.626,0.626,0.977,0.802,0.977,0.8232
t_233,0.611,0.611,0.611,0.974,0.793,0.974,0.8404
t_234,0.610,0.610,0.610,0.968,0.789,0.968,0.8162
t_235,0.649,0.649,0.649,0.960,0.805,0.960,0.7438
t_236,0.673,0.673,0.673,0.959,0.816,0.959,0.6566
t_237,0.771,0.771,0.771,0.966,0.869,0.966,0.5659
t_238,0.902,0.902,0.902,0.955,0.929,0.955,0.4592
t_239,0.984,0.984,0.984,0.902,0.943,0.902,0.3593
t_240,0.996,0.996,0.996,0.823,0.910,0.823,0.2923
t_241,0.982,0.982,0.982,0.674,0.828,0.674,0.3459
t_242,0.981,0.981,0.981,0.591,0.786,0.591,0.4279
t_243,0.981,0.981,0.981,0.540,0.761,0.540,0.448
t_244,0.981,0.981,0.981,0.588,0.785,0.588,0.4333
t_245,0.981,0.981,0.981,0.631,0.806,0.631,0.4793
t_246,0.999,0.999,0.999,0.732,0.866,0.732,0.5863
t_247,0.981,0.981,0.981,0.769,0.875,0.769,0.6816
t_248,0.910,0.910,0.910,0.747,0.829,0.747,0.7289
t_249,0.830,0.830,0.830,0.706,0.768,0.706,0.8287
t_250,0.660,0.660,0.660,0.731,0.696,0.731,0.8793
t_251,0.622,0.622,0.622,0.811,0.717,0.811,0.8887
t_252,0.415,0.415,0.415,0.829,0.622,0.829,0.8997
t_253,0.419,0.419,0.419,0.844,0.632,0.844,0.9169
t_254,0.403,0.403,0.403,0.853,0.628,0.853,0.9101
t_255,0.359,0.359,0.359,0.874,0.617,0.874,0.9091
t_256,0.314,0.314,0.314,0.892,0.603,0.892,0.9071
t_257,0.327,0.327,0.327,0.896,0.612,0.896,0.919
t_258,0.336,0.336,0.336,0.903,0.620,0.903,0.9124
t_259,0.334,0.334,0.334,0.908,0.621,0.908,0.9149
t_260,0.335,0.335,0.335,0.908,0.622,0.908,0.9149
t_261,0.342,0.342,0.342,0.901,0.622,0.901,0.911
t_262,0.341,0.341,0.341,0.892,0.617,0.892,0.8986
t_263,0.313,0.313,0.313,0.875,0.594,0.875,0.8773
t_264,0.253,0.253,0.253,0.861,0.557,0.861,0.8335
t_265,0.217,0.217,0.217,0.837,0.527,0.837,0.7827
t_266,0.219,0.219,0.219,0.825,0.522,0.825,0.7429
t_267,0.241,0.241,0.241,0.805,0.523,0.805,0.7109
t_268,0.307,0.307,0.307,0.793,0.550,0.793,0.706
t_269,0.405,0.405,0.405,0.755,0.580,0.755,0.6956
t_270,0.540,0.540,0.540,0.731,0.636,0.731,0.6478
t_271,0.621,0.621,0.621,0.702,0.662,0.702,0.5432
t_272,0.635,0.635,0.635,0.671,0.653,0.671,0.4892
t_273,0.562,0.562,0.562,0.594,0.578,0.594,0.5197
t_274,0.504,0.504,0.504,0.530,0.517,0.530,0.5227
t_275,0.673,0.673,0.673,0.523,0.598,0.523,0.5118
t_276,0.880,0.880,0.880,0.505,0.693,0.505,0.4168
t_277,0.915,0.915,0.915,0.458,0.687,0.458,0.3044
t_278,0.901,0.901,0.901,0.411,0.656,0.411,0.406
t_279,0.913,0.913,0.913,0.394,0.654,0.394,0.4829
t_280,0.927,0.927,0.927,0.460,0.694,0.460,0.6184
t_281,0.942,0.942,0.942,0.589,0.766,0.589,0.763
t_282,0.918,0.918,0.918,0.569,0.744,0.569,0.859
t_283,0.870,0.870,0.870,0.514,0.692,0.514,0.8893
t_284,0.853,0.853,0.853,0.479,0.666,0.479,0.8803
t_285,0.726,0.726,0.726,0.450,0.588,0.450,0.8826
t_286,0.554,0.554,0.554,0.447,0.501,0.447,0.9124
t_287,0.456,0.456,0.456,0.478,0.467,0.478,0.9242
t_288,0.452,0.452,0.452,0.509,0.481,0.509,0.9232
t_289,0.461,0.461,0.461,0.524,0.493,0.524,0.9208
t_290,0.434,0.434,0.434,0.519,0.477,0.519,0.9194
t_291,0.388,0.388,0.388,0.479,0.434,0.479,0.9157
t_292,0.336,0.336,0.336,0.403,0.370,0.403,0.9144
t_293,0.288,0.288,0.288,0.328,0.308,0.328,0.9148
t_294,0.137,0.137,0.137,0.267,0.202,0.267,0.9189
t_295,0.101,0.101,0.101,0.214,0.158,0.214,0.9206
t_296,0.065,0.065,0.065,0.183,0.124,0.183,0.9055
t_297,0.045,0.045,0.045,0.143,0.094,0.143,0.8691
t_298,0.038,0.038,0.038,0.089,0.064,0.089,0.818
t_299,0.090,0.090,0.090,0.094,0.092,0.094,0.8116
t_300,0.107,0.107,0.107,0.135,0.121,0.135,0.8161
t_301,0.094,0.094,0.094,0.127,0.111,0.127,0.7909
t_302,0.082,0.082,0.082,0.100,0.091,0.100,0.7694
t_303,0.049,0.049,0.049,0.077,0.063,0.077,0.7454
t_304,0.014,0.014,0.014,0.070,0.042,0.070,0.7383
t_305,0.007,0.007,0.007,0.066,0.037,0.066,0.724
t_306,0.007,0.007,0.007,0.057,0.032,0.057,0.7137
t_307,0.012,0.012,0.012,0.049,0.031,0.049,0.6724
t_308,0.015,0.015,0.015,0.042,0.029,0.042,0.6621
t_309,0.019,0.019,0.019,0.035,0.027,0.035,0.6455
t_310,0.027,0.027,0.027,0.033,0.030,0.033,0.6291
t_311,0.034,0.034,0.034,0.032,0.033,0.032,0.617
t_312,0.037,0.037,0.037,0.030,0.034,0.030,0.5994
t_313,0.043,0.043,0.043,0.029,0.036,0.029,0.5865
t_314,0.051,0.051,0.051,0.034,0.043,0.034,0.589
t_315,0.056,0.056,0.056,0.038,0.047,0.038,0.5908
t_316,0.063,0.063,0.063,0.028,0.046,0.028,0.5951
t_317,0.069,0.069,0.069,0.020,0.045,0.020,0.574
t_318,0.074,0.074,0.074,0.020,0.047,0.020,0.5136
t_319,0.077,0.077,0.077,0.019,0.048,0.019,0.451
t_320,0.087,0.087,0.087,0.022,0.055,0.022,0.3858
t_321,0.091,0.091,0.091,0.017,0.054,0.017,0.2777
t_322,0.051,0.051,0.051,0.004,0.028,0.004,0.1435
t_323,0.013,0.013,0.013,0.001,0.007,0.001,0.0542
t_324,0.009,0.009,0.009,0.001,0.005,0.001,0.0366
t_325,0.004,0.004,0.004,0.001,0.003,0.001,0.041
t_326,0.002,0.002,0.002,0.001,0.002,0.001,0.0356
t_327,0.001,0.001,0.001,0.001,0.001,0.001,0.0378
t_328,0.004,0.004,0.004,0.002,0.003,0.002,0.0523
t_329,0.015,0.015,0.015,0.005,0.010,0.005,0.0689
t_330,0.027,0.027,0.027,0.007,0.017,0.007,0.0918
t_331,0.044,0.044,0.044,0.007,0.026,0.007,0.1259
t_332,0.064,0.064,0.064,0.008,0.036,0.008,0.1435
t_333,0.081,0.081,0.081,0.011,0.046,0.011,0.1391
t_334,0.081,0.081,0.081,0.019,0.050,0.019,0.1219
t_335,0.085,0.085,0.085,0.027,0.056,0.027,0.1056
t_336,0.095,0.095,0.095,0.036,0.066,0.036,0.1187
t_337,0.097,0.097,0.097,0.035,0.066,0.035,0.1443
t_338,0.088,0.088,0.088,0.036,0.062,0.036,0.1725
t_339,0.073,0.073,0.073,0.038,0.056,0.038,0.1929
t_340,0.071,0.071,0.071,0.032,0.052,0.032,0.2008
t_341,0.079,0.079,0.079,0.032,0.056,0.032,0.1882
t_342,0.089,0.089,0.089,0.031,0.060,0.031,0.1491
t_343,0.101,0.101,0.101,0.032,0.067,0.032,0.1018
t_344,0.123,0.123,0.123,0.031,0.077,0.031,0.0638
t_345,0.138,0.138,0.138,0.025,0.082,0.025,0.0279
t_346,0.084,0.084,0.084,0.007,0.046,0.007,0.0046
t_347,0.048,0.048,0.048,0.002,0.025,0.002,0.0029
t_348,0.042,0.042,0.042,0.001,0.022,0.001,0.003
t_349,0.062,0.062,0.062,0.000,0.031,0.000,0.0026
t_350,0.090,0.090,0.090,0.000,0.045,0.000,0.0026
t_351,0.125,0.125,0.125,0.000,0.063,0.000,0.0043
t_352,0.161,0.161,0.161,0.000,0.081,0.000,0.0016
t_353,0.197,0.197,0.197,0.000,0.099,0.000,0.0006
t_354,0.184,0.184,0.184,0.000,0.092,0.000,0.0011
t_355,0.174,0.174,0.174,0.001,0.088,0.001,0.0032
t_356,0.169,0.169,0.169,0.009,0.089,0.009,0.0039
t_357,0.145,0.145,0.145,0.022,0.084,0.022,0.0076
t_358,0.118,0.118,0.118,0.028,0.073,0.028,0.0152
t_359,0.136,0.136,0.136,0.030,0.083,0.030,0.0306
t_360,0.157,0.157,0.157,0.047,0.102,0.047,0.0522
t_361,0.298,0.298,0.298,0.073,0.186,0.073,0.0742
t_362,0.328,0.328,0.328,0.101,0.215,0.101,0.0939
t_363,0.215,0.215,0.215,0.142,0.179,0.142,0.1174
t_364,0.263,0.263,0.263,0.196,0.230,0.196,0.125
t_365,0.280,0.280,0.280,0.247,0.264,0.247,0.1084
t_366,0.276,0.276,0.276,0.263,0.270,0.263,0.0869
t_367,0.266,0.266,0.266,0.248,0.257,0.248,0.0689
t_368,0.288,0.288,0.288,0.208,0.248,0.208,0.0546
t_369,0.324,0.324,0.324,0.116,0.220,0.116,0.0459
t_370,0.259,0.259,0.259,0.032,0.146,0.032,0.0363
t_371,0.194,0.194,0.194,0.007,0.101,0.007,0.0193
t_372,0.191,0.191,0.191,0.003,0.097,0.003,0.0105
t_373,0.193,0.193,0.193,0.005,0.099,0.005,0.0104
t_374,0.199,0.199,0.199,0.005,0.102,0.005,0.0115
t_375,0.209,0.209,0.209,0.005,0.107,0.005,0.0111
t_376,0.216,0.216,0.216,0.003,0.110,0.003,0.0149
t_377,0.277,0.277,0.277,0.001,0.139,0.001,0.0248
t_378,0.377,0.377,0.377,0.001,0.189,0.001,0.0405
t_379,0.461,0.461,0.461,0.003,0.232,0.003,0.059
t_380,0.532,0.532,0.532,0.006,0.269,0.006,0.0727
t_381,0.581,0.581,0.581,0.011,0.296,0.011,0.0756
t_382,0.590,0.590,0.590,0.013,0.302,0.013,0.0737
t_383,0.584,0.584,0.584,0.004,0.294,0.004,0.0755
t_384,0.573,0.573,0.573,0.009,0.291,0.009,0.0828
t_385,0.567,0.567,0.567,0.012,0.290,0.012,0.0918
t_386,0.553,0.553,0.553,0.010,0.282,0.010,0.104
t_387,0.528,0.528,0.528,0.017,0.273,0.017,0.1154
t_388,0.550,0.550,0.550,0.016,0.283,0.016,0.118
t_389,0.746,0.746,0.746,0.006,0.376,0.006,0.1197
t_390,0.717,0.717,0.717,0.003,0.360,0.003,0.1238
t_391,0.694,0.694,0.694,0.003,0.349,0.003,0.1374
t_392,0.698,0.698,0.698,0.007,0.353,0.007,0.1512
t_393,0.695,0.695,0.695,0.017,0.356,0.017,0.1505
t_394,0.616,0.616,0.616,0.021,0.319,0.021,0.1174
t_395,0.525,0.525,0.525,0.024,0.275,0.024,0.0751
t_396,0.501,0.501,0.501,0.034,0.268,0.034,0.0445
t_397,0.505,0.505,0.505,0.037,0.271,0.037,0.0334
t_398,0.539,0.539,0.539,0.046,0.293,0.046,0.0355
t_399,0.606,0.606,0.606,0.061,0.334,0.061,0.0567
t_400,0.706,0.706,0.706,0.077,0.392,0.077,0.0872
t_401,0.830,0.830,0.830,0.073,0.452,0.073,0.1162
t_402,0.862,0.862,0.862,0.064,0.463,0.064,0.1474
t_403,0.906,0.906,0.906,0.054,0.480,0.054,0.1791
t_404,0.936,0.936,0.936,0.059,0.498,0.059,0.1994
t_405,0.950,0.950,0.950,0.070,0.510,0.070,0.2084
t_406,0.958,0.958,0.958,0.083,0.521,0.083,0.2109
t_407,0.965,0.965,0.965,0.112,0.539,0.112,0.1991
t_408,0.969,0.969,0.969,0.147,0.558,0.147,0.19
t_409,0.973,0.973,0.973,0.176,0.575,0.176,0.189
t_410,0.974,0.974,0.974,0.194,0.584,0.194,0.1993
t_411,0.976,0.976,0.976,0.220,0.598,0.220,0.2157
t_412,0.972,0.972,0.972,0.201,0.587,0.201,0.2243
t_413,0.972,0.972,0.972,0.168,0.570,0.168,0.2059
t_414,0.992,0.992,0.992,0.133,0.563,0.133,0.1935
t_415,0.981,0.981,0.981,0.097,0.539,0.097,0.1915
t_416,0.975,0.975,0.975,0.078,0.527,0.078,0.1856
t_417,0.981,0.981,0.981,0.054,0.518,0.054,0.1661
t_418,0.967,0.967,0.967,0.032,0.500,0.032,0.1258
t_419,0.871,0.871,0.871,0.021,0.446,0.021,0.1356
t_420,0.961,0.961,0.961,0.016,0.489,0.016,0.15
t_421,0.963,0.963,0.963,0.011,0.487,0.011,0.1676
t_422,0.938,0.938,0.938,0.008,0.473,0.008,0.1571
t_423,0.897,0.897,0.897,0.006,0.452,0.006,0.1363
t_424,0.827,0.827,0.827,0.003,0.415,0.003,0.1224
