t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_335,0.032,0.707,0.707,0.707,0.045,0.376,0.045
t_336,0.012,0.682,0.682,0.682,0.067,0.375,0.067
t_337,0.004,0.649,0.649,0.649,0.083,0.366,0.083
t_338,0.003,0.599,0.599,0.599,0.089,0.344,0.089
t_339,0.002,0.553,0.553,0.553,0.088,0.321,0.088
t_340,0.002,0.498,0.498,0.498,0.086,0.292,0.086
t_341,0.003,0.471,0.471,0.471,0.084,0.278,0.084
t_342,0.009,0.729,0.729,0.729,0.087,0.408,0.087
t_343,0.022,0.733,0.733,0.733,0.1,0.417,0.1
t_344,0.052,0.745,0.745,0.745,0.124,0.435,0.124
t_345,0.085,0.73,0.73,0.73,0.103,0.417,0.103
t_346,0.183,0.718,0.718,0.718,0.028,0.373,0.028
t_347,0.373,0.766,0.766,0.766,0.009,0.388,0.009
t_348,0.646,0.821,0.821,0.821,0.009,0.415,0.009
t_349,0.818,0.867,0.867,0.867,0.018,0.443,0.018
t_350,0.863,0.912,0.912,0.912,0.043,0.478,0.043
t_351,0.879,0.961,0.961,0.961,0.082,0.522,0.082
t_352,0.91,0.975,0.975,0.975,0.132,0.554,0.132
t_353,0.939,0.977,0.977,0.977,0.187,0.582,0.187
t_354,0.948,0.975,0.975,0.975,0.24,0.608,0.24
t_355,0.951,0.976,0.976,0.976,0.29,0.633,0.29
t_356,0.972,0.975,0.975,0.975,0.342,0.659,0.342
t_357,0.974,0.839,0.839,0.839,0.392,0.616,0.392
t_358,0.973,0.501,0.501,0.501,0.453,0.477,0.453
t_359,0.967,0.484,0.484,0.484,0.513,0.499,0.513
t_360,0.953,0.484,0.484,0.484,0.566,0.525,0.566
t_361,0.926,0.995,0.995,0.995,0.64,0.818,0.64
t_362,0.871,0.995,0.995,0.995,0.626,0.811,0.626
t_363,0.797,0.995,0.995,0.995,0.565,0.78,0.565
t_364,0.637,0.981,0.981,0.981,0.464,0.723,0.464
t_365,0.465,0.981,0.981,0.981,0.375,0.678,0.375
t_366,0.315,0.978,0.978,0.978,0.321,0.65,0.321
t_367,0.22,0.913,0.913,0.913,0.287,0.6,0.287
t_368,0.102,0.858,0.858,0.858,0.247,0.553,0.247
t_369,0.049,0.871,0.871,0.871,0.195,0.533,0.195
t_370,0.058,0.792,0.792,0.792,0.133,0.463,0.133
t_371,0.106,0.707,0.707,0.707,0.077,0.392,0.077
t_372,0.151,0.395,0.395,0.395,0.034,0.215,0.034
t_373,0.2,0.319,0.319,0.319,0.008,0.164,0.008
