scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
GlobalAmbition,BE00,windon,2008,12969.8628,17770.1002,22570.3376,28124.6601,,
GlobalAmbition,BE00,windon,2009,12293.6758,17009.2949,21724.914,27046.232,,
DistributedEnergy,BG00,battery,1995,2790.2899,3962.2004,5134.1109,6616.0538,,
DistributedEnergy,BG00,battery,2008,2778.1885,3992.8448,5207.5012,6642.3383,,
DistributedEnergy,BG00,battery,2009,2787.3607,3960.4482,5133.5357,6838.589,,
GlobalAmbition,BG00,battery,1995,793.055,1460.8095,2128.5641,2284.5392,,
GlobalAmbition,BG00,battery,2008,780.6757,1479.6026,2178.5295,2317.7387,,
GlobalAmbition,BG00,battery,2009,788.4535,1456.7337,2125.014,2281.1234,,
DistributedEnergy,BG00,biomass,1995,1160.841,1175.8675,1190.8941,1187.7479,,
DistributedEnergy,BG00,biomass,2008,1160.841,1175.8675,1190.8941,1187.7479,,
DistributedEnergy,BG00,biomass,2009,1160.841,1175.8675,1190.8941,1187.7479,,
GlobalAmbition,BG00,biomass,1995,1160.841,1175.8675,1190.8941,1190.8941,,
GlobalAmbition,BG00,biomass,2008,1160.841,1175.8675,1190.8941,1190.8941,,
GlobalAmbition,BG00,biomass,2009,1160.841,1175.8675,1190.8941,1190.8941,,
DistributedEnergy,BG00,gas,1995,2020.3203,4022.3763,6024.4324,3499.4351,,
DistributedEnergy,BG00,gas,2008,1688.787,3775.0736,5861.3602,2827.2821,,
DistributedEnergy,BG00,gas,2009,2133.0526,4294.9803,6456.9079,3496.098,,
GlobalAmbition,BG00,gas,1995,2712.5248,2755.5122,2798.4995,3404.0606,,
GlobalAmbition,BG00,gas,2008,2628.0216,2669.9523,2711.883,3155.1817,,
GlobalAmbition,BG00,gas,2009,2733.8998,2893.6417,3053.3835,3474.623,,
DistributedEnergy,BG00,hardcoal,1995,18077.804,9038.902,,,,
DistributedEnergy,BG00,hardcoal,2008,18030.2158,9015.1079,,,,
DistributedEnergy,BG00,hardcoal,2009,18075.7606,9037.8803,,,,
GlobalAmbition,BG00,hardcoal,1995,18102.6845,9051.3423,,,,
GlobalAmbition,BG00,hardcoal,2008,18100.3508,9050.1754,,,,
GlobalAmbition,BG00,hardcoal,2009,18110.6676,9055.3338,,,,
DistributedEnergy,BG00,nuclear,1995,15454.0608,7727.0304,,,,
DistributedEnergy,BG00,nuclear,2008,15665.9497,7832.9749,,,,
DistributedEnergy,BG00,nuclear,2009,15720.3432,7860.1716,,,,
GlobalAmbition,BG00,nuclear,1995,16067.4221,24034.3263,32001.2306,16462.3248,,
GlobalAmbition,BG00,nuclear,2008,16087.4101,24036.2081,31985.0061,16432.4409,,
GlobalAmbition,BG00,nuclear,2009,16109.2396,24093.7894,32078.3391,16439.1597,,
DistributedEnergy,BG00,pvrf,1995,10329.6126,15850.6004,21371.5882,32155.7824,,
DistributedEnergy,BG00,pvrf,2008,10705.7038,16326.9684,21948.2331,33391.3229,,
DistributedEnergy,BG00,pvrf,2009,10283.7891,15710.7491,21137.7091,32346.7546,,
GlobalAmbition,BG00,pvrf,1995,7286.1869,10300.0767,13313.9665,16787.826,,
GlobalAmbition,BG00,pvrf,2008,7623.5465,10784.8872,13946.228,17669.2886,,
