name,scenario,2030,2040,2050
LT00_battery,GlobalAmbition,341.6635,337.4606,431.9062
LT00_biomass,DistributedEnergy,212.39,212.39,212.39
LT00_biomass,GlobalAmbition,212.39,212.39,212.39
LT00_dsr,DistributedEnergy,40.0,50.0,56.5
LT00_dsr,GlobalAmbition,40.0,50.0,50.0
LT00_gas,DistributedEnergy,538.2,2154.2,1783.2
LT00_gas,GlobalAmbition,538.2,538.2,167.2
LT00_oil,DistributedEnergy,150.0,150.0,150.0
LT00_oil,GlobalAmbition,150.0,150.0,150.0
LU00_battery,DistributedEnergy,329.4308,510.1424,594.4289
LU00_battery,GlobalAmbition,168.1521,193.634,246.1724
LU00_biomass,DistributedEnergy,96.3,121.3,121.3
LU00_biomass,GlobalAmbition,96.3,121.3,121.3
LU00_dsr,DistributedEnergy,8.5714,8.5714,9.6857
LU00_dsr,GlobalAmbition,8.5714,8.5714,8.5714
LU00_gas,DistributedEnergy,100.0,872.0,1679.1837
LU00_gas,GlobalAmbition,100.0,100.0,100.0
LV00_battery,DistributedEnergy,38.4377,123.1518,127.3503
LV00_battery,GlobalAmbition,10.5438,49.1368,63.2441
LV00_biomass,DistributedEnergy,159.09,300.0,300.0
LV00_biomass,GlobalAmbition,159.09,300.0,300.0
LV00_dsr,DistributedEnergy,36.8,36.8,41.584
LV00_dsr,GlobalAmbition,36.8,36.8,36.8
LV00_gas,DistributedEnergy,1061.0,1061.0,1169.2581
LV00_gas,GlobalAmbition,1061.0,1061.0,65.0
ME00_battery,DistributedEnergy,30.6367,31.2752,27.6957
ME00_battery,GlobalAmbition,8.3548,12.7606,15.0093
ME00_biomass,DistributedEnergy,49.0,49.0,49.0
ME00_biomass,GlobalAmbition,49.0,49.0,49.0
ME00_hardcoal,DistributedEnergy,450.0,,
ME00_hardcoal,GlobalAmbition,450.0,,
MK00_battery,DistributedEnergy,250.5863,177.5116,170.5808
MK00_battery,GlobalAmbition,68.887,70.2135,81.9866
MK00_biomass,DistributedEnergy,31.0,31.0,31.0
MK00_biomass,GlobalAmbition,31.0,31.0,31.0
MK00_gas,DistributedEnergy,276.8,,
MK00_gas,GlobalAmbition,276.8,,
MK00_hardcoal,DistributedEnergy,410.0,,
MK00_hardcoal,GlobalAmbition,410.0,,
MT00_battery,DistributedEnergy,128.7048,180.9533,211.1382
MT00_battery,GlobalAmbition,65.2916,68.5901,87.1816
MT00_gas,DistributedEnergy,760.3,940.0,1007.1015
MT00_gas,GlobalAmbition,615.42,930.22,1006.0
NL00_battery,DistributedEnergy,13749.6767,24324.6706,28313.4911
NL00_battery,GlobalAmbition,7486.1768,9735.4675,12428.8785
NL00_biomass,DistributedEnergy,3900.0,600.0,600.0
NL00_biomass,GlobalAmbition,3900.0,600.0,600.0
NL00_dsr,DistributedEnergy,700.0,700.0,791.0
NL00_dsr,GlobalAmbition,700.0,700.0,700.0
NL00_gas,DistributedEnergy,18593.924,54480.593,61340.7466
NL00_gas,GlobalAmbition,15279.924,24594.593,35910.593
NL00_nuclear,DistributedEnergy,486.0,,
NL00_nuclear,GlobalAmbition,486.0,,
NOM1_battery,DistributedEnergy,110.2921,80.422,71.2176
NOM1_battery,GlobalAmbition,30.0773,32.8129,38.5953
NOM1_dsr,DistributedEnergy,1423.0,1423.0,1607.99
NOM1_dsr,GlobalAmbition,1423.0,1423.0,1423.0
NOM1_gas,DistributedEnergy,20.0,20.0,20.0
NOM1_gas,GlobalAmbition,20.0,20.0,20.0
NON1_battery,DistributedEnergy,0.0,0.0,0.0
NON1_battery,GlobalAmbition,0.0,0.0,0.0
NON1_biomass,DistributedEnergy,0.03,0.03,0.03
NON1_biomass,GlobalAmbition,0.03,0.03,0.03
NON1_dsr,DistributedEnergy,1296.0,1296.0,1464.48
NON1_dsr,GlobalAmbition,1296.0,1296.0,1296.0
NON1_gas,DistributedEnergy,195.0,195.0,195.0
NON1_gas,GlobalAmbition,195.0,195.0,1312.4
NOS0_battery,DistributedEnergy,297.7886,217.1394,192.2874
NOS0_battery,GlobalAmbition,81.2088,88.5948,104.2072
NOS0_dsr,DistributedEnergy,3575.0,3575.0,4039.75
NOS0_dsr,GlobalAmbition,3575.0,3575.0,3575.0
NOS0_gas,DistributedEnergy,50.0,1806.0,1806.0
NOS0_gas,GlobalAmbition,50.0,50.0,50.0
PL00_battery,DistributedEnergy,3963.0139,5948.0759,6516.5651
PL00_battery,GlobalAmbition,1397.8138,2318.2868,2967.1092
PL00_biomass,DistributedEnergy,2887.9189,549.1858,549.1858
PL00_biomass,GlobalAmbition,2887.9189,550.2982,550.2982
PL00_gas,DistributedEnergy,24407.78,50108.96,61292.5002
PL00_gas,GlobalAmbition,15363.16,25482.96,22539.76
PL00_hardcoal,DistributedEnergy,7445.5,,
PL00_hardcoal,GlobalAmbition,7445.5,,
PL00_nuclear,GlobalAmbition,,4400.0,9900.0
PT00_battery,DistributedEnergy,1582.9367,2747.6488,3951.3668
PT00_battery,GlobalAmbition,1113.6449,2580.9276,3334.6565
PT00_biomass,DistributedEnergy,1049.7,1177.7,1177.7
PT00_biomass,GlobalAmbition,1049.7,1177.7,1177.7
PT00_gas,DistributedEnergy,3465.5893,3279.173,3279.173
PT00_gas,GlobalAmbition,3465.5893,3279.173,3279.173
RO00_battery,DistributedEnergy,2725.5628,3636.4842,3984.0422
RO00_battery,GlobalAmbition,1381.414,1417.3345,1814.006
RO00_biomass,DistributedEnergy,137.0,350.0,350.0
RO00_biomass,GlobalAmbition,137.0,350.0,350.0
RO00_gas,DistributedEnergy,6739.402,6651.402,12697.932
RO00_gas,GlobalAmbition,6739.402,6639.402,5439.402
RO00_hardcoal,DistributedEnergy,1685.3,,
RO00_hardcoal,GlobalAmbition,1685.3,,
RO00_nuclear,DistributedEnergy,1300.0,1300.0,650.0
RO00_nuclear,GlobalAmbition,1965.0,2630.0,2630.0
RS00_battery,DistributedEnergy,288.4,279.5516,263.4281
RS00_battery,GlobalAmbition,78.7744,111.4358,130.3617
RS00_biomass,DistributedEnergy,141.75,296.85,296.85
RS00_biomass,GlobalAmbition,141.75,296.85,296.85
RS00_gas,DistributedEnergy,400.9,400.9,400.9
RS00_gas,GlobalAmbition,400.9,400.9,400.9
RS00_hardcoal,DistributedEnergy,1106.0,,
RS00_hardcoal,GlobalAmbition,737.3333,,
SE01_battery,DistributedEnergy,382.3601,273.1259,299.23
SE01_battery,GlobalAmbition,105.4862,106.4519,136.2448
SE01_biomass,DistributedEnergy,299.7,299.7,299.7
SE01_biomass,GlobalAmbition,299.7,299.7,299.7
SE01_dsr,DistributedEnergy,214.2,214.2,242.046
SE01_dsr,GlobalAmbition,214.2,214.2,214.2
SE01_gas,DistributedEnergy,0.0,0.0,0.0
SE01_gas,GlobalAmbition,70.22,70.22,70.0
SE02_battery,DistributedEnergy,650.0121,464.3141,508.691
SE02_battery,GlobalAmbition,179.3265,180.9683,231.6162
SE02_biomass,DistributedEnergy,767.57,767.57,767.57
SE02_biomass,GlobalAmbition,767.57,767.57,767.57
SE02_dsr,DistributedEnergy,323.4,323.4,365.442
SE02_dsr,GlobalAmbition,323.4,323.4,323.4
SE02_gas,DistributedEnergy,107.496,2621.496,2621.496
SE02_gas,GlobalAmbition,107.496,107.496,107.496
SE03_battery,DistributedEnergy,3403.0046,2430.8208,2663.1473
SE03_battery,GlobalAmbition,938.8269,947.4223,1212.5788
SE03_biomass,DistributedEnergy,2865.4,2865.4,2865.4
SE03_biomass,GlobalAmbition,2865.4,2865.4,2865.4
SE03_dsr,DistributedEnergy,936.6,936.6,1058.358
SE03_dsr,GlobalAmbition,936.6,936.6,936.6
SE03_gas,DistributedEnergy,114.082,13170.082,114.082
SE03_gas,GlobalAmbition,114.082,114.082,114.082
SE03_nuclear,DistributedEnergy,3687.0,,
SE03_nuclear,GlobalAmbition,6835.0,5731.0,3567.0
SE04_battery,DistributedEnergy,917.6642,655.5022,718.1521
SE04_battery,GlobalAmbition,253.1668,255.4847,326.9875
SE04_biomass,DistributedEnergy,822.09,822.09,822.09
SE04_biomass,GlobalAmbition,822.09,822.09,822.09
SE04_dsr,DistributedEnergy,264.6,264.6,298.998
SE04_dsr,GlobalAmbition,264.6,264.6,264.6
SE04_gas,DistributedEnergy,,4108.0,4177.779
SI00_battery,DistributedEnergy,662.8141,1390.1759,2307.6401
SI00_battery,GlobalAmbition,483.0123,1266.3884,1620.8144
SI00_biomass,DistributedEnergy,70.0,101.0,101.0
SI00_biomass,GlobalAmbition,70.0,101.0,101.0
SI00_dsr,DistributedEnergy,108.0,108.0,122.04
SI00_dsr,GlobalAmbition,108.0,108.0,108.0
SI00_gas,DistributedEnergy,966.0,966.0,966.0
SI00_gas,GlobalAmbition,966.0,966.0,966.0
SI00_hardcoal,DistributedEnergy,539.0,,
SI00_hardcoal,GlobalAmbition,539.0,,
SI00_nuclear,DistributedEnergy,703.0,703.0,
SI00_nuclear,GlobalAmbition,1803.0,1803.0,1803.0
SK00_battery,DistributedEnergy,1177.0151,822.8844,901.5318
SK00_battery,GlobalAmbition,324.717,320.7226,410.4837
SK00_biomass,DistributedEnergy,666.5949,722.5849,722.5849
SK00_biomass,GlobalAmbition,666.5949,722.5849,722.5849
SK00_gas,DistributedEnergy,896.1287,5242.9117,8028.0292
SK00_gas,GlobalAmbition,896.1287,912.9117,911.7901
SK00_hardcoal,DistributedEnergy,61.9105,,
SK00_hardcoal,GlobalAmbition,61.9105,,
SK00_nuclear,DistributedEnergy,2674.0,2674.0,1333.6
SK00_nuclear,GlobalAmbition,2674.0,3122.4,3122.4
SK00_oil,DistributedEnergy,137.83,137.83,
SK00_oil,GlobalAmbition,137.83,137.83,
TR00_battery,DistributedEnergy,12619.3745,17871.5597,17408.7382
TR00_battery,GlobalAmbition,5347.0838,7291.7551,9434.397
TR00_biomass,DistributedEnergy,3900.0,5150.0,5150.0
TR00_biomass,GlobalAmbition,3900.0,5150.0,5150.0
TR00_gas,DistributedEnergy,44169.1284,90929.4716,118560.8662
TR00_gas,GlobalAmbition,45158.9384,90929.4716,118715.86
TR00_hardcoal,DistributedEnergy,10851.906,,
TR00_hardcoal,GlobalAmbition,10744.029,,
TR00_oil,DistributedEnergy,316.7192,119.9102,64.9512
TR00_oil,GlobalAmbition,316.7192,119.9102,64.9512
UA01_battery,DistributedEnergy,133.3309,266.2862,235.8093
UA01_battery,GlobalAmbition,99.5894,108.6472,127.7932
UA01_gas,DistributedEnergy,,,1598.906
UA01_gas,GlobalAmbition,,6.7622,236.0
UK00_battery,DistributedEnergy,20288.7075,27150.0153,30863.8263
UK00_battery,GlobalAmbition,6443.6401,10413.6754,13275.6507
UK00_biomass,DistributedEnergy,6344.55,9713.5,9713.5
UK00_biomass,GlobalAmbition,6344.55,9713.5,9713.5
UK00_dsr,DistributedEnergy,4257.12,7906.08,8933.8704
UK00_dsr,GlobalAmbition,4257.12,7906.08,11294.4
UK00_gas,DistributedEnergy,31934.3251,88277.5893,120243.891
UK00_gas,GlobalAmbition,26820.8451,31467.5893,35495.5893
UK00_nuclear,DistributedEnergy,4460.0,4460.0,5570.0
UK00_nuclear,GlobalAmbition,7658.0,14338.0,16008.0
UK00_oil,DistributedEnergy,70.8,70.8,70.8
UK00_oil,GlobalAmbition,70.8,70.8,70.8
UKNI_battery,DistributedEnergy,103.5123,161.5138,167.4933
UKNI_battery,GlobalAmbition,28.4022,64.3719,82.8317
UKNI_biomass,DistributedEnergy,2937.11,2962.11,2962.11
UKNI_biomass,GlobalAmbition,2937.11,2962.11,2962.11
UKNI_dsr,DistributedEnergy,100.0,125.0,141.25
UKNI_dsr,GlobalAmbition,100.0,125.0,125.0
UKNI_gas,DistributedEnergy,1824.0,1856.9692,9832.8825
UKNI_gas,GlobalAmbition,1824.0,1824.0,1824.0
UKNI_oil,DistributedEnergy,389.0,389.0,389.0
UKNI_oil,GlobalAmbition,389.0,389.0,389.0
