name,scenario,2030,2035,2040,2050
# UKNI_battery,GlobalAmbition,28.40217474,46.38704893,64.37192312,82.83165279
# UKNI_biomass,DistributedEnergy,2937.11,2949.61,2962.11,2962.11
# UKNI_biomass,GlobalAmbition,2937.11,2949.61,2962.11,2962.11
# UKNI_dsr,DistributedEnergy,100,112.5,125,141.25
# UKNI_dsr,GlobalAmbition,100,112.5,125,125
# UKNI_gas,DistributedEnergy,1824,1840.484622,1856.969245,9832.882546
# UKNI_gas,GlobalAmbition,1824,1824,1824,1824
# UKNI_oil,DistributedEnergy,389,389,389,389
# UKNI_oil,GlobalAmbition,389,389,389,389
SE04_gas,GlobalAmbition,0,0,0,0
PL00_nuclear,DistributedEnergy,0,0,0,0
ES00_nuclear,DistributedEnergy,0,0,0,0
IT01_windon,DistributedEnergy,0,0,0,0
IT01_windon,GlobalAmbition,0,0,0,0
AT00_newCCGTCCS,DistributedEnergy,0,0,0,0
AT00_newCCGTCCS,GlobalAmbition,0,0,0,0
FR01_pvrf,DistributedEnergy,0,0,0,0
FR01_pvrf,GlobalAmbition,0,0,0,0
AT01_pvrf,DistributedEnergy,0,0,0,0
AT01_pvrf,GlobalAmbition,0,0,0,0
AT01_windon,DistributedEnergy,0,0,0,0
AT01_windon,GlobalAmbition,0,0,0,0
DE00_newCCGTCCS,DistributedEnergy,0,0,0,0
DE00_newCCGTCCS,GlobalAmbition,0,0,0,0
IT01_pvrf,DistributedEnergy,0,0,0,0
IT01_pvrf,GlobalAmbition,0,0,0,0
FR01_windon,DistributedEnergy,0,0,0,0
FR01_windon,GlobalAmbition,0,0,0,0
DE01_pvrf,DistributedEnergy,0,0,0,0
DE01_pvrf,GlobalAmbition,0,0,0,0
DE01_windon,DistributedEnergy,0,0,0,0
DE01_windon,GlobalAmbition,0,0,0,0
FR00_newCCGTCCS,DistributedEnergy,0,0,0,0
FR00_newCCGTCCS,GlobalAmbition,0,0,0,0
IT00_newCCGTCCS,DistributedEnergy,0,0,0,0
IT00_newCCGTCCS,GlobalAmbition,0,0,0,0
