time_step,DE00,AT00,FR00,IT00
t_1090,33.75738736,33.75738736,33.75738736,33.75738736
t_1091,33.75738736,33.75738736,33.75738736,33.75738736
t_1092,17.25246245,17.25246245,17.25246245,17.25246245
t_1093,17.25246245,17.25246245,17.25246245,17.25246245
t_1094,24.82876484,24.82876484,24.82876484,24.82876484
t_1095,33.75738736,33.75738736,33.75738736,33.75738736
t_1096,43.21985363,43.21985363,43.21985363,43.21985363
t_1097,54.93799906,54.93799906,54.93799906,54.93799906
t_1098,55.68379356,55.68379356,55.68379356,55.68379356
t_1099,55.68379356,55.68379356,55.68379356,55.68379356
t_11,27.37388764,27.37388764,27.37388764,27.37388764
t_110,30.43250606,30.43250606,30.43250606,30.43250606
t_1100,55.68379356,55.68379356,55.68379356,55.68379356
t_1101,55.68379356,55.68379356,55.68379356,55.68379356
t_1102,55.68379356,55.68379356,55.68379356,55.68379356
t_1103,55.68379356,55.68379356,55.68379356,55.68379356
t_1104,55.68379356,55.68379356,55.68379356,55.68379356
t_1105,54.93799906,54.93799906,54.93799906,54.93799906
t_1106,54.12938065,54.12938065,54.12938065,54.12938065
t_1107,54.12938065,54.12938065,54.12938065,54.12938065
t_1108,54.12938065,54.12938065,54.12938065,54.12938065
t_1109,54.12938065,54.12938065,54.12938065,54.12938065
t_111,41.14875909,41.14875909,41.14875909,41.14875909
t_1110,54.93799906,54.93799906,54.93799906,54.93799906
t_1111,54.93799906,54.93799906,54.93799906,54.93799906
t_1112,54.93799906,54.93799906,54.93799906,54.93799906
t_1113,54.93799906,54.93799906,54.93799906,54.93799906
t_1114,43.21985363,43.21985363,43.21985363,43.21985363
t_1115,40.75606306,40.75606306,40.75606306,40.75606306
t_1116,38.25726601,38.25726601,38.25726601,38.25726601
t_1117,37.35160029,37.35160029,37.35160029,37.35160029
t_1118,36.43778445,36.43778445,36.43778445,36.43778445
t_1119,36.55724617,36.55724617,36.55724617,36.55724617
t_112,47.36204273,47.36204273,47.36204273,47.36204273
t_1120,39.93583147,39.93583147,39.93583147,39.93583147
t_1121,43.21985363,43.21985363,43.21985363,43.21985363
t_1122,43.21985363,43.21985363,43.21985363,43.21985363
t_1123,43.21985363,43.21985363,43.21985363,43.21985363
t_1124,43.21985363,43.21985363,43.21985363,43.21985363
t_1125,43.21985363,43.21985363,43.21985363,43.21985363
t_1126,43.21985363,43.21985363,43.21985363,43.21985363
t_1127,43.21985363,43.21985363,43.21985363,43.21985363
t_1128,43.21985363,43.21985363,43.21985363,43.21985363
t_1129,21.78734758,21.78734758,21.78734758,21.78734758
t_113,61.24866188,61.24866188,61.24866188,61.24866188
