time_step,DE00,AT00,FR00,IT00
t_1090,41.48590480232715,41.48590480205764,9.000000000017003,41.485904802831406
t_1091,41.4859048024243,41.48590480134209,9.00000000000906,41.485904802556746
t_1092,41.48590480228204,9.000000000144444,8.999999999999432,9.000000000060647
t_1093,41.48590480227734,8.999999999985112,8.999999999989289,8.999999999875724
t_1094,41.48590480227848,41.48590480077273,8.999999999996053,9.000000000045697
t_1095,41.48590480228247,41.48590480209008,9.000000000003213,41.485904802804114
t_1096,51.21816642176456,51.218166421756806,9.000000000012747,60.19032960739857
t_1097,51.21816642239495,51.21816642238245,9.00000000002008,107.20531275948387
t_1098,51.218166422472535,51.21816642244557,9.000000000022384,110.0051499990082
t_1099,51.21816642248072,51.218166422452434,9.000000000022593,110.00514999904634
t_11,48.75335698105316,48.75335698105863,9.000000000002789,2.278104084239327e-11
t_110,51.21816642260397,51.21816642271988,9.000000000021739,9.00000000019165
t_1100,51.21816642246404,51.21816642244468,9.000000000022384,110.0051499990606
t_1101,51.2181664223936,51.21816642238672,9.000000000022451,110.00514999903362
t_1102,51.218166422145856,51.218166422153686,9.00000000002321,110.00514999900707
t_1103,51.21816642186313,51.21816642187007,9.000000000023457,110.00514999896434
t_1104,51.21816642182617,51.21816642183815,9.000000000023038,110.00514999859034
t_1105,51.218166421231714,51.21816642124735,9.000000000022965,107.20531275974264
t_1106,51.21816641630006,51.21816641631833,9.000000000022071,107.20531275958132
t_1107,51.21816640734015,51.218166407366006,9.000000000021604,107.20531275942125
t_1108,51.21816641567999,51.218166415701496,9.000000000020378,107.205312759374
t_1109,51.21816641462583,51.21816641465965,9.000000000017712,107.2053127593314
t_111,51.218166422660005,51.21816642284744,9.00000000002391,51.218166422349306
t_1110,51.21816642178825,51.21816642185849,9.000000000019446,107.205312759384
t_1111,51.218166422086696,51.21816642228855,9.00000000002095,107.20531275951278
t_1112,51.2181664223216,51.21816642241256,9.000000000021576,107.2053127594379
t_1113,51.21816642224396,51.218166422363886,9.000000000013724,107.20531275851302
t_1114,51.218166421878806,51.21816642216059,8.999999999996348,60.19032960749021
t_1115,41.48590480303783,51.218166422268816,8.999999999817433,60.19032960738824
t_1116,41.485904802136965,51.21816642225237,7.289189999845593,51.21816642231518
t_1117,41.48590480211246,51.21816641877079,6.811343103042897,48.75335698255127
t_1118,41.48590480210763,45.66412906705439,6.811343103051876,45.66412906690584
