time_step,AT00,DE00,FR00,IT00
t_119,106.0,160.0,79.0,289.0
t_120,81.0,150.0,70.0,223.0
t_121,72.0,108.0,59.0,137.0
t_122,61.0,106.0,51.0,150.0
t_123,57.0,97.0,47.0,145.0
t_124,56.0,96.0,44.0,143.0
t_125,56.0,95.0,43.0,142.0
t_126,57.0,95.0,47.0,143.0
t_127,57.0,101.0,48.0,138.0
t_128,61.0,101.0,47.0,135.0
t_129,66.0,95.0,58.0,86.0
t_130,79.0,66.0,74.0,64.0
t_131,76.0,64.0,53.0,75.0
t_132,81.0,55.0,47.0,57.0
t_133,90.0,56.0,53.0,48.0
t_134,85.0,75.0,53.0,72.0
t_135,75.0,99.0,44.0,123.0
t_136,74.0,105.0,47.0,149.0
t_137,72.0,116.0,56.0,142.0
t_138,75.0,111.0,61.0,151.0
t_139,75.0,112.0,64.0,154.0
t_140,75.0,110.0,65.0,154.0
t_141,73.0,109.0,63.0,152.0
t_142,71.0,104.0,61.0,149.0
t_143,70.0,114.0,61.0,147.0
t_144,71.0,110.0,62.0,159.0
t_145,65.0,108.0,60.0,143.0
t_146,64.0,100.0,50.0,146.0
t_147,62.0,95.0,45.0,129.0
t_148,52.0,93.0,43.0,125.0
t_149,56.0,91.0,42.0,124.0
t_150,56.0,95.0,38.0,130.0
t_151,56.0,84.0,49.0,117.0
t_152,56.0,84.0,49.0,112.0
t_153,58.0,80.0,44.0,83.0
t_154,58.0,78.0,41.0,73.0
t_155,56.0,80.0,36.0,61.0
t_156,55.0,77.0,28.0,59.0
t_157,56.0,79.0,30.0,66.0
t_158,58.0,79.0,32.0,87.0
t_159,61.0,86.0,40.0,125.0
t_160,63.0,90.0,46.0,140.0
t_161,66.0,97.0,48.0,152.0
t_162,70.0,105.0,56.0,156.0
t_163,74.0,112.0,65.0,159.0
t_164,73.0,110.0,66.0,160.0
t_165,73.0,108.0,66.0,159.0
t_166,71.0,106.0,62.0,158.0
t_167,70.0,102.0,67.0,150.0
t_168,68.0,105.0,67.0,148.0
t_169,75.0,143.0,56.0,168.0
t_170,70.0,132.0,46.0,159.0
t_171,67.0,125.0,44.0,172.0
t_172,67.0,120.0,39.0,165.0
t_173,67.0,120.0,39.0,163.0
t_174,68.0,130.0,43.0,154.0
t_175,76.0,141.0,50.0,163.0
t_176,89.0,159.0,61.0,186.0
t_177,88.0,158.0,59.0,163.0
t_178,124.0,104.0,104.0,94.0
t_179,121.0,95.0,84.0,135.0
t_180,119.0,92.0,72.0,204.0
t_181,120.0,93.0,70.0,131.0
t_182,115.0,115.0,76.0,93.0
t_183,111.0,159.0,60.0,188.0
t_184,116.0,170.0,70.0,323.0
t_185,108.0,173.0,74.0,319.0
t_186,128.0,207.0,100.0,344.0
t_187,170.0,267.0,148.0,397.0
t_188,135.0,212.0,129.0,342.0
t_189,109.0,174.0,85.0,340.0
t_190,111.0,166.0,82.0,311.0
t_191,106.0,160.0,79.0,289.0
t_192,81.0,150.0,70.0,223.0
t_193,75.0,143.0,56.0,168.0
t_194,70.0,132.0,46.0,159.0
t_195,67.0,125.0,44.0,172.0
t_196,67.0,120.0,39.0,165.0
t_197,67.0,120.0,39.0,163.0
t_198,68.0,130.0,43.0,154.0
t_199,76.0,141.0,50.0,163.0
t_200,89.0,159.0,61.0,186.0
t_201,88.0,158.0,59.0,163.0
t_202,124.0,104.0,104.0,94.0
t_203,121.0,95.0,84.0,135.0
t_204,119.0,92.0,72.0,204.0
t_205,120.0,93.0,70.0,131.0
t_206,115.0,115.0,76.0,93.0
t_207,111.0,159.0,60.0,188.0
t_208,116.0,170.0,70.0,323.0
t_209,108.0,173.0,74.0,319.0
t_210,128.0,207.0,100.0,344.0
t_211,170.0,267.0,148.0,397.0
t_212,135.0,212.0,129.0,342.0
t_213,109.0,174.0,85.0,340.0
t_214,111.0,166.0,82.0,311.0
t_215,106.0,160.0,79.0,289.0
t_216,81.0,150.0,70.0,223.0
t_217,75.0,143.0,56.0,168.0
t_218,70.0,132.0,46.0,159.0
t_219,67.0,125.0,44.0,172.0
t_220,67.0,120.0,39.0,165.0
t_221,67.0,120.0,39.0,163.0
t_222,68.0,130.0,43.0,154.0
t_223,76.0,141.0,50.0,163.0
t_224,89.0,159.0,61.0,186.0
t_225,88.0,158.0,59.0,163.0
t_226,124.0,104.0,104.0,94.0
t_227,121.0,95.0,84.0,135.0
t_228,119.0,92.0,72.0,204.0
t_229,120.0,93.0,70.0,131.0
t_230,115.0,115.0,76.0,93.0
t_231,111.0,159.0,60.0,188.0
t_232,116.0,170.0,70.0,323.0
t_233,108.0,173.0,74.0,319.0
t_234,128.0,207.0,100.0,344.0
t_235,170.0,267.0,148.0,397.0
t_236,135.0,212.0,129.0,342.0
t_237,109.0,174.0,85.0,340.0
t_238,111.0,166.0,82.0,311.0
t_239,106.0,160.0,79.0,289.0
t_240,81.0,150.0,70.0,223.0
t_241,75.0,143.0,56.0,168.0
t_242,70.0,132.0,46.0,159.0
t_243,67.0,125.0,44.0,172.0
t_244,67.0,120.0,39.0,165.0
t_245,67.0,120.0,39.0,163.0
t_246,68.0,130.0,43.0,154.0
t_247,76.0,141.0,50.0,163.0
t_248,89.0,159.0,61.0,186.0
t_249,88.0,158.0,59.0,163.0
t_250,124.0,104.0,104.0,94.0
t_251,121.0,95.0,84.0,135.0
t_252,119.0,92.0,72.0,204.0
t_253,120.0,93.0,70.0,131.0
t_254,115.0,115.0,76.0,93.0
t_255,111.0,159.0,60.0,188.0
t_256,116.0,170.0,70.0,323.0
t_257,108.0,173.0,74.0,319.0
t_258,128.0,207.0,100.0,344.0
t_259,170.0,267.0,148.0,397.0
t_260,135.0,212.0,129.0,342.0
t_261,109.0,174.0,85.0,340.0
t_262,111.0,166.0,82.0,311.0
t_263,106.0,160.0,79.0,289.0
t_264,81.0,150.0,70.0,223.0
t_265,75.0,143.0,56.0,168.0
t_266,70.0,132.0,46.0,159.0
t_267,67.0,125.0,44.0,172.0
t_268,67.0,120.0,39.0,165.0
t_269,67.0,120.0,39.0,163.0
t_270,68.0,130.0,43.0,154.0
t_271,76.0,141.0,50.0,163.0
t_272,89.0,159.0,61.0,186.0
t_273,88.0,158.0,59.0,163.0
t_274,124.0,104.0,104.0,94.0
t_275,121.0,95.0,84.0,135.0
t_276,119.0,92.0,72.0,204.0
t_277,120.0,93.0,70.0,131.0
t_278,115.0,115.0,76.0,93.0
t_279,111.0,159.0,60.0,188.0
t_280,116.0,170.0,70.0,323.0
t_281,108.0,173.0,74.0,319.0
t_282,128.0,207.0,100.0,344.0
t_283,170.0,267.0,148.0,397.0
t_284,135.0,212.0,129.0,342.0
t_285,109.0,174.0,85.0,340.0
t_286,111.0,166.0,82.0,311.0
t_287,106.0,160.0,79.0,289.0
t_288,81.0,150.0,70.0,223.0
t_289,72.0,108.0,59.0,137.0
t_290,61.0,106.0,51.0,150.0
t_291,57.0,97.0,47.0,145.0
t_292,56.0,96.0,44.0,143.0
t_293,56.0,95.0,43.0,142.0
t_294,57.0,95.0,47.0,143.0
t_295,57.0,101.0,48.0,138.0
t_296,61.0,101.0,47.0,135.0
t_297,66.0,95.0,58.0,86.0
t_298,79.0,66.0,74.0,64.0
t_299,76.0,64.0,53.0,75.0
t_300,81.0,55.0,47.0,57.0
t_301,90.0,56.0,53.0,48.0
t_302,85.0,75.0,53.0,72.0
t_303,75.0,99.0,44.0,123.0
t_304,74.0,105.0,47.0,149.0
t_305,72.0,116.0,56.0,142.0
t_306,75.0,111.0,61.0,151.0
t_307,75.0,112.0,64.0,154.0
t_308,75.0,110.0,65.0,154.0
t_309,73.0,109.0,63.0,152.0
t_310,71.0,104.0,61.0,149.0
t_311,70.0,114.0,61.0,147.0
t_312,71.0,110.0,62.0,159.0
t_313,65.0,108.0,60.0,143.0
t_314,64.0,100.0,50.0,146.0
t_315,62.0,95.0,45.0,129.0
t_316,52.0,93.0,43.0,125.0
t_317,56.0,91.0,42.0,124.0
t_318,56.0,95.0,38.0,130.0
t_319,56.0,84.0,49.0,117.0
t_320,56.0,84.0,49.0,112.0
t_321,58.0,80.0,44.0,83.0
t_322,58.0,78.0,41.0,73.0
t_323,56.0,80.0,36.0,61.0
t_324,55.0,77.0,28.0,59.0
t_325,56.0,79.0,30.0,66.0
t_326,58.0,79.0,32.0,87.0
t_327,61.0,86.0,40.0,125.0
t_328,63.0,90.0,46.0,140.0
t_329,66.0,97.0,48.0,152.0
t_330,70.0,105.0,56.0,156.0
t_331,74.0,112.0,65.0,159.0
t_332,73.0,110.0,66.0,160.0
t_333,73.0,108.0,66.0,159.0
t_334,71.0,106.0,62.0,158.0
t_335,70.0,102.0,67.0,150.0
t_336,68.0,105.0,67.0,148.0
t_337,75.0,143.0,56.0,168.0
t_338,70.0,132.0,46.0,159.0
t_339,67.0,125.0,44.0,172.0
t_340,67.0,120.0,39.0,165.0
t_341,67.0,120.0,39.0,163.0
t_342,68.0,130.0,43.0,154.0
t_343,76.0,141.0,50.0,163.0
t_344,89.0,159.0,61.0,186.0
t_345,88.0,158.0,59.0,163.0
t_346,124.0,104.0,104.0,94.0
t_347,121.0,95.0,84.0,135.0
t_348,119.0,92.0,72.0,204.0
t_349,120.0,93.0,70.0,131.0
t_350,115.0,115.0,76.0,93.0
t_351,111.0,159.0,60.0,188.0
t_352,116.0,170.0,70.0,323.0
t_353,108.0,173.0,74.0,319.0
t_354,128.0,207.0,100.0,344.0
t_355,170.0,267.0,148.0,397.0
t_356,135.0,212.0,129.0,342.0
t_357,109.0,174.0,85.0,340.0
t_358,111.0,166.0,82.0,311.0
t_359,106.0,160.0,79.0,289.0
t_360,81.0,150.0,70.0,223.0
t_361,75.0,143.0,56.0,168.0
t_362,70.0,132.0,46.0,159.0
t_363,67.0,125.0,44.0,172.0
t_364,67.0,120.0,39.0,165.0
t_365,67.0,120.0,39.0,163.0
t_366,68.0,130.0,43.0,154.0
t_367,76.0,141.0,50.0,163.0
t_368,89.0,159.0,61.0,186.0
t_369,88.0,158.0,59.0,163.0
t_370,124.0,104.0,104.0,94.0
t_371,121.0,95.0,84.0,135.0
t_372,119.0,92.0,72.0,204.0
t_373,120.0,93.0,70.0,131.0
t_374,115.0,115.0,76.0,93.0
t_375,111.0,159.0,60.0,188.0
t_376,116.0,170.0,70.0,323.0
t_377,108.0,173.0,74.0,319.0
t_378,128.0,207.0,100.0,344.0
t_379,170.0,267.0,148.0,397.0
t_380,135.0,212.0,129.0,342.0
t_381,109.0,174.0,85.0,340.0
t_382,111.0,166.0,82.0,311.0
t_383,106.0,160.0,79.0,289.0
t_384,81.0,150.0,70.0,223.0
t_385,75.0,143.0,56.0,168.0
t_386,70.0,132.0,46.0,159.0
t_387,67.0,125.0,44.0,172.0
t_388,67.0,120.0,39.0,165.0
t_389,67.0,120.0,39.0,163.0
t_390,68.0,130.0,43.0,154.0
t_391,76.0,141.0,50.0,163.0
t_392,89.0,159.0,61.0,186.0
t_393,88.0,158.0,59.0,163.0
t_394,124.0,104.0,104.0,94.0
t_395,121.0,95.0,84.0,135.0
t_396,119.0,92.0,72.0,204.0
t_397,120.0,93.0,70.0,131.0
t_398,115.0,115.0,76.0,93.0
t_399,111.0,159.0,60.0,188.0
t_400,116.0,170.0,70.0,323.0
t_401,108.0,173.0,74.0,319.0
t_402,128.0,207.0,100.0,344.0
t_403,170.0,267.0,148.0,397.0
t_404,135.0,212.0,129.0,342.0
t_405,109.0,174.0,85.0,340.0
t_406,111.0,166.0,82.0,311.0
t_407,106.0,160.0,79.0,289.0
t_408,81.0,150.0,70.0,223.0
t_409,75.0,143.0,56.0,168.0
t_410,70.0,132.0,46.0,159.0
t_411,67.0,125.0,44.0,172.0
t_412,67.0,120.0,39.0,165.0
t_413,67.0,120.0,39.0,163.0
t_414,68.0,130.0,43.0,154.0
t_415,76.0,141.0,50.0,163.0
t_416,89.0,159.0,61.0,186.0
t_417,88.0,158.0,59.0,163.0
t_418,124.0,104.0,104.0,94.0
t_419,121.0,95.0,84.0,135.0
t_420,119.0,92.0,72.0,204.0
t_421,120.0,93.0,70.0,131.0
t_422,115.0,115.0,76.0,93.0
t_423,111.0,159.0,60.0,188.0
t_424,116.0,170.0,70.0,323.0
t_425,108.0,173.0,74.0,319.0
t_426,128.0,207.0,100.0,344.0
t_427,170.0,267.0,148.0,397.0
t_428,135.0,212.0,129.0,342.0
t_429,109.0,174.0,85.0,340.0
t_430,111.0,166.0,82.0,311.0
t_431,106.0,160.0,79.0,289.0
t_432,81.0,150.0,70.0,223.0
t_433,75.0,143.0,56.0,168.0
t_434,70.0,132.0,46.0,159.0
t_435,67.0,125.0,44.0,172.0
t_436,67.0,120.0,39.0,165.0
t_437,67.0,120.0,39.0,163.0
t_438,68.0,130.0,43.0,154.0
t_439,76.0,141.0,50.0,163.0
t_440,89.0,159.0,61.0,186.0
t_441,88.0,158.0,59.0,163.0
t_442,124.0,104.0,104.0,94.0
t_443,121.0,95.0,84.0,135.0
t_444,119.0,92.0,72.0,204.0
t_445,120.0,93.0,70.0,131.0
t_446,115.0,115.0,76.0,93.0
t_447,111.0,159.0,60.0,188.0
t_448,116.0,170.0,70.0,323.0
t_449,108.0,173.0,74.0,319.0
t_450,128.0,207.0,100.0,344.0
t_451,170.0,267.0,148.0,397.0
t_452,135.0,212.0,129.0,342.0
t_453,109.0,174.0,85.0,340.0
t_454,111.0,166.0,82.0,311.0
t_455,106.0,160.0,79.0,289.0
t_456,81.0,150.0,70.0,223.0
t_457,72.0,108.0,59.0,137.0
t_458,61.0,106.0,51.0,150.0
t_459,57.0,97.0,47.0,145.0
t_460,56.0,96.0,44.0,143.0
t_461,56.0,95.0,43.0,142.0
t_462,57.0,95.0,47.0,143.0
t_463,57.0,101.0,48.0,138.0
t_464,61.0,101.0,47.0,135.0
t_465,66.0,95.0,58.0,86.0
t_466,79.0,66.0,74.0,64.0
t_467,76.0,64.0,53.0,75.0
t_468,81.0,55.0,47.0,57.0
t_469,90.0,56.0,53.0,48.0
t_470,85.0,75.0,53.0,72.0
t_471,75.0,99.0,44.0,123.0
t_472,74.0,105.0,47.0,149.0
t_473,72.0,116.0,56.0,142.0
t_474,75.0,111.0,61.0,151.0
t_475,75.0,112.0,64.0,154.0
t_476,75.0,110.0,65.0,154.0
t_477,73.0,109.0,63.0,152.0
t_478,71.0,104.0,61.0,149.0
t_479,70.0,114.0,61.0,147.0
t_480,71.0,110.0,62.0,159.0
t_481,65.0,108.0,60.0,143.0
t_482,64.0,100.0,50.0,146.0
t_483,62.0,95.0,45.0,129.0
t_484,52.0,93.0,43.0,125.0
t_485,56.0,91.0,42.0,124.0
t_486,56.0,95.0,38.0,130.0
t_487,56.0,84.0,49.0,117.0
t_488,56.0,84.0,49.0,112.0
t_489,58.0,80.0,44.0,83.0
t_490,58.0,78.0,41.0,73.0
t_491,56.0,80.0,36.0,61.0
t_492,55.0,77.0,28.0,59.0
t_493,56.0,79.0,30.0,66.0
t_494,58.0,79.0,32.0,87.0
t_495,61.0,86.0,40.0,125.0
t_496,63.0,90.0,46.0,140.0
t_497,66.0,97.0,48.0,152.0
t_498,70.0,105.0,56.0,156.0
t_499,74.0,112.0,65.0,159.0
t_500,73.0,110.0,66.0,160.0
t_501,73.0,108.0,66.0,159.0
t_502,71.0,106.0,62.0,158.0
t_503,70.0,102.0,67.0,150.0
t_504,68.0,105.0,67.0,148.0
t_505,75.0,143.0,56.0,168.0
t_506,70.0,132.0,46.0,159.0
t_507,67.0,125.0,44.0,172.0
t_508,67.0,120.0,39.0,165.0
t_509,67.0,120.0,39.0,163.0
t_510,68.0,130.0,43.0,154.0
t_511,76.0,141.0,50.0,163.0
t_512,89.0,159.0,61.0,186.0
t_513,88.0,158.0,59.0,163.0
t_514,124.0,104.0,104.0,94.0
t_515,121.0,95.0,84.0,135.0
t_516,119.0,92.0,72.0,204.0
t_517,120.0,93.0,70.0,131.0
t_518,115.0,115.0,76.0,93.0
t_519,111.0,159.0,60.0,188.0
t_520,116.0,170.0,70.0,323.0
t_521,108.0,173.0,74.0,319.0
t_522,128.0,207.0,100.0,344.0
t_523,170.0,267.0,148.0,397.0
t_524,135.0,212.0,129.0,342.0
t_525,109.0,174.0,85.0,340.0
t_526,111.0,166.0,82.0,311.0
t_527,106.0,160.0,79.0,289.0
t_528,81.0,150.0,70.0,223.0
t_529,75.0,143.0,56.0,168.0
t_530,70.0,132.0,46.0,159.0
t_531,67.0,125.0,44.0,172.0
t_532,67.0,120.0,39.0,165.0
t_533,67.0,120.0,39.0,163.0
t_534,68.0,130.0,43.0,154.0
t_535,76.0,141.0,50.0,163.0
t_536,89.0,159.0,61.0,186.0
t_537,88.0,158.0,59.0,163.0
t_538,124.0,104.0,104.0,94.0
t_539,121.0,95.0,84.0,135.0
t_540,119.0,92.0,72.0,204.0
t_541,120.0,93.0,70.0,131.0
t_542,115.0,115.0,76.0,93.0
t_543,111.0,159.0,60.0,188.0
t_544,116.0,170.0,70.0,323.0
t_545,108.0,173.0,74.0,319.0
t_546,128.0,207.0,100.0,344.0
t_547,170.0,267.0,148.0,397.0
t_548,135.0,212.0,129.0,342.0
t_549,109.0,174.0,85.0,340.0
t_550,111.0,166.0,82.0,311.0
t_551,106.0,160.0,79.0,289.0
t_552,81.0,150.0,70.0,223.0
t_553,75.0,143.0,56.0,168.0
t_554,70.0,132.0,46.0,159.0
t_555,67.0,125.0,44.0,172.0
t_556,67.0,120.0,39.0,165.0
t_557,67.0,120.0,39.0,163.0
t_558,68.0,130.0,43.0,154.0
t_559,76.0,141.0,50.0,163.0
t_560,89.0,159.0,61.0,186.0
t_561,88.0,158.0,59.0,163.0
t_562,124.0,104.0,104.0,94.0
t_563,121.0,95.0,84.0,135.0
t_564,119.0,92.0,72.0,204.0
t_565,120.0,93.0,70.0,131.0
t_566,115.0,115.0,76.0,93.0
t_567,111.0,159.0,60.0,188.0
t_568,116.0,170.0,70.0,323.0
t_569,108.0,173.0,74.0,319.0
t_570,128.0,207.0,100.0,344.0
t_571,170.0,267.0,148.0,397.0
t_572,135.0,212.0,129.0,342.0
t_573,109.0,174.0,85.0,340.0
t_574,111.0,166.0,82.0,311.0
t_575,106.0,160.0,79.0,289.0
t_576,81.0,150.0,70.0,223.0
t_577,75.0,143.0,56.0,168.0
t_578,70.0,132.0,46.0,159.0
t_579,67.0,125.0,44.0,172.0
t_580,67.0,120.0,39.0,165.0
t_581,67.0,120.0,39.0,163.0
t_582,68.0,130.0,43.0,154.0
t_583,76.0,141.0,50.0,163.0
t_584,89.0,159.0,61.0,186.0
t_585,88.0,158.0,59.0,163.0
t_586,124.0,104.0,104.0,94.0
t_587,121.0,95.0,84.0,135.0
t_588,119.0,92.0,72.0,204.0
t_589,120.0,93.0,70.0,131.0
t_590,115.0,115.0,76.0,93.0
t_591,111.0,159.0,60.0,188.0
t_592,116.0,170.0,70.0,323.0
t_593,108.0,173.0,74.0,319.0
t_594,128.0,207.0,100.0,344.0
t_595,170.0,267.0,148.0,397.0
t_596,135.0,212.0,129.0,342.0
t_597,109.0,174.0,85.0,340.0
t_598,111.0,166.0,82.0,311.0
t_599,106.0,160.0,79.0,289.0
t_600,81.0,150.0,70.0,223.0
t_601,75.0,143.0,56.0,168.0
t_602,70.0,132.0,46.0,159.0
t_603,67.0,125.0,44.0,172.0
t_604,67.0,120.0,39.0,165.0
t_605,67.0,120.0,39.0,163.0
t_606,68.0,130.0,43.0,154.0
t_607,76.0,141.0,50.0,163.0
t_608,89.0,159.0,61.0,186.0
t_609,88.0,158.0,59.0,163.0
t_610,124.0,104.0,104.0,94.0
t_611,121.0,95.0,84.0,135.0
t_612,119.0,92.0,72.0,204.0
t_613,120.0,93.0,70.0,131.0
t_614,115.0,115.0,76.0,93.0
t_615,111.0,159.0,60.0,188.0
t_616,116.0,170.0,70.0,323.0
t_617,108.0,173.0,74.0,319.0
t_618,128.0,207.0,100.0,344.0
t_619,170.0,267.0,148.0,397.0
t_620,135.0,212.0,129.0,342.0
t_621,109.0,174.0,85.0,340.0
t_622,111.0,166.0,82.0,311.0
t_623,106.0,160.0,79.0,289.0
t_624,81.0,150.0,70.0,223.0
t_625,72.0,108.0,59.0,137.0
t_626,61.0,106.0,51.0,150.0
t_627,57.0,97.0,47.0,145.0
t_628,56.0,96.0,44.0,143.0
t_629,56.0,95.0,43.0,142.0
t_630,57.0,95.0,47.0,143.0
t_631,57.0,101.0,48.0,138.0
t_632,61.0,101.0,47.0,135.0
t_633,66.0,95.0,58.0,86.0
t_634,79.0,66.0,74.0,64.0
t_635,76.0,64.0,53.0,75.0
t_636,81.0,55.0,47.0,57.0
t_637,90.0,56.0,53.0,48.0
t_638,85.0,75.0,53.0,72.0
t_639,75.0,99.0,44.0,123.0
t_640,74.0,105.0,47.0,149.0
t_641,72.0,116.0,56.0,142.0
t_642,75.0,111.0,61.0,151.0
t_643,75.0,112.0,64.0,154.0
t_644,75.0,110.0,65.0,154.0
t_645,73.0,109.0,63.0,152.0
t_646,71.0,104.0,61.0,149.0
t_647,70.0,114.0,61.0,147.0
t_648,71.0,110.0,62.0,159.0
t_649,65.0,108.0,60.0,143.0
t_650,64.0,100.0,50.0,146.0
t_651,62.0,95.0,45.0,129.0
t_652,52.0,93.0,43.0,125.0
t_653,56.0,91.0,42.0,124.0
t_654,56.0,95.0,38.0,130.0
t_655,56.0,84.0,49.0,117.0
t_656,56.0,84.0,49.0,112.0
t_657,58.0,80.0,44.0,83.0
t_658,58.0,78.0,41.0,73.0
t_659,56.0,80.0,36.0,61.0
t_660,55.0,77.0,28.0,59.0
t_661,56.0,79.0,30.0,66.0
t_662,58.0,79.0,32.0,87.0
t_663,61.0,86.0,40.0,125.0
t_664,63.0,90.0,46.0,140.0
t_665,66.0,97.0,48.0,152.0
t_666,70.0,105.0,56.0,156.0
t_667,74.0,112.0,65.0,159.0
t_668,73.0,110.0,66.0,160.0
t_669,73.0,108.0,66.0,159.0
t_670,71.0,106.0,62.0,158.0
t_671,70.0,102.0,67.0,150.0
t_672,68.0,105.0,67.0,148.0
t_673,75.0,143.0,56.0,168.0
t_674,70.0,132.0,46.0,159.0
t_675,67.0,125.0,44.0,172.0
t_676,67.0,120.0,39.0,165.0
t_677,67.0,120.0,39.0,163.0
t_678,68.0,130.0,43.0,154.0
t_679,76.0,141.0,50.0,163.0
t_680,89.0,159.0,61.0,186.0
t_681,88.0,158.0,59.0,163.0
t_682,124.0,104.0,104.0,94.0
t_683,121.0,95.0,84.0,135.0
t_684,119.0,92.0,72.0,204.0
t_685,120.0,93.0,70.0,131.0
t_686,115.0,115.0,76.0,93.0
t_687,111.0,159.0,60.0,188.0
t_688,116.0,170.0,70.0,323.0
t_689,108.0,173.0,74.0,319.0
t_690,128.0,207.0,100.0,344.0
t_691,170.0,267.0,148.0,397.0
t_692,135.0,212.0,129.0,342.0
t_693,109.0,174.0,85.0,340.0
t_694,111.0,166.0,82.0,311.0
t_695,106.0,160.0,79.0,289.0
t_696,81.0,150.0,70.0,223.0
t_697,75.0,143.0,56.0,168.0
t_698,70.0,132.0,46.0,159.0
