t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7027,0.083495463,0.590152599,0.062230734,0.435323783,0.357608504,0.46814868,0.477539785,0.564211572,0.069284431,0.126792515,0.709680157,0.605806473,0.039148276,0.458552465,0.507134347,0.213923112,0.470475816,0.317549716,0.112480735,0.056422256,0.171374314,0.212147274,0.020323861,0.627521495,0.108843708
t_7028,0.091753511,0.615363026,0.071821501,0.430307234,0.371957894,0.472538484,0.44731236,0.565621348,0.068291795,0.142755576,0.705168885,0.621565832,0.042742816,0.461031637,0.559909541,0.211050052,0.418614926,0.313774804,0.099697255,0.055942704,0.188878949,0.228736656,0.031581,0.614824429,0.109207189
t_7029,0.110154943,0.621924491,0.085822383,0.414081702,0.376021636,0.461487575,0.413188025,0.564189052,0.079689964,0.163426496,0.654735179,0.630748605,0.054884868,0.462603717,0.598189148,0.192135693,0.338594469,0.311289031,0.086476839,0.050156093,0.207624561,0.237640138,0.047804271,0.596139878,0.115506615
t_7030,0.137393949,0.622951449,0.089867416,0.390632148,0.361413244,0.450917886,0.409234711,0.555080764,0.107177052,0.171504916,0.593916144,0.626229694,0.070966446,0.462985233,0.624279949,0.176006613,0.266945059,0.297201519,0.072263364,0.045544616,0.218501909,0.243842701,0.060790413,0.568741439,0.12618461
t_7031,0.145911085,0.584264744,0.080753532,0.394362044,0.352803527,0.48896756,0.307355578,0.535811328,0.153175958,0.176160183,0.537742251,0.639218145,0.101291449,0.45032066,0.648044362,0.15196018,0.28713794,0.264205292,0.070281132,0.052411657,0.190696391,0.259020008,0.068623246,0.539631793,0.154808756
t_7032,0.129743006,0.565091792,0.066768415,0.360753333,0.32924443,0.478192474,0.306214874,0.523282054,0.151047095,0.166443462,0.554560884,0.601137312,0.111528059,0.447490651,0.662639423,0.127763217,0.274641341,0.223975862,0.061316316,0.044229633,0.160422051,0.276432951,0.078851263,0.524282443,0.173728051
t_7033,0.119206793,0.559260128,0.068497835,0.347386981,0.317791523,0.488721624,0.303006217,0.521484699,0.157631119,0.161882654,0.587116663,0.579243503,0.12564658,0.455349144,0.67334249,0.112767944,0.270318362,0.19999565,0.05376534,0.042877198,0.149297627,0.295174547,0.091520128,0.482709915,0.19121847
t_7034,0.121746369,0.563425143,0.068681308,0.333169629,0.303282275,0.500249608,0.308133266,0.521004229,0.161898731,0.148488597,0.660357622,0.573426754,0.147920458,0.45582122,0.681004582,0.105746146,0.279215088,0.171335829,0.039704939,0.045141231,0.155708481,0.310666635,0.100505171,0.456645556,0.201504267
t_7035,0.12390502,0.584612017,0.073242404,0.333218022,0.319629179,0.484300088,0.296624299,0.509147856,0.176517537,0.143317896,0.797941756,0.605211092,0.167396804,0.455290687,0.6815395,0.100931369,0.276301746,0.1507953,0.030839318,0.045549531,0.166010653,0.301618231,0.102629716,0.45591756,0.210219331
t_7036,0.121088496,0.578268125,0.082049516,0.331667271,0.349848521,0.445943262,0.280620721,0.482869494,0.22913367,0.141137953,0.79113174,0.607662429,0.186198396,0.455404863,0.686008726,0.107235414,0.254927945,0.127020347,0.025393419,0.04428835,0.188474804,0.312416442,0.107317641,0.46996964,0.215043096
t_7037,0.117409942,0.572463693,0.085858464,0.334883749,0.362460477,0.434066796,0.281023531,0.473632501,0.262472919,0.133652218,0.7601543,0.592128493,0.201987395,0.457765064,0.687684704,0.112688415,0.263772963,0.10945006,0.020702659,0.048624723,0.217720819,0.331501553,0.121163905,0.482841866,0.223408942
t_7038,0.11557853,0.5877697,0.082220792,0.341540942,0.367053537,0.451696882,0.301917174,0.465249235,0.291855933,0.129306624,0.717492663,0.58959559,0.220617373,0.454834646,0.688292174,0.115867613,0.273652187,0.093020082,0.014306165,0.06026391,0.23367146,0.352441938,0.12878301,0.493397022,0.24097253
t_7039,0.109414825,0.568364842,0.081968988,0.347292528,0.360010543,0.484605242,0.336899821,0.441789364,0.342254448,0.129639316,0.598917269,0.592482376,0.250768418,0.459885826,0.697875239,0.116468011,0.29761834,0.078130405,0.008436943,0.070955065,0.258920058,0.348213354,0.136927932,0.508947169,0.252618416
t_7040,0.084556622,0.552272076,0.069720441,0.351020669,0.341204006,0.539685155,0.368241442,0.407530659,0.376771046,0.092930391,0.53121063,0.596434913,0.267660644,0.464989318,0.707341105,0.107372676,0.335595724,0.06458699,0.006432026,0.075288473,0.269531663,0.307542995,0.130878948,0.513991987,0.268625783
t_7041,0.066028271,0.538308192,0.060284878,0.341807016,0.364945937,0.570580448,0.418513371,0.383149909,0.334642438,0.059447071,0.486786364,0.572404226,0.279612231,0.46746855,0.708805727,0.093015963,0.380372649,0.052051222,0.004929688,0.073769693,0.267152149,0.23311059,0.143839733,0.489878736,0.261597898
t_7042,0.061277218,0.484568038,0.059573801,0.302751922,0.419870692,0.665027617,0.488060899,0.363675177,0.481481222,0.081394245,0.445443134,0.536494622,0.273405914,0.467748589,0.711320392,0.093789126,0.432272728,0.041832571,0.003701853,0.076151796,0.281910739,0.446500457,0.168185648,0.475584113,0.295538175
t_7043,0.065990466,0.336643056,0.045343576,0.263175418,0.460696444,0.690745283,0.55460647,0.295808604,0.503748706,0.117664513,0.264923455,0.424075394,0.281474976,0.420076167,0.727513776,0.079610526,0.566483129,0.026479914,0.004553981,0.085951076,0.296986328,0.491502223,0.152842312,0.497380618,0.288277972
t_7044,0.074364455,0.371495138,0.048095337,0.268629289,0.474314056,0.663321136,0.589462327,0.27393971,0.727611056,0.142619968,0.27333684,0.398433991,0.287362009,0.422365866,0.732007134,0.060456736,0.616975473,0.017444183,0.005505723,0.088788587,0.303955713,0.64078971,0.170019706,0.493761009,0.335156076
t_7045,0.085531697,0.379243302,0.060432556,0.281613331,0.477994976,0.651022019,0.606429771,0.25648674,0.804665911,0.148992458,0.323399242,0.417424417,0.293435657,0.431662965,0.730213791,0.053021109,0.67129718,0.0180677,0.005698916,0.10473909,0.327865655,0.697609028,0.179214842,0.485530335,0.374804338
t_7046,0.091058216,0.340046659,0.072855498,0.298741332,0.487029451,0.673800238,0.634994703,0.252713588,0.816921206,0.145774552,0.356058521,0.436401728,0.307332799,0.426473877,0.734206055,0.05081661,0.68375551,0.035765534,0.007562187,0.126443591,0.362106132,0.673371498,0.182100678,0.476669978,0.404943893
t_7047,0.110089664,0.360374527,0.089309861,0.313036118,0.515674238,0.670844268,0.626724962,0.257722383,0.799157723,0.143668258,0.365942709,0.444715338,0.312896684,0.422176067,0.734487161,0.053961379,0.711764003,0.050554478,0.011801553,0.137644462,0.381106698,0.67822419,0.193435393,0.453261465,0.40858078
t_7048,0.11549594,0.453625721,0.110585589,0.3496558,0.581662082,0.683709335,0.645673278,0.267432856,0.777548459,0.116444752,0.55922013,0.552568513,0.321575167,0.429162466,0.73437422,0.060794465,0.75112909,0.067752172,0.02616325,0.157807689,0.373400522,0.662039551,0.228487423,0.439732844,0.406214149
t_7049,0.12407282,0.512033328,0.150839911,0.41834056,0.603499126,0.658892402,0.617725361,0.279270287,0.76617759,0.15738143,0.691787315,0.643112859,0.338967945,0.426669529,0.735973182,0.070874783,0.765465125,0.07997614,0.046221319,0.199607201,0.420591001,0.661613441,0.295751019,0.437871041,0.443805296
t_7050,0.175356135,0.576992927,0.188905513,0.464629825,0.573483831,0.616250189,0.531134078,0.297204676,0.784350172,0.290243041,0.569310298,0.702729979,0.346648819,0.426922436,0.735793723,0.076997657,0.768502172,0.091019743,0.0515043,0.248980764,0.446010651,0.634273961,0.341147796,0.441302529,0.457540985
t_7051,0.229914721,0.594859681,0.210434416,0.488297,0.530741144,0.598314023,0.519029739,0.295970199,0.809517663,0.416714317,0.582573704,0.731092438,0.359400281,0.412717218,0.738205058,0.072063498,0.768635532,0.09766831,0.052534269,0.266634486,0.459151441,0.58815348,0.358703829,0.427973542,0.451743603
t_7052,0.269244216,0.566908318,0.230989768,0.497777248,0.492340767,0.607506123,0.511961436,0.296940142,0.83082721,0.484415851,0.70415396,0.710354695,0.366038201,0.398974828,0.742157405,0.065676193,0.780703303,0.104215412,0.04950564,0.253030713,0.452406425,0.582542984,0.37304915,0.404117814,0.448428679
t_7053,0.300728724,0.492541387,0.237969503,0.493769513,0.453058179,0.624097603,0.504467093,0.283127579,0.843177139,0.51126201,0.593631282,0.662324791,0.379004435,0.38746434,0.748224281,0.063892165,0.796202806,0.113858704,0.048375644,0.252870866,0.437102912,0.607358109,0.379724834,0.389200851,0.466269057
t_7054,0.31894357,0.346051789,0.234835382,0.481778142,0.42131354,0.634162945,0.488533705,0.272983724,0.853910484,0.535380268,0.457740126,0.614066664,0.393720691,0.384247307,0.753490704,0.067116767,0.793319351,0.112134148,0.047265002,0.259915575,0.430118613,0.606679362,0.39530515,0.371463497,0.482522599
t_7055,0.285892815,0.165668391,0.219764713,0.431968187,0.330540874,0.618833795,0.545905254,0.265797141,0.843555733,0.530625063,0.179621114,0.533385994,0.40615084,0.396397547,0.748342849,0.079537826,0.834510857,0.137299179,0.053419099,0.236277827,0.41281823,0.594874383,0.372838502,0.356123911,0.459374605
t_7056,0.260872976,0.139227413,0.220469046,0.409252008,0.317986661,0.61897027,0.535117239,0.272197329,0.861644592,0.5189067,0.149267392,0.453917388,0.412526466,0.387153349,0.753724877,0.083390256,0.769343207,0.148882692,0.052582893,0.252251597,0.401362887,0.589390122,0.366622904,0.353718609,0.457138777
t_7057,0.235051993,0.13937449,0.213920514,0.385431044,0.316520648,0.606625661,0.538866394,0.26338726,0.872982679,0.511240163,0.153532547,0.423571606,0.416598671,0.370851134,0.753755633,0.094723002,0.755791693,0.150977906,0.057708103,0.264507008,0.395546627,0.591094072,0.381213405,0.334699396,0.468700668
t_7058,0.20146086,0.117778126,0.212307787,0.358076678,0.322181826,0.578936016,0.558617138,0.252166107,0.869740421,0.528241409,0.104500171,0.424138936,0.425260173,0.362591689,0.751962814,0.107378864,0.777013065,0.157511891,0.057721317,0.267403786,0.355394753,0.604523381,0.411573247,0.330666319,0.490311027
t_7059,0.164154972,0.110118698,0.219396815,0.337678115,0.361474888,0.56242218,0.549878595,0.262866733,0.873163841,0.531415627,0.106202338,0.401094602,0.435022483,0.374743021,0.751626401,0.123268547,0.86773278,0.156235587,0.055187561,0.269409123,0.320966084,0.557950776,0.404517266,0.326844926,0.492559133
t_7060,0.154446122,0.110267981,0.23139595,0.326192556,0.386553574,0.568539305,0.526301447,0.271428784,0.882531254,0.531258157,0.10825217,0.386874801,0.436535237,0.394517742,0.751090741,0.147938595,0.881309772,0.143929746,0.053649148,0.279875699,0.324085565,0.477248997,0.419331558,0.317431713,0.499461943
t_7061,0.139884232,0.111984383,0.226954051,0.32136951,0.433423627,0.578110696,0.531583415,0.259244555,0.882673952,0.515096664,0.061877638,0.380495988,0.435340403,0.401836068,0.755559535,0.164696023,0.84961591,0.130662947,0.057493153,0.29276864,0.326313685,0.447720261,0.415779858,0.312487365,0.472410763
t_7062,0.15513119,0.106857759,0.205714199,0.31221571,0.494168237,0.589105743,0.582316891,0.263900648,0.888529206,0.535926834,0.052838595,0.345486356,0.431960198,0.396544387,0.754466272,0.172179736,0.801533031,0.116148978,0.063487471,0.305348697,0.290099375,0.381107351,0.425307805,0.314638411,0.480020099
