t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_2100,0.43146386,0.256006587,0.458441443,0.404829779,0.551905797,0.33198929,0.726489277,0.438356806,0.523063562,0.66720207,0.356360683,0.214128273,0.761392031,0.75181679,0.392127505,0.721264584,0.586919053,0.823775035,0.730131777,0.478097258,0.615440575,0.258047349,0.551123172,0.105361532,0.565423242
t_2101,0.401348837,0.252154921,0.422659114,0.38357565,0.577002093,0.35308208,0.750162621,0.441147386,0.504847335,0.629552743,0.386574157,0.208175764,0.75278574,0.71351502,0.372348407,0.651660341,0.651010741,0.762805694,0.651218843,0.49865839,0.55603077,0.261923232,0.400627021,0.143306195,0.530811347
t_2102,0.328728754,0.200191844,0.379364549,0.356051912,0.562610982,0.342333139,0.721766809,0.403449704,0.452809713,0.533306847,0.277947932,0.196972252,0.672634857,0.615577917,0.336213105,0.533224243,0.621311747,0.643010577,0.505090924,0.460444135,0.501536626,0.227973984,0.29337776,0.20180878,0.482788159
t_2103,0.212693017,0.139815569,0.289298215,0.310673461,0.434054925,0.266823425,0.646597422,0.329801244,0.327499061,0.381142349,0.210949742,0.173494558,0.532324453,0.461335351,0.258354863,0.397587449,0.534557607,0.469325122,0.32517862,0.37243334,0.446139599,0.140827566,0.231379016,0.264813327,0.396114057
t_2104,0.131943446,0.092726848,0.18436102,0.235325769,0.260159854,0.178213523,0.515772123,0.251683078,0.210143638,0.227252481,0.140793046,0.124056866,0.36478871,0.274042117,0.159225409,0.238299815,0.41678346,0.276080929,0.17362787,0.251675502,0.319537246,0.10359388,0.161256494,0.273125048,0.284152554
t_2105,0.064260535,0.04318762,0.076575783,0.132138785,0.1012083,0.086464837,0.340273057,0.159669219,0.093709512,0.076259757,0.048657308,0.060998889,0.178969095,0.0938342,0.071804504,0.084172922,0.284271057,0.089115619,0.066000781,0.106175372,0.138889927,0.069724107,0.061411743,0.233166952,0.15446609
t_2106,0.003698437,0.012345898,0.00509817,0.036055111,0.016758851,0.020507881,0.161532689,0.062999339,0.001497182,0,0.010622329,0.016597848,0.032936473,0.007143104,0.015672236,0.000665332,0.152960652,0.000337971,0.002774797,0.008053759,0.010178347,0.00429462,0,0.125767086,0.030701658
t_2107,0,0,0,0,0,0,0.025122318,0.001798944,0,0,0,0,0,0,0,0,0.043363832,0,0,0,0,0,0,0.011943967,0
t_2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2118,0.001347905,0,0.001689371,0,0,0,0,0,0.004599621,0.0190646,0,0,0,0.039431222,0,0.011771385,0,0.011448502,0.003808059,2.63E-06,0,0,0.014383263,0,0.00057401
t_2119,0.069791477,0.017079749,0.073358753,0.038078521,0.00428776,0.005241599,2.04E-06,0.01291145,0.127438083,0.18216693,0.020727155,0.005646887,0.039186512,0.184747442,0.006171619,0.114279844,0,0.066874252,0.089872699,0.051854709,0.043494407,0.101935262,0.12489786,0,0.077649042
t_2120,0.193801413,0.147484794,0.21296632,0.136686373,0.032446688,0.030681476,0.072807243,0.152550389,0.320378899,0.388105923,0.10929624,0.06566184,0.113606578,0.359530674,0.029868127,0.211925482,0.04025211,0.161984642,0.210395477,0.119601791,0.083783601,0.281280148,0.240705928,0.105963311,0.272948503
t_2121,0.371183961,0.316413171,0.379689234,0.258102907,0.063307966,0.051302899,0.240656086,0.351890985,0.488013008,0.547050898,0.211050513,0.231478661,0.183984259,0.50387448,0.058103148,0.274932066,0.224229381,0.271708999,0.275232602,0.181118038,0.118491846,0.487522485,0.313074264,0.303957447,0.480326728
t_2122,0.544597208,0.417737659,0.494095087,0.364488886,0.114898386,0.070354874,0.421113197,0.534396458,0.606288655,0.660825142,0.324437844,0.441103633,0.257506896,0.602154987,0.089296671,0.341421688,0.429953847,0.332887404,0.292390067,0.244027799,0.150947628,0.642756325,0.348931734,0.426883147,0.640198957
t_2123,0.644669987,0.45824038,0.572218151,0.435786681,0.198121064,0.112107888,0.561486565,0.656792667,0.644700021,0.705528739,0.409101142,0.627131804,0.332332403,0.650729148,0.123176532,0.429909588,0.576105744,0.309025467,0.318705053,0.276481451,0.173412947,0.701677868,0.385729043,0.441746968,0.731132055
t_2124,0.663611779,0.528813959,0.635340573,0.471105444,0.227547417,0.185049799,0.652359415,0.708958134,0.629899826,0.700740855,0.407994891,0.730434862,0.378656294,0.668279501,0.1454964,0.478420777,0.687780359,0.217030981,0.364838513,0.261146059,0.16307169,0.657202304,0.437327761,0.419962989,0.765932241
t_2125,0.604554301,0.552376862,0.645754785,0.46371215,0.196897501,0.275669199,0.687223687,0.720000793,0.594683973,0.659585875,0.364401823,0.716694342,0.344249169,0.642028658,0.157615682,0.454918882,0.752165895,0.144826752,0.376359099,0.221639243,0.132772052,0.514278618,0.428839465,0.382946837,0.7442418
t_2126,0.470404441,0.490002844,0.579453153,0.415956775,0.173525804,0.316091131,0.681282739,0.699950299,0.525917653,0.561328425,0.314622728,0.683571758,0.254470223,0.546087511,0.168055938,0.396472732,0.758196483,0.115920295,0.318689821,0.178702589,0.124036014,0.36798088,0.376242933,0.311952058,0.672582488
t_2127,0.315240119,0.387272361,0.445024428,0.356624431,0.176845757,0.295816466,0.622234556,0.631624448,0.398617826,0.409195634,0.285441573,0.573490258,0.162063613,0.394303964,0.179013886,0.317354507,0.71646326,0.095452638,0.233883456,0.126381902,0.100519984,0.22577843,0.298409837,0.203302094,0.555912145
t_2128,0.197797005,0.260559556,0.300973061,0.275362197,0.179560098,0.254271784,0.51105189,0.506125219,0.240682963,0.246467658,0.255029609,0.367199059,0.093884206,0.211592029,0.171924053,0.206370296,0.615350842,0.057606708,0.154272124,0.072493059,0.061067809,0.112382444,0.194358335,0.112842495,0.397518982
t_2129,0.102293044,0.154355277,0.139480997,0.160441153,0.122452568,0.157834735,0.357529447,0.327879578,0.095852197,0.085911011,0.158265058,0.16055626,0.048114426,0.059468378,0.115436062,0.077249002,0.466939154,0.022920476,0.068480125,0.02993284,0.035923331,0.052823583,0.081284191,0.067329509,0.203652181
t_2130,0.006488702,0.062968621,0.008605344,0.048279182,0.023004966,0.034003477,0.176217353,0.119942183,0.002400553,0,0.050045057,0.039207124,0.012451826,0.004571536,0.03289204,0.000838799,0.274165056,0,0.003562862,0.001974578,0.006858178,0.004541016,0,0.037158666,0.034703755
t_2131,0,0,0,0,0,0,0.027249233,0.003630508,0,0,0,0,0,0,0,0,0.067659153,0,0,0,0,0,0,0.003448785,0
t_2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2142,0.005003699,0,0.004085166,0,0,0,0,0,0.007120702,0.021833376,0,0,0,0.013466307,0,0.015255642,0,0.013345178,0.001152179,0.00056993,0.000940966,0,0.017690593,0,0.001143938
t_2143,0.117981127,0.016177646,0.131861403,0.054521328,0.043841075,0.043530638,6.29E-05,0.013283704,0.135581913,0.193470605,0.027225493,0.026087762,0.05765799,0.059884503,0.009880994,0.162110329,0,0.038520646,0.041129306,0.065757271,0.08530571,0.095529666,0.138544853,0,0.074941508
t_2144,0.303410007,0.093461864,0.347037089,0.1741814,0.144366057,0.150365979,0.088183639,0.120818549,0.330148545,0.416845429,0.145724607,0.121289663,0.175737208,0.133951459,0.038201229,0.36059778,0.040522689,0.054828906,0.133387766,0.18688832,0.215192335,0.242674602,0.303186062,0.069202478,0.244124462
t_2145,0.490588501,0.189689701,0.539517326,0.308847798,0.289924816,0.21735071,0.288794489,0.251408133,0.497514092,0.591003601,0.332802541,0.22277527,0.269140631,0.208746572,0.06197741,0.530870502,0.199962161,0.084906938,0.293347005,0.319365156,0.313993637,0.387497358,0.485607447,0.210564597,0.423859402
t_2146,0.643140459,0.282703609,0.67130048,0.42344234,0.453900275,0.294342519,0.465860365,0.354928027,0.624109012,0.702297056,0.505965555,0.236623472,0.373841693,0.274095782,0.084160262,0.637732087,0.321696057,0.107884268,0.472043102,0.442016118,0.365118255,0.538291411,0.660896541,0.379566337,0.564985998
t_2147,0.739305863,0.324800898,0.75222759,0.498380423,0.582770991,0.307746862,0.585735747,0.410447025,0.68922749,0.745450856,0.628808097,0.228424294,0.471361395,0.31232612,0.103232117,0.688388654,0.329305965,0.124985308,0.608026736,0.525810441,0.412198189,0.68365633,0.757878968,0.512235521,0.634968415
t_2148,0.763659114,0.285362239,0.779679094,0.531829172,0.595126325,0.312195536,0.658042439,0.413807299,0.705471152,0.760304697,0.668029336,0.273631124,0.461524663,0.329851862,0.107852045,0.702157817,0.32297924,0.144679018,0.665704148,0.500514937,0.519900809,0.754214003,0.78078904,0.576285651,0.631086482
t_2149,0.732732727,0.267502756,0.748143744,0.531628677,0.543313846,0.360010289,0.686594915,0.38941601,0.682090496,0.730037529,0.632525514,0.307936807,0.36704665,0.316462538,0.107524361,0.662470388,0.397905184,0.138625598,0.626881184,0.388191484,0.564685923,0.741597853,0.738432424,0.615691292,0.608500785
t_2150,0.668816429,0.268302228,0.661581088,0.493942396,0.496346326,0.34391269,0.654669859,0.340628084,0.614317181,0.647029145,0.536868859,0.243104309,0.286432893,0.2516488,0.091047537,0.579135993,0.516447512,0.119983536,0.510262877,0.276372979,0.512927007,0.668938656,0.648033267,0.625236507,0.568246365
t_2151,0.545740455,0.214684451,0.520234496,0.411463857,0.421552198,0.236708412,0.569851882,0.281404657,0.492360421,0.50752109,0.357004714,0.142485291,0.203504988,0.174270498,0.064052681,0.453528123,0.611772953,0.087758793,0.345471247,0.193362052,0.44069277,0.538887224,0.504695384,0.577116593,0.475197611
t_2152,0.366497203,0.160045338,0.335576194,0.290259979,0.294629174,0.120598419,0.454123486,0.225449189,0.321213417,0.310483481,0.210749478,0.081650129,0.12592131,0.104832581,0.040574099,0.285594147,0.6027404,0.046713979,0.192274096,0.118416486,0.300922666,0.366848363,0.313924864,0.461395756,0.350137802
t_2153,0.153101282,0.0946401,0.139302364,0.153866045,0.140377403,0.053429281,0.303730803,0.143222535,0.125066066,0.100526791,0.102330276,0.048856282,0.072082794,0.041534551,0.022876397,0.10437879,0.46960716,0.019858684,0.077320759,0.054599827,0.128368915,0.163840784,0.106515751,0.301342069,0.181976961
