t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7414,0,0.949300507,0,0.945660314,0.910187676,0.95,0.949915427,0.684121708,0.39857478,0,0,0.94987202,0.927767926,0.642095965,0.949999959,0.94599201,0.035925612,0.95,0.949967265,0.933836995,0.949065172,0.05889577,0,0.796546956,0.921374143
t_7415,0,0.948829429,0,0.948169239,0.907641969,0.95,0.949945057,0.71403875,0.398791756,0,0,0.948086792,0.946517962,0.588580636,0.95,0.949658662,0.036831429,0.95,0.948988739,0.925773321,0.946705216,0.124508127,0,0.809053043,0.932045053
t_7416,0,0.943585566,0,0.949215434,0.914060581,0.95,0.949918464,0.72566411,0.310606885,0,0,0.948410862,0.943732664,0.625938197,0.95,0.949902861,0.047364436,0.949999646,0.949040938,0.940467609,0.933647691,0.080021936,0,0.793807682,0.933768434
t_7417,0,0.943024123,0,0.94934096,0.897125492,0.95,0.949939756,0.704399892,0.232984646,0,0,0.948621446,0.940371237,0.712055067,0.95,0.949833759,0.092440353,0.949999769,0.949387886,0.941607932,0.935786372,0.034575658,0,0.776123408,0.933686846
t_7418,0,0.934579282,0,0.949516068,0.769937221,0.95,0.949903557,0.696156897,0.18050465,0,0,0.948888152,0.948414318,0.76359482,0.95,0.949747428,0.128955543,0.95,0.949536322,0.94393047,0.845151842,0.016982625,0,0.748128829,0.934041358
t_7419,0,0.930743837,0,0.948776623,0.875636043,0.95,0.949889182,0.625718205,0.156306868,0,0,0.94945656,0.949976278,0.764112915,0.95,0.949834534,0.135253136,0.95,0.948492181,0.945891732,0.594263038,0.002108161,0,0.743791827,0.924000244
t_7420,0,0.937962934,0,0.942468053,0.911002711,0.95,0.949932101,0.612265459,0.143884476,0,0,0.949772111,0.95,0.772886531,0.95,0.949912344,0.106044071,0.95,0.947307751,0.942522531,0.833885288,0,0,0.748734703,0.906101091
t_7421,0,0.940144359,0,0.941785176,0.896753051,0.949995629,0.9499946,0.618977251,0.135778015,0,0,0.949912809,0.95,0.799124423,0.95,0.949965958,0.080529471,0.95,0.944851563,0.933756842,0.836934139,0,0,0.748830353,0.889222312
t_7422,0,0.931454305,0,0.948695836,0.861398984,0.949986656,0.949998296,0.582328344,0.120866896,0,0,0.949941478,0.949994551,0.782400849,0.949986604,0.949992713,0.077796366,0.95,0.932422719,0.908684641,0.83219612,0,0,0.727070764,0.873878103
t_7423,0,0.933415941,0,0.949003556,0.871412948,0.949998605,0.949998105,0.539665921,0.099201169,0,0,0.949908305,0.94995637,0.712310387,0.949922335,0.949998912,0.065573351,0.949974489,0.910346397,0.82832832,0.838087275,0,0,0.714893326,0.855452314
t_7424,0,0.939271679,0,0.948758939,0.867201342,0.949997244,0.949998736,0.537549999,0.073083643,0,0,0.949850621,0.949343216,0.599399944,0.949966328,0.949985893,0.069569951,0.94497605,0.885453733,0.76056716,0.779786693,0,0,0.696627585,0.829332671
t_7425,0,0.942546507,0,0.94783629,0.848244175,0.949936812,0.949996352,0.484973765,0.04717421,0,0,0.949989542,0.921237836,0.510439708,0.949955337,0.935990324,0.087492722,0.916396891,0.778679437,0.642915623,0.647953583,0,0,0.672212962,0.783636836
t_7426,0,0.943507225,0,0.946378554,0.878197404,0.949921607,0.949993743,0.398357652,0.023161693,0,0,0.949989512,0.814218377,0.433522649,0.949978525,0.892718214,0.090013422,0.889049048,0.546925588,0.503072692,0.606531397,0,0,0.656340156,0.705845679
t_7427,0,0.90190179,0,0.939320256,0.910597278,0.94999547,0.949981956,0.33496394,0.007677075,0,0,0.949479806,0.620799675,0.343595114,0.949998977,0.829472252,0.093907635,0.832401001,0.32598335,0.421824908,0.656658577,0.011953497,0,0.633147764,0.614123431
t_7428,0,0.877058517,0,0.934319147,0.908705204,0.949999828,0.949952277,0.304738914,0.000355855,0,0,0.948501865,0.50573989,0.300133193,0.95,0.775773285,0.094363099,0.751653067,0.172454482,0.430751959,0.719859221,0.008080897,0,0.610151883,0.480112548
t_7429,0,0.881113527,0,0.93019107,0.894760068,0.94999769,0.949953926,0.231623566,0,0,0,0.946470577,0.311042891,0.25620347,0.949999948,0.784605541,0.086021414,0.579242978,0.333875028,0.469213952,0.675980382,0,0,0.595856785,0.4124998
t_7430,0,0.876025291,0,0.919199667,0.894303312,0.949991752,0.949984437,0.165231911,0,0,0,0.942155422,0.363969768,0.205833624,0.95,0.758115525,0.078175247,0.362991982,0.46158238,0.48878836,0.717947304,0,0,0.574912161,0.341415729
t_7431,0,0.880631938,0,0.933479191,0.90031349,0.95,0.949995934,0.16226789,0,0,0,0.936379443,0.678233305,0.188183331,0.949999624,0.767610416,0.082441342,0.198675337,0.524811723,0.473775441,0.706520729,0,0,0.546689301,0.25809273
t_7432,0,0.854890593,0,0.938599671,0.899087239,0.95,0.949999121,0.166060564,2.27E-05,0,0,0.935816773,0.945780491,0.176043758,0.947709582,0.794386315,0.110694788,0.136641289,0.584668104,0.529095069,0.798082208,0,0,0.514232298,0.195627127
t_7433,0,0.788002231,0,0.946652668,0.884315789,0.949921367,0.949998815,0.139237019,0.001976694,0,0,0.920394179,0.95,0.179672175,0.928383918,0.864267413,0.14971611,0.115996082,0.641420414,0.66269685,0.777822267,0.000847992,0,0.491390537,0.147166418
t_7434,0,0.687358359,0,0.946558573,0.837612886,0.948810023,0.949999442,0.132499177,0.010737865,0,0,0.885289359,0.949956189,0.205412717,0.91037416,0.898287728,0.171388269,0.095051333,0.721989859,0.796754364,0.734392724,0,0,0.463384036,0.103114299
t_7435,0,0.648891603,0,0.942829422,0.814728174,0.946965225,0.95,0.166733966,0.017899707,0,0,0.83757402,0.948590411,0.251025228,0.903575556,0.916705665,0.177491877,0.12505502,0.78352033,0.82343363,0.718770006,0,0,0.420184678,0.074753887
