t,CH00
605,6095.3
606,6279.66
607,7190.34
608,8197.344
609,8727.508
610,8745.184
611,8856.84
612,8943.15
613,8505.94
614,8583.234
615,8515.918
616,8453.264
617,8512.61
618,8699.94
619,8789
620,8374.66
621,7729.85
622,7322.97
623,7222.71
624,6775.84
625,6598.78
626,6412.83
627,6267.87
628,6220.89
629,6120.85
630,6237.8
631,7124.41
632,8113.074
633,8677.887
634,8770.874
635,8848.89
636,9012.86
637,8629.96
638,8660.904
639,8528.931
640,8363.994
641,8308.1
642,8508.13
643,8567.15
644,8137.42
645,7512.61
646,7125.73
647,7108.62
648,6778.72
649,6373.74
650,6174.8
651,6044.84
652,5943.87
653,5782.73
654,5847.58
655,6103.07
656,6277.896
657,6652.601
658,6894.706
659,7121.77
660,7213.31
661,7310.71
662,7351.566
663,7319.987
664,7255.596
665,7266.88
666,7634.05
667,7690.59
668,7299.71
669,6819.86
670,6463.96
671,6505.7
672,6325.76
673,6046.23
674,5786.31
675,5632.36
676,5505.39
677,5376.27
678,5475.04
679,5525.41
680,5494.23
681,5779.915
682,6068.06
683,6456.13
684,6692.18
685,6962.98
686,6904.81
687,6717.761
688,6615.89
689,6742.26
690,7220.51
691,7231.12
692,6923.36
693,6537.47
694,6237.56
695,6303.15
696,5994.25
697,5747.6
698,5526.66
699,5516.67
700,5520.67
701,5525.48
702,5807.3
703,6784.72
704,7828.3
705,8434.023
706,8549.08
707,8757.13
708,8863.66
709,8512.21
710,8652.05
711,8562.539
712,8474.11
713,8451.34
714,8573.48
715,8674.74
716,8165.06
717,7513.26
718,7134.37
719,7034.21
720,6549.36
721,6371.1
722,6193.15
723,6135.17
724,6048.19
725,5955.44
726,6134.73
727,7050.39
728,8048.42
729,8539.569
730,8596.26
731,8780.87
732,8857.2
733,8557.94
734,8635.25
735,8549.927
736,8448.3
737,8433.67
738,8551.01
739,8776.03
740,8357.76
741,7747.94
742,7365.05
743,7320.81
744,6914.93
745,6632.34
746,6470.39
747,6359.42
748,6280.45
749,6120.72
750,6268.27
751,7196.11
752,8174.21
753,8709.441
754,8751.04
755,8816.62
756,8862.41
757,8586.69
758,8707.05
759,8646.279
760,8597.09
761,8598.3
762,8781.51
763,8953.26
764,8537.91
765,7917.1
766,7501.22
767,7504.08
768,7139.19
769,6936.73
770,6724.79
771,6610.83
772,6528.85
773,6357.65
774,6445.36
775,7410.13
776,8379.53
777,8878.088
778,8937.36
779,9084.63
780,9082.79
781,8841.7
782,8953.36
783,8915.233
784,8806.4
785,8832.02
786,8967.6
787,9217.47
788,8889.77
789,8261.96
790,7827.09
791,7834.46
792,7518.56
793,7321.3
794,7102.37
795,6976.4
796,6872.44
797,6701.19
798,6807.04
799,7689.48
800,8604.09
801,9089.85
802,9153.93
803,9206.03
804,9126.12
805,8939.11
806,9017.97
807,8920.94
808,8729.05
809,8648.32
810,8853.42
811,9240.7
812,8948.96
813,8331.15
814,7949.26
815,8098.07
816,7918.12
817,7540.92
818,7208.02
819,7006.08
820,6864.13
821,6629.03
822,6653.85
823,6780.09
824,6977.8
825,7358.47
826,7596.61
827,7770.8
828,7750.42
829,7918.75
830,8032.48
831,7926.915
832,7832.54
833,7715.02
834,8016.44
835,8401.89
836,8095.32
837,7616.46
838,7277.56
839,7477.94
840,7343.98
841,6975.72
842,6630.83
843,6458.88
844,6314.92
845,6214.22
846,6275.42
847,6293.99
848,6240.2
849,6556.283
850,6749.05
851,7025.77
852,7107.65
853,7356.67
854,7277.89
855,7076.024
856,6957.98
857,6903.6
858,7383.09
859,7778.3
860,7605.19
861,7249.3
862,6918.4
863,7156.67
864,6929.74
865,6996.97
866,6697.06
867,6635.08
868,6636.08
869,6608.75
870,6745.36
871,7681.12
872,8657.5
873,9169.03
874,9321.3
875,9353.62
876,9268.81
877,9036.72
878,9169.35
879,9037.21
880,8893.43
881,8892.09
882,9006.68
883,9476.52
884,9112.01
885,8519.19
886,8094.31
887,8108.64
888,7792.74
889,7528.15
890,7308.21
891,7217.24
892,7102.27
893,6897.63
894,7099.79
895,7961.33
896,8924.29
897,9418.374
898,9442.14
899,9464.88
900,9429.28
901,9261.94
902,9410.15
903,9315.796
904,9292.18
905,9310.7
906,9408.1
907,9705.46
