t,demand_[MWh]
746,3544.96
747,3544.96
748,3544.96
749,3102.56
750,2658.56
751,1329.44
752,886.28
753,443.16
754,886.28
755,1329.44
756,1550.98
757,1329.44
758,886.28
759,664.68
760,886.28
761,1772.56
762,2658.56
763,3988.08
764,4431.56
765,4431.56
766,4431.56
767,3544.96
768,3544.96
769,3666.86
770,3666.86
771,3666.86
772,3666.86
773,3208.3
774,2749.82
775,1375
776,916.7
777,458.36
778,916.7
779,1375
780,1604.12
781,1375
782,916.7
783,687.46
784,916.7
785,1833.24
786,2749.82
787,4124.66
788,4583.46
789,4583.46
790,4583.46
791,3666.86
792,3666.86
793,3746.48
794,3746.48
795,3746.48
796,3746.48
797,3278.94
798,2810.56
799,1405.18
800,936.82
801,468.36
802,936.82
803,1405.18
804,1639.34
805,1405.18
806,936.82
807,702.6
808,936.82
809,1873.52
810,2810.56
811,4215.52
812,4683.6
813,4683.6
814,4683.6
815,3746.48
816,3746.48
817,3780.08
818,3780.08
819,3780.08
820,3780.08
821,3307.34
822,2834.62
823,1417.4
824,945.02
825,472.46
826,945.02
827,1417.4
828,1653.64
829,1417.4
830,945.02
831,708.7
832,945.02
833,1889.94
834,2834.62
835,4252.52
836,4724.54
837,4724.54
838,4724.54
839,3780.08
840,3780.08
841,3758.8
842,3758.8
843,3758.8
844,3758.8
845,3288.64
846,2818.7
847,1409.36
848,939.58
849,469.82
850,939.58
851,1409.36
852,1644.26
853,1409.36
854,939.58
855,704.76
856,939.58
857,1879.24
858,2818.7
859,4228.52
860,4698.18
861,4698.18
862,4698.18
863,3758.8
864,3758.8
865,3812.78
866,3812.78
867,3812.78
868,3812.78
869,3336.22
870,2859.72
871,1429.82
872,953.24
873,476.58
874,953.24
875,1429.82
876,1668.12
877,1429.82
878,953.24
879,715
880,953.24
881,1906.4
882,2859.72
883,4289.54
884,4765.92
885,4765.92
886,4765.92
887,3812.78
888,3812.78
889,3797.48
890,3797.48
891,3797.48
892,3797.48
893,3322.62
894,2848.1
895,1423.88
896,949.24
897,474.68
898,949.24
899,1423.88
900,1661.16
901,1423.88
902,949.24
903,711.9
904,949.24
905,1898.46
906,2848.1
907,4271.12
908,4746.88
909,4746.88
910,4746.88
911,3797.48
912,3797.48
913,3566.2
914,3566.2
915,3566.2
916,3566.2
917,3120.74
918,2674.5
919,1337.44
920,891.6
921,445.82
922,891.6
923,1337.44
924,1560.28
925,1337.44
926,891.6
927,668.68
928,891.6
929,1783.18
930,2674.5
931,4012.5
932,4458.24
933,4458.24
934,4458.24
935,3566.2
936,3566.2
937,3602.16
938,3602.16
939,3602.16
940,3602.16
941,3152.2
942,2701.74
943,1350.86
944,900.56
945,450.3
946,900.56
947,1350.86
948,1575.98
949,1350.86
950,900.56
951,675.38
952,900.56
953,1801.12
954,2701.74
955,4052.76
956,4502.92
957,4502.92
958,4502.92
959,3602.16
960,3602.16
961,3608.7
962,3608.7
963,3608.7
964,3608.7
965,3158.04
966,2706.98
967,1353.3
968,902.22
969,451.1
970,902.22
971,1353.3
972,1578.96
973,1353.3
974,902.22
975,676.7
976,902.22
977,1804.42
978,2706.98
979,4060.36
980,4511.12
981,4511.12
982,4511.12
983,3608.7
984,3608.7
985,3688.68
986,3688.68
987,3688.68
988,3688.68
989,3227.56
990,2766.92
991,1383.34
992,922.14
993,461.08
994,922.14
995,1383.34
996,1613.8
997,1383.34
998,922.14
999,691.7
1000,922.14
1001,1844.36
1002,2766.92
1003,4149.7
1004,4610.7
1005,4610.7
1006,4610.7
1007,3688.68
1008,3688.68
1009,3679.4
1010,3679.4
1011,3679.4
1012,3679.4
1013,3219.28
1014,2759.66
1015,1379.78
1016,919.88
1017,459.98
1018,919.88
1019,1379.78
1020,1609.76
1021,1379.78
1022,919.88
1023,689.92
1024,919.88
1025,1839.74
1026,2759.66
1027,4139.84
1028,4599.72
1029,4599.72
1030,4599.72
1031,3679.4
1032,3679.4
1033,3421.8
1034,3421.8
1035,3421.8
1036,3421.8
1037,2994.32
1038,2566.8
1039,1283.26
1040,855.52
1041,427.76
1042,855.52
1043,1283.26
1044,1497.18
1045,1283.26
1046,855.52
1047,641.64
1048,855.52
1049,1711.06
1050,2566.8
1051,3849.78
1052,4277.6
1053,4277.6
1054,4277.6
1055,3421.8
1056,3421.8
1057,3223.84
1058,3223.84
1059,3223.84
1060,3223.84
1061,2821.02
1062,2418.04
1063,1209.04
1064,806.06
1065,403.04
1066,806.06
1067,1209.04
1068,1410.6
1069,1209.04
1070,806.06
1071,604.54
1072,806.06
1073,1612
1074,2418.04
1075,3627.66
1076,4030.4
1077,4030.4
1078,4030.4
1079,3223.84
1080,3223.84
1081,3109.86
1082,3109.86
1083,3109.86
1084,3109.86
1085,2721.4
1086,2332.52
1087,1166.18
1088,777.42
1089,388.72
1090,777.42
1091,1166.18
1092,1360.6
1093,1166.18
1094,777.42
1095,583.16
1096,777.42
1097,1554.98
1098,2332.52
1099,3498.38
1100,3887.32
1101,3887.32
1102,3887.32
1103,3109.86
1104,3109.86
1105,3121.94
1106,3121.94
1107,3121.94
1108,3121.94
1109,2731.58
1110,2341.12
1111,1170.62
1112,780.4
1113,390.16
1114,780.4
1115,1170.62
1116,1365.68
1117,1170.62
1118,780.4
1119,585.28
1120,780.4
1121,1560.82
1122,2341.12
1123,3511.82
1124,3901.54
1125,3901.54
1126,3901.54
1127,3121.94
1128,3121.94
1129,3043.46
1130,3043.46
1131,3043.46
1132,3043.46
1133,2663.56
1134,2282.88
1135,1141.4
1136,760.86
1137,380.44
1138,760.86
1139,1141.4
1140,1331.64
1141,1141.4
1142,760.86
1143,570.72
1144,760.86
1145,1521.94
1146,2282.88
