t,demand_[MWh]
t_555, 4.08 
t_556, 5.94 
t_557, 13.30 
t_558, 43.07 
t_559, 154.16 
t_560, 241.73 
t_561, 209.63 
t_562, 167.73 
t_563, 159.09 
t_564, 158.34 
t_565, 203.37 
t_566, 188.97 
t_567, 162.91 
t_568, 163.51 
t_569, 212.45 
t_570, 313.44 
t_571, 288.59 
t_572, 198.00 
t_573, 117.65 
t_574, 74.54 
t_575, 69.45 
t_576, 46.75 
t_577, 3.73 
t_578, 4.17 
t_579, 4.08 
t_580, 5.94 
t_581, 13.30 
t_582, 43.07 
t_583, 154.16 
t_584, 241.73 
t_585, 209.63 
t_586, 167.73 
t_587, 159.09 
t_588, 158.34 
t_589, 203.37 
t_590, 188.97 
t_591, 162.91 
t_592, 163.51 
t_593, 212.45 
t_594, 313.44 
t_595, 288.59 
t_596, 198.00 
t_597, 117.65 
t_598, 74.54 
t_599, 69.45 
t_600, 46.75 
t_601, 3.73 
t_602, 4.17 
t_603, 4.08 
t_604, 5.94 
t_605, 13.30 
t_606, 43.07 
t_607, 154.16 
t_608, 241.73 
t_609, 209.63 
t_610, 167.73 
t_611, 159.09 
t_612, 158.34 
t_613, 203.37 
t_614, 188.97 
t_615, 162.91 
t_616, 163.51 
t_617, 212.45 
t_618, 313.44 
t_619, 288.59 
t_620, 198.00 
t_621, 117.65 
t_622, 74.54 
t_623, 69.45 
t_624, 46.75 
t_625, 29.90 
t_626, 24.50 
t_627, 12.28 
t_628, 10.54 
t_629, 9.67 
t_630, 19.38 
t_631, 38.61 
t_632, 87.83 
t_633, 147.65 
t_634, 241.56 
t_635, 265.31 
t_636, 226.06 
t_637, 209.16 
t_638, 226.83 
t_639, 262.64 
t_640, 241.10 
t_641, 232.69 
t_642, 209.06 
t_643, 180.52 
t_644, 125.91 
t_645, 99.24 
t_646, 84.49 
t_647, 88.11 
t_648, 75.15 
t_649, 35.38 
t_650, 38.60 
t_651, 22.50 
t_652, 16.02 
t_653, 12.45 
t_654, 17.02 
t_655, 23.69 
t_656, 51.50 
t_657, 88.17 
t_658, 147.54 
t_659, 180.72 
t_660, 199.05 
t_661, 167.15 
t_662, 195.85 
t_663, 227.77 
t_664, 226.49 
t_665, 209.78 
t_666, 196.88 
t_667, 158.07 
t_668, 111.84 
t_669, 82.27 
t_670, 63.59 
t_671, 44.20 
t_672, 28.87 
t_673, 3.73 
t_674, 4.17 
t_675, 4.08 
t_676, 5.94 
t_677, 13.30 
t_678, 43.07 
t_679, 154.16 
t_680, 241.73 
t_681, 209.63 
t_682, 167.73 
t_683, 159.09 
t_684, 158.34 
t_685, 203.37 
t_686, 188.97 
t_687, 162.91 
t_688, 163.51 
t_689, 212.45 
t_690, 313.44 
t_691, 288.59 
t_692, 198.00 
t_693, 117.65 
t_694, 74.54 
t_695, 69.45 
t_696, 46.75 
t_697, 3.73 
t_698, 4.17 
t_699, 4.08 
t_700, 5.94 
t_701, 13.30 
t_702, 43.07 
t_703, 154.16 
t_704, 241.73 
t_705, 209.63 
t_706, 167.73 
t_707, 159.09 
t_708, 158.34 
t_709, 203.37 
t_710, 188.97 
t_711, 162.91 
t_712, 163.51 
t_713, 212.45 
t_714, 313.44 
t_715, 288.59 
t_716, 198.00 
t_717, 117.65 
t_718, 74.54 
t_719, 69.45 
t_720, 46.75 
t_721, 3.73 
t_722, 4.17 
t_723, 4.08 
t_724, 5.94 
t_725, 13.30 
t_726, 43.07 
t_727, 154.16 
t_728, 241.73 
t_729, 209.63 
t_730, 167.73 
t_731, 159.09 
t_732, 158.34 
t_733, 203.37 
t_734, 188.97 
t_735, 162.91 
t_736, 163.51 
t_737, 212.45 
t_738, 313.44 
t_739, 288.59 
t_740, 198.00 
t_741, 117.65 
t_742, 74.54 
t_743, 69.45 
t_744, 46.75 
t_745, 3.73 
t_746, 4.17 
t_747, 4.08 
t_748, 5.94 
t_749, 13.30 
t_750, 43.07 
t_751, 154.16 
t_752, 241.73 
t_753, 209.63 
t_754, 167.73 
t_755, 159.09 
t_756, 158.34 
t_757, 203.37 
t_758, 188.97 
t_759, 162.91 
t_760, 163.51 
t_761, 212.45 
t_762, 313.44 
t_763, 288.59 
t_764, 198.00 
t_765, 117.65 
t_766, 74.54 
t_767, 69.45 
t_768, 46.75 
t_769, 3.73 
t_770, 4.17 
t_771, 4.08 
t_772, 5.94 
t_773, 13.30 
t_774, 43.07 
t_775, 154.16 
t_776, 241.73 
t_777, 209.63 
t_778, 167.73 
t_779, 159.09 
t_780, 158.34 
t_781, 203.37 
t_782, 188.97 
t_783, 162.91 
t_784, 163.51 
t_785, 212.45 
t_786, 313.44 
t_787, 288.59 
t_788, 198.00 
t_789, 117.65 
t_790, 74.54 
t_791, 69.45 
t_792, 46.75 
t_793, 29.90 
t_794, 24.50 
t_795, 12.28 
t_796, 10.54 
t_797, 9.67 
t_798, 19.38 
t_799, 38.61 
t_800, 87.83 
t_801, 147.65 
t_802, 241.56 
t_803, 265.31 
t_804, 226.06 
t_805, 209.16 
t_806, 226.83 
t_807, 262.64 
t_808, 241.10 
t_809, 232.69 
t_810, 209.06 
t_811, 180.52 
t_812, 125.91 
t_813, 99.24 
t_814, 84.49 
t_815, 88.11 
t_816, 75.15 
t_817, 35.38 
t_818, 38.60 
t_819, 22.50 
t_820, 16.02 
t_821, 12.45 
t_822, 17.02 
t_823, 23.69 
t_824, 51.50 
t_825, 88.17 
t_826, 147.54 
t_827, 180.72 
t_828, 199.05 
t_829, 167.15 
t_830, 195.85 
t_831, 227.77 
t_832, 226.49 
t_833, 209.78 
t_834, 196.88 
t_835, 158.07 
t_836, 111.84 
t_837, 82.27 
t_838, 63.59 
t_839, 44.20 
t_840, 28.87 
t_841, 3.73 
t_842, 4.17 
t_843, 4.08 
t_844, 5.94 
t_845, 13.30 
t_846, 43.07 
t_847, 154.16 
t_848, 241.73 
t_849, 209.63 
t_850, 167.73 
t_851, 159.09 
t_852, 158.34 
t_853, 203.37 
t_854, 188.97 
t_855, 162.91 
t_856, 163.51 
t_857, 212.45 
t_858, 313.44 
t_859, 288.59 
t_860, 198.00 
t_861, 117.65 
t_862, 74.54 
t_863, 69.45 
t_864, 46.75 
t_865, 3.73 
t_866, 4.17 
t_867, 4.08 
t_868, 5.94 
t_869, 13.30 
t_870, 43.07 
t_871, 154.16 
t_872, 241.73 
t_873, 209.63 
t_874, 167.73 
t_875, 159.09 
t_876, 158.34 
t_877, 203.37 
t_878, 188.97 
t_879, 162.91 
t_880, 163.51 
t_881, 212.45 
t_882, 313.44 
t_883, 288.59 
t_884, 198.00 
t_885, 117.65 
t_886, 74.54 
t_887, 69.45 
t_888, 46.75 
t_889, 3.73 
t_890, 4.17 
t_891, 4.08 
t_892, 5.94 
t_893, 13.30 
t_894, 43.07 
t_895, 154.16 
t_896, 241.73 
t_897, 209.63 
t_898, 167.73 
t_899, 159.09 
t_900, 158.34 
t_901, 203.37 
t_902, 188.97 
t_903, 162.91 
t_904, 163.51 
t_905, 212.45 
t_906, 313.44 
t_907, 288.59 
t_908, 198.00 
t_909, 117.65 
t_910, 74.54 
t_911, 69.45 
t_912, 46.75 
t_913, 3.73 
t_914, 4.17 
t_915, 4.08 
t_916, 5.94 
t_917, 13.30 
t_918, 43.07 
t_919, 154.16 
t_920, 241.73 
t_921, 209.63 
t_922, 167.73 
t_923, 159.09 
t_924, 158.34 
t_925, 203.37 
t_926, 188.97 
t_927, 162.91 
t_928, 163.51 
t_929, 212.45 
t_930, 313.44 
t_931, 288.59 
t_932, 198.00 
t_933, 117.65 
t_934, 74.54 
t_935, 69.45 
t_936, 46.75 
t_937, 3.73 
t_938, 4.17 
t_939, 4.08 
t_940, 5.94 
t_941, 13.30 
t_942, 43.07 
t_943, 154.16 
t_944, 241.73 
t_945, 209.63 
t_946, 167.73 
t_947, 159.09 
t_948, 158.34 
t_949, 203.37 
t_950, 188.97 
t_951, 162.91 
t_952, 163.51 
t_953, 212.45 
t_954, 313.44 
t_955, 288.59 
t_956, 198.00 
t_957, 117.65 
t_958, 74.54 
t_959, 69.45 
t_960, 46.75 
t_961, 29.90 
t_962, 24.50 
t_963, 12.28 
t_964, 10.54 
t_965, 9.67 
t_966, 19.38 
t_967, 38.61 
t_968, 87.83 
t_969, 147.65 
t_970, 241.56 
t_971, 265.31 
t_972, 226.06 
t_973, 209.16 
t_974, 226.83 
t_975, 262.64 
t_976, 241.10 
t_977, 232.69 
t_978, 209.06 
t_979, 180.52 
t_980, 125.91 
t_981, 99.24 
t_982, 84.49 
t_983, 88.11 
t_984, 75.15 
t_985, 35.38 
t_986, 38.60 
t_987, 22.50 
t_988, 16.02 
t_989, 12.45 
t_990, 17.02 
t_991, 23.69 
t_992, 51.50 
t_993, 88.17 
t_994, 147.54 
t_995, 180.72 
t_996, 199.05 
t_997, 167.15 
t_998, 195.85 
t_999, 227.77 
t_1000, 226.49 
t_1001, 209.78 
t_1002, 196.88 
t_1003, 158.07 
t_1004, 111.84 
t_1005, 82.27 
t_1006, 63.59 
t_1007, 44.20 
t_1008, 28.87 
t_1009, 3.73 
t_1010, 4.17 
t_1011, 4.08 
t_1012, 5.94 
t_1013, 13.30 
t_1014, 43.07 
t_1015, 154.16 
t_1016, 241.73 
t_1017, 209.63 
t_1018, 167.73 
t_1019, 159.09 
t_1020, 158.34 
t_1021, 203.37 
t_1022, 188.97 
t_1023, 162.91 
t_1024, 163.51 
t_1025, 212.45 
t_1026, 313.44 
t_1027, 288.59 
t_1028, 198.00 
t_1029, 117.65 
t_1030, 74.54 
t_1031, 69.45 
t_1032, 46.75 
t_1033, 3.73 
t_1034, 4.17 
t_1035, 4.08 
t_1036, 5.94 
t_1037, 13.30 
t_1038, 43.07 
t_1039, 154.16 
t_1040, 241.73 
t_1041, 209.63 
t_1042, 167.73 
t_1043, 159.09 
t_1044, 158.34 
t_1045, 203.37 
t_1046, 188.97 
t_1047, 162.91 
t_1048, 163.51 
t_1049, 212.45 
t_1050, 313.44 
t_1051, 288.59 
t_1052, 198.00 
t_1053, 117.65 
t_1054, 74.54 
t_1055, 69.45 
t_1056, 46.75 
t_1057, 3.73 
t_1058, 4.17 
t_1059, 4.08 
t_1060, 5.94 
t_1061, 13.30 
t_1062, 43.07 
t_1063, 154.16 
t_1064, 241.73 
t_1065, 209.63 
t_1066, 167.73 
t_1067, 159.09 
t_1068, 158.34 
t_1069, 203.37 
t_1070, 188.97 
t_1071, 162.91 
t_1072, 163.51 
t_1073, 212.45 
t_1074, 313.44 
t_1075, 288.59 
t_1076, 198.00 
t_1077, 117.65 
t_1078, 74.54 
t_1079, 69.45 
t_1080, 46.75 
t_1081, 3.73 
t_1082, 4.17 
t_1083, 4.08 
t_1084, 5.94 
t_1085, 13.30 
t_1086, 43.07 
t_1087, 154.16 
t_1088, 241.73 
t_1089, 209.63 
t_1090, 167.73 
t_1091, 159.09 
t_1092, 158.34 
t_1093, 203.37 
t_1094, 188.97 
t_1095, 162.91 
t_1096, 163.51 
t_1097, 212.45 
t_1098, 313.44 
t_1099, 288.59 
t_1100, 198.00 
t_1101, 117.65 
t_1102, 74.54 
t_1103, 69.45 
t_1104, 46.75 
t_1105, 3.73 
t_1106, 4.17 
t_1107, 4.08 
t_1108, 5.94 
