"area","technology","variable","value"
"ITN1","pumped_closed","gen_cap_MW",2505
"ITN1","reservoir","sto_GWh",3707
"ITN1","pumped_open","sto_GWh",194
"ITN1","pumped_closed","sto_GWh",31.3
"ITS1","reservoir","pumping_cap_MW",0
"ITS1","pumped_open","pumping_cap_MW",0
"ITS1","pumped_closed","pumping_cap_MW",0
"ITS1","reservoir","gen_cap_MW",189.52
"ITS1","pumped_open","gen_cap_MW",0
"ITS1","pumped_closed","gen_cap_MW",0
"ITS1","reservoir","sto_GWh",153.79
"ITS1","pumped_open","sto_GWh",0
"ITS1","pumped_closed","sto_GWh",0
"ITSA","reservoir","pumping_cap_MW",0
"ITSA","pumped_open","pumping_cap_MW",0
"ITSA","pumped_closed","pumping_cap_MW",-242
"ITSA","reservoir","gen_cap_MW",141.8
"ITSA","pumped_open","gen_cap_MW",0
"ITSA","pumped_closed","gen_cap_MW",240
"ITSA","reservoir","sto_GWh",144.35
"ITSA","pumped_open","sto_GWh",0
"ITSA","pumped_closed","sto_GWh",7.8
"ITSI","reservoir","pumping_cap_MW",0
"ITSI","pumped_open","pumping_cap_MW",-58
"ITSI","pumped_closed","pumping_cap_MW",-1187
"ITSI","reservoir","gen_cap_MW",73.1
"ITSI","pumped_open","gen_cap_MW",80
"ITSI","pumped_closed","gen_cap_MW",1100
"ITSI","reservoir","sto_GWh",81.25
"ITSI","pumped_open","sto_GWh",20.39
"ITSI","pumped_closed","sto_GWh",7.4
"LT00","reservoir","pumping_cap_MW",0
"LT00","pumped_open","pumping_cap_MW",0
"LT00","pumped_closed","pumping_cap_MW",-900
"LT00","reservoir","gen_cap_MW",0
"LT00","pumped_open","gen_cap_MW",0
"LT00","pumped_closed","gen_cap_MW",930
"LT00","reservoir","sto_GWh",0
"LT00","pumped_open","sto_GWh",0
"LT00","pumped_closed","sto_GWh",10.6
"LUG1","reservoir","pumping_cap_MW",0
"LUG1","pumped_open","pumping_cap_MW",0
"LUG1","pumped_closed","pumping_cap_MW",0
"LUG1","reservoir","gen_cap_MW",0
"LUG1","pumped_open","gen_cap_MW",0
"LUG1","pumped_closed","gen_cap_MW",0
"LUG1","reservoir","sto_GWh",0
"LUG1","pumped_open","sto_GWh",0
"LUG1","pumped_closed","sto_GWh",0
"LUV1","reservoir","pumping_cap_MW",0
"LUV1","pumped_open","pumping_cap_MW",0
"LUV1","pumped_closed","pumping_cap_MW",-1026
"LUV1","reservoir","gen_cap_MW",0
"LUV1","pumped_open","gen_cap_MW",0
"LUV1","pumped_closed","gen_cap_MW",1310
"LUV1","reservoir","sto_GWh",0
"LUV1","pumped_open","sto_GWh",0
"LUV1","pumped_closed","sto_GWh",5
"LV00","reservoir","pumping_cap_MW",0
"LV00","pumped_open","pumping_cap_MW",0
"LV00","pumped_closed","pumping_cap_MW",0
"LV00","reservoir","gen_cap_MW",0
"LV00","pumped_open","gen_cap_MW",0
"LV00","pumped_closed","gen_cap_MW",0
"LV00","reservoir","sto_GWh",0
"LV00","pumped_open","sto_GWh",0
"LV00","pumped_closed","sto_GWh",0
"ME00","reservoir","pumping_cap_MW",0
"ME00","pumped_open","pumping_cap_MW",0
"ME00","pumped_closed","pumping_cap_MW",0
"ME00","reservoir","gen_cap_MW",1058.4
"ME00","pumped_open","gen_cap_MW",0
"ME00","pumped_closed","gen_cap_MW",0
"ME00","reservoir","sto_GWh",582.4000000000001
"ME00","pumped_open","sto_GWh",0
"ME00","pumped_closed","sto_GWh",0
"MK00","reservoir","pumping_cap_MW",0
"MK00","pumped_open","pumping_cap_MW",0
"MK00","pumped_closed","pumping_cap_MW",0
"MK00","reservoir","gen_cap_MW",670.6
"MK00","pumped_open","gen_cap_MW",0
"MK00","pumped_closed","gen_cap_MW",0
"MK00","reservoir","sto_GWh",628.2
"MK00","pumped_open","sto_GWh",0
"MK00","pumped_closed","sto_GWh",0
"NL00","reservoir","pumping_cap_MW",0
"NL00","pumped_open","pumping_cap_MW",0
"NL00","pumped_closed","pumping_cap_MW",0
"NL00","reservoir","gen_cap_MW",0
"NL00","pumped_open","gen_cap_MW",0
"NL00","pumped_closed","gen_cap_MW",0
"NL00","reservoir","sto_GWh",0
"NL00","pumped_open","sto_GWh",0
"NL00","pumped_closed","sto_GWh",0
"NOM1","reservoir","pumping_cap_MW",0
"NOM1","pumped_open","pumping_cap_MW",-75.8
"NOM1","pumped_closed","pumping_cap_MW",0
"NOM1","reservoir","gen_cap_MW",0
"NOM1","pumped_open","gen_cap_MW",6003
"NOM1","pumped_closed","gen_cap_MW",0
"NOM1","reservoir","sto_GWh",0
"NOM1","pumped_open","sto_GWh",8659.7
"NOM1","pumped_closed","sto_GWh",0
"NON1","reservoir","pumping_cap_MW",0
"NON1","pumped_open","pumping_cap_MW",-2
"NON1","pumped_closed","pumping_cap_MW",0
"NON1","reservoir","gen_cap_MW",0
"NON1","pumped_open","gen_cap_MW",6693
"NON1","pumped_closed","gen_cap_MW",0
"NON1","reservoir","sto_GWh",0
